case,bias,lambda,policy,accepted,reference_safe,optimistic,validated_acceptance,runtime_s
a100-s0-fast-decode,1.0,0.006,unmodified,True,True,False,True,0.02564741700189188
a100-s0-fast-decode,1.0,0.006,fixed_compute_margin_10pct,True,True,False,True,0.025889625016134232
a100-s0-fast-decode,1.0,0.006,fixed_compute_margin_25pct,True,True,False,True,0.02618370804702863
a100-s0-fast-decode,1.0,0.006,fixed_sla_margin_10pct,True,True,False,True,0.028393917018547654
a100-s0-fast-decode,1.0,0.006,load_stress_10pct,True,True,False,True,0.0247220000019297
a100-s0-fast-decode,1.0,0.006,load_stress_20pct,True,True,False,True,0.019945166015531868
a100-s0-fast-decode,1.0,0.006,capacity_derating_10pct,True,True,False,True,1.2919772416353226e-06
a100-s0-fast-decode,1.0,0.006,capacity_derating_20pct,True,True,False,True,5.839974619448185e-07
a100-s0-fast-decode,1.0,0.006,finite_four_scenarios,True,True,False,True,0.1000756670255214
a100-s0-fast-decode,1.0,0.01,unmodified,True,True,False,True,0.026476166967768222
a100-s0-fast-decode,1.0,0.01,fixed_compute_margin_10pct,True,True,False,True,0.024581125006079674
a100-s0-fast-decode,1.0,0.01,fixed_compute_margin_25pct,True,True,False,True,0.02002620801795274
a100-s0-fast-decode,1.0,0.01,fixed_sla_margin_10pct,True,True,False,True,0.021904124994762242
a100-s0-fast-decode,1.0,0.01,load_stress_10pct,True,True,False,True,0.023798500013072044
a100-s0-fast-decode,1.0,0.01,load_stress_20pct,True,True,False,True,0.02533624996431172
a100-s0-fast-decode,1.0,0.01,capacity_derating_10pct,True,True,False,True,1.458043698221445e-06
a100-s0-fast-decode,1.0,0.01,capacity_derating_20pct,True,True,False,True,6.67001586407423e-07
a100-s0-fast-decode,1.0,0.01,finite_four_scenarios,True,True,False,True,0.09972929197829217
a100-s0-fast-decode,1.0,0.0131,unmodified,True,True,False,True,0.020639416994526982
a100-s0-fast-decode,1.0,0.0131,fixed_compute_margin_10pct,True,True,False,True,0.02454429102363065
a100-s0-fast-decode,1.0,0.0131,fixed_compute_margin_25pct,False,True,False,False,0.025663790991529822
a100-s0-fast-decode,1.0,0.0131,fixed_sla_margin_10pct,True,True,False,True,0.027331250021234155
a100-s0-fast-decode,1.0,0.0131,load_stress_10pct,True,True,False,True,0.02898416598327458
a100-s0-fast-decode,1.0,0.0131,load_stress_20pct,False,True,False,False,0.019300082989502698
a100-s0-fast-decode,1.0,0.0131,capacity_derating_10pct,True,True,False,True,1.2909877113997936e-06
a100-s0-fast-decode,1.0,0.0131,capacity_derating_20pct,False,True,False,False,6.249756552278996e-07
a100-s0-fast-decode,1.0,0.0131,finite_four_scenarios,False,True,False,False,0.093173208006192
a100-s0-fast-decode,1.0,0.0132,unmodified,True,True,False,True,0.02708070899825543
a100-s0-fast-decode,1.0,0.0132,fixed_compute_margin_10pct,True,True,False,True,0.026368666032794863
a100-s0-fast-decode,1.0,0.0132,fixed_compute_margin_25pct,False,True,False,False,0.022104165982455015
