group,regime,bias,policy,chosen_shift,reported_intensity,output_reference_safe,abstention,reference_capacity_selected_partition,reference_best_capacity,partition_selection_loss,operating_point_loss,safe_operating_point_loss,reference_nonmonotone
h101-o60-d30-heterogeneous-fast,decode,1.0,evaluator_only,-2,0.0099348625,True,False,0.0099348625,0.0099348625,0.0,0.0,0.0,False
h101-o60-d30-heterogeneous-fast,decode,1.0,compute_margin_25pct,,,,True,,0.0099348625,,,1.0,False
h101-o60-d30-heterogeneous-fast,decode,1.0,capacity_derating_20pct,0,0.004,True,False,0.0095136569,0.0099348625,0.04239672164561914,0.5973774171509671,0.5973774171509671,False
h101-o60-d30-heterogeneous-fast,decode,1.0,four_scenarios,,,,True,,0.0099348625,,,1.0,False
h101-o60-d30-heterogeneous-fast,decode,1.0,selected_point_reference,-2,0.0099348625,True,False,0.0099348625,0.0099348625,0.0,0.0,0.0,False
h101-o60-d30-heterogeneous-fast,decode,1.0,selected_partition_boundary_reference,-2,0.0099348625,True,False,0.0099348625,0.0099348625,0.0,0.0,0.0,False
h101-o60-d30-heterogeneous-fast,decode,0.9,evaluator_only,0,0.0103747164,False,False,0.0095136569,0.0099348625,0.04239672164561914,-0.044273778323554946,1.0,False
h101-o60-d30-heterogeneous-fast,decode,0.9,compute_margin_25pct,-2,0.008915094,True,False,0.0099348625,0.0099348625,0.0,0.10264545684452109,0.10264545684452109,False
h101-o60-d30-heterogeneous-fast,decode,0.9,capacity_derating_20pct,0,0.008,True,False,0.0095136569,0.0099348625,0.04239672164561914,0.1947548343019343,0.1947548343019343,False
h101-o60-d30-heterogeneous-fast,decode,0.9,four_scenarios,-2,0.008915094,True,False,0.0099348625,0.0099348625,0.0,0.10264545684452109,0.10264545684452109,False
h101-o60-d30-heterogeneous-fast,decode,0.9,selected_point_reference,,,,True,,0.0099348625,,,1.0,False
h101-o60-d30-heterogeneous-fast,decode,0.9,selected_partition_boundary_reference,0,0.0095136569,True,False,0.0095136569,0.0099348625,0.04239672164561914,0.04239672164561914,0.04239672164561914,False
h101-o60-d30-heterogeneous-fast,prefill,1.0,evaluator_only,2,4.096,True,False,10.3960654413,13.1931367994,0.21200957745145232,0.6895355469833164,0.6895355469833164,False
h101-o60-d30-heterogeneous-fast,prefill,1.0,compute_margin_25pct,,,,True,,13.1931367994,,,1.0,False
h101-o60-d30-heterogeneous-fast,prefill,1.0,capacity_derating_20pct,2,3.1584477704,True,False,10.3960654413,13.1931367994,0.21200957745145232,0.7605991798293458,0.7605991798293458,False
h101-o60-d30-heterogeneous-fast,prefill,1.0,four_scenarios,,,,True,,13.1931367994,,,1.0,False
h101-o60-d30-heterogeneous-fast,prefill,1.0,selected_point_reference,2,4.096,True,False,10.3960654413,13.1931367994,0.21200957745145232,0.6895355469833164,0.6895355469833164,False
h101-o60-d30-heterogeneous-fast,prefill,1.0,selected_partition_boundary_reference,2,4.8709923431,True,False,10.3960654413,13.1931367994,0.21200957745145232,0.6307934635134289,0.6307934635134289,False
h101-o60-d30-heterogeneous-fast,prefill,0.9,evaluator_only,2,4.8709923431,True,False,10.3960654413,13.1931367994,0.21200957745145232,0.6307934635134289,0.6307934635134289,False
h101-o60-d30-heterogeneous-fast,prefill,0.9,compute_margin_25pct,0,1.024,True,False,13.1931367994,13.1931367994,0.0,0.9223838867458292,0.9223838867458292,False
h101-o60-d30-heterogeneous-fast,prefill,0.9,capacity_derating_20pct,2,3.8382953147,True,False,10.3960654413,13.1931367994,0.21200957745145232,0.7090687853039954,0.7090687853039954,False
h101-o60-d30-heterogeneous-fast,prefill,0.9,four_scenarios,0,1.024,True,False,13.1931367994,13.1931367994,0.0,0.9223838867458292,0.9223838867458292,False
h101-o60-d30-heterogeneous-fast,prefill,0.9,selected_point_reference,2,4.8709923431,True,False,10.3960654413,13.1931367994,0.21200957745145232,0.6307934635134289,0.6307934635134289,False
h101-o60-d30-heterogeneous-fast,prefill,0.9,selected_partition_boundary_reference,2,9.3289564959,True,False,10.3960654413,13.1931367994,0.21200957745145232,0.2928932188193285,0.2928932188193285,False
h102-o300-d120-heterogeneous-slow,decode,1.0,evaluator_only,-2,0.0083541903,True,False,0.0083541903,0.0083541903,0.0,0.0,0.0,False
h102-o300-d120-heterogeneous-slow,decode,1.0,compute_margin_25pct,,,,True,,0.0083541903,,,1.0,False
h102-o300-d120-heterogeneous-slow,decode,1.0,capacity_derating_20pct,0,0.0056568542,True,False,0.008,0.0083541903,0.04239672395300831,0.3228722357449769,0.3228722357449769,False
h102-o300-d120-heterogeneous-slow,decode,1.0,four_scenarios,,,,True,,0.0083541903,,,1.0,False
