case_id,group,workload,kind,regime,sla_label,shift,role,raw_relative_gap,legacy_relative_gap,raw_largest_safe,raw_nearest_unsafe_above,raw_all_unsafe,raw_right_censored,raw_nonmonotone,raw_single_boundary_supported,legacy_largest_safe,legacy_nearest_unsafe_above,legacy_all_unsafe,legacy_right_censored,legacy_nonmonotone,legacy_single_boundary_supported,reference_largest_safe,reference_nearest_unsafe_above,reference_all_unsafe,reference_right_censored,reference_nonmonotone,reference_single_boundary_supported
h101-o60-d30-a100-fast-decode-shift0,h101-o60-d30-a100-fast,h101-o60-d30,a100,decode,tight-TPOT,0,primary,0.0,-0.15910358297659444,0.0190273138,0.0194439577,False,False,False,True,0.016,0.0190273138,False,False,False,True,0.0190273138,0.0194439577,False,False,False,True
h101-o60-d30-a100-fast-relaxed_decode-shift0,h101-o60-d30-a100-fast,h101-o60-d30,a100,relaxed_decode,relaxed-TPOT (fixed TTFT),0,primary,0.0,-0.0629161827823999,0.062628612,0.064,False,False,False,True,0.0586882588,0.06128661,False,False,False,True,0.062628612,0.064,False,False,False,True
h101-o60-d30-anchor-slow-decode-shift0,h101-o60-d30-anchor-slow,h101-o60-d30,heterogeneous,decode,tight-TPOT,0,link_anchor,0.0,-0.15910358297659444,0.0095136569,0.0097219789,False,False,False,True,0.008,0.0095136569,False,False,False,True,0.0095136569,0.0097219789,False,False,False,True
h101-o60-d30-anchor-slow-prefill-shift0,h101-o60-d30-anchor-slow,h101-o60-d30,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),0,link_anchor,-0.8749999999986888,-0.8749999999986888,1.1916542554,1.2177480858,False,False,False,True,1.1916542554,1.2177480858,False,False,False,True,9.5332340431,9.7419846861,False,False,False,True
h101-o60-d30-heterogeneous-fast-decode-shift-1,h101-o60-d30-heterogeneous-fast,h101-o60-d30,heterogeneous,decode,tight-TPOT,-1,primary,0.0,-0.021427942000573602,0.0097219789,0.0099348625,False,False,False,True,0.0095136569,0.0097219789,False,False,False,True,0.0097219789,0.0099348625,False,False,False,True
h101-o60-d30-heterogeneous-fast-decode-shift-2,h101-o60-d30-heterogeneous-fast,h101-o60-d30,heterogeneous,decode,tight-TPOT,-2,primary,0.0,-0.021427936219550078,0.0099348625,0.0101524076,False,False,False,True,0.0097219789,0.0099348625,False,False,False,True,0.0099348625,0.0101524076,False,False,False,True
h101-o60-d30-heterogeneous-fast-decode-shift0,h101-o60-d30-heterogeneous-fast,h101-o60-d30,heterogeneous,decode,tight-TPOT,0,primary,0.0,-0.021427932722694804,0.0095136569,0.0097219789,False,False,False,True,0.0093097989,0.0095136569,False,False,False,True,0.0095136569,0.0097219789,False,False,False,True
h101-o60-d30-heterogeneous-fast-decode-shift1,h101-o60-d30-heterogeneous-fast,h101-o60-d30,heterogeneous,decode,tight-TPOT,1,primary,0.0,-0.021427938685120166,0.0093097989,0.0095136569,False,False,False,True,0.0091103091,0.0093097989,False,False,False,True,0.0093097989,0.0095136569,False,False,False,True
h101-o60-d30-heterogeneous-fast-decode-shift2,h101-o60-d30-heterogeneous-fast,h101-o60-d30,heterogeneous,decode,tight-TPOT,2,primary,0.0,-0.02142794007556177,0.008915094,0.0091103091,False,False,False,True,0.0087240619,0.008915094,False,False,False,True,0.008915094,0.0091103091,False,False,False,True
h101-o60-d30-heterogeneous-fast-prefill-shift-1,h101-o60-d30-heterogeneous-fast,h101-o60-d30,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),-1,primary,-0.6540225295050276,-0.6614361132625278,3.8382953147,3.9223430378,False,False,False,True,3.756048561,3.8382953147,False,False,False,True,11.0940614405,11.3369897531,False,False,False,True
h101-o60-d30-heterogeneous-fast-prefill-shift-2,h101-o60-d30-heterogeneous-fast,h101-o60-d30,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),-2,primary,-0.6757901113382349,-0.6757901113382349,3.0907687477,3.1584477704,False,False,False,True,3.0907687477,3.1584477704,False,False,False,True,9.5332340431,9.7419846861,False,False,False,True
h101-o60-d30-heterogeneous-fast-prefill-shift0,h101-o60-d30-heterogeneous-fast,h101-o60-d30,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),0,primary,-0.7090687853039954,-0.7153028413098227,3.8382953147,3.9223430378,False,False,False,True,3.756048561,3.8382953147,False,False,False,True,13.1931367994,13.4820288771,False,False,False,True
h101-o60-d30-heterogeneous-fast-prefill-shift1,h101-o60-d30-heterogeneous-fast,h101-o60-d30,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),1,primary,-0.675790111334897,-0.682737260700403,3.8382953147,3.9223430378,False,False,False,True,3.756048561,3.8382953147,False,False,False,True,11.8389211708,12.0981597876,False,False,False,True
h101-o60-d30-heterogeneous-fast-prefill-shift2,h101-o60-d30-heterogeneous-fast,h101-o60-d30,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),2,primary,-0.6060047887224721,-0.6060047887224721,4.096,4.1856907209,False,False,False,True,4.096,4.1856907209,False,False,False,True,10.3960654413,10.6237096317,False,False,False,True
h102-o300-d120-a100-slow-decode-shift0,h102-o300-d120-a100-slow,h102-o300-d120,a100,decode,tight-TPOT,0,primary,-0.17712225839701348,-0.7942805645992533,0.016,0.0163503544,False,False,False,True,0.004,0.016,False,False,False,True,0.0194439577,0.019869725,False,False,True,False
h102-o300-d120-a100-slow-relaxed_decode-shift0,h102-o300-d120-a100-slow,h102-o300-d120,a100,relaxed_decode,relaxed-TPOT (fixed TTFT),0,primary,0.021897147849279267,-0.04239672015325289,0.0212037863,0.0216680888,False,False,False,True,0.019869725,0.0207494329,False,False,False,True,0.0207494329,0.0212037863,False,False,False,True
h102-o300-d120-anchor-fast-decode-shift0,h102-o300-d120-anchor-fast,h102-o300-d120,heterogeneous,decode,tight-TPOT,0,link_anchor,0.0,-0.5,0.008,0.0081751772,False,False,False,True,0.004,0.008,False,False,False,True,0.008,0.0081751772,False,False,False,True
h102-o300-d120-anchor-fast-prefill-shift0,h102-o300-d120-anchor-fast,h102-o300-d120,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),0,link_anchor,-0.7707489892012162,-0.7707489892012162,2.4354961715,2.4888265932,False,False,False,True,2.4354961715,2.4888265932,False,False,False,True,10.6237096317,10.8563385808,False,False,False,True
h102-o300-d120-heterogeneous-slow-decode-shift-1,h102-o300-d120-heterogeneous-slow,h102-o300-d120,heterogeneous,decode,tight-TPOT,-1,primary,0.0,-0.02142793920112209,0.0081751772,0.0083541903,False,False,False,True,0.008,0.0081751772,False,False,False,True,0.0081751772,0.0083541903,False,False,False,True
h102-o300-d120-heterogeneous-slow-decode-shift-2,h102-o300-d120-heterogeneous-slow,h102-o300-d120,heterogeneous,decode,tight-TPOT,-2,primary,0.0,-0.02142794137691597,0.0083541903,0.0085371232,False,False,False,True,0.0081751772,0.0083541903,False,False,False,True,0.0083541903,0.0085371232,False,False,False,True
h102-o300-d120-heterogeneous-slow-decode-shift0,h102-o300-d120-heterogeneous-slow,h102-o300-d120,heterogeneous,decode,tight-TPOT,0,primary,0.0,-0.021427937500000018,0.008,0.0081751772,False,False,False,True,0.0078285765,0.008,False,False,False,True,0.008,0.0081751772,False,False,False,True
h102-o300-d120-heterogeneous-slow-decode-shift1,h102-o300-d120-heterogeneous-slow,h102-o300-d120,heterogeneous,decode,tight-TPOT,1,primary,0.0,-0.021427936845767347,0.0076608262,0.0078285765,False,False,False,True,0.0074966705,0.0076608262,False,False,False,True,0.0076608262,0.0078285765,False,False,False,True
h102-o300-d120-heterogeneous-slow-decode-shift2,h102-o300-d120-heterogeneous-slow,h102-o300-d120,heterogeneous,decode,tight-TPOT,2,primary,0.0,-0.021427939243161394,0.0074966705,0.0076608262,False,False,False,True,0.0073360323,0.0074966705,False,False,False,True,0.0074966705,0.0076608262,False,False,False,True
h102-o300-d120-heterogeneous-slow-prefill-shift-1,h102-o300-d120-heterogeneous-slow,h102-o300-d120,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),-1,primary,-0.727373066830101,-0.7389315543915803,2.332239124,2.3833085108,False,False,False,True,2.2333598365,2.332239124,False,False,False,True,8.5546908256,8.7420141623,False,False,False,True
h102-o300-d120-heterogeneous-slow-prefill-shift-2,h102-o300-d120-heterogeneous-slow,h102-o300-d120,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),-2,primary,-0.8030023943561259,-0.8030023943561259,1.5122699735,1.5453843739,False,False,False,True,1.5122699735,1.5453843739,False,False,False,True,7.6765906294,7.8446860755,False,False,False,True
h102-o300-d120-heterogeneous-slow-prefill-shift0,h102-o300-d120-heterogeneous-slow,h102-o300-d120,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),0,primary,-0.7500000000025662,-0.7500000000025662,2.4354961715,2.4888265932,False,False,False,True,2.4354961715,2.4888265932,False,False,False,True,9.7419846861,9.955306373,False,False,False,True
h102-o300-d120-heterogeneous-slow-prefill-shift1,h102-o300-d120-heterogeneous-slow,h102-o300-d120,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),1,primary,-0.721403314355698,-0.7273730668367376,2.4888265932,2.5433247991,False,False,False,True,2.4354961715,2.4888265932,False,False,False,True,8.933439346,9.1290561953,False,False,False,True
h102-o300-d120-heterogeneous-slow-prefill-shift2,h102-o300-d120-heterogeneous-slow,h102-o300-d120,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),2,primary,-0.7026982212550027,-0.7026982212550027,2.4888265932,2.5433247991,False,False,False,True,2.4888265932,2.5433247991,False,False,False,True,8.3713814418,8.5546908256,False,False,False,True
h103-o500-d30-a100-slow-decode-shift0,h103-o500-d30-a100-slow,h103-o500-d30,a100,decode,tight-TPOT,0,primary,0.021897148223562757,-0.021427937761098744,0.016,0.0163503544,False,False,False,True,0.0153216525,0.015657153,False,False,False,True,0.015657153,0.016,False,False,False,True
h103-o500-d30-a100-slow-relaxed_decode-shift0,h103-o500-d30-a100-slow,h103-o500-d30,a100,relaxed_decode,relaxed-TPOT (fixed TTFT),0,primary,1.8284271220955688,1.6504732884707711,0.0442851162,0.045254834,False,False,False,True,0.0414988658,0.0433361775,False,False,False,True,0.015657153,0.016,False,False,False,True
h103-o500-d30-heterogeneous-slow-decode-shift-1,h103-o500-d30-heterogeneous-slow,h103-o500-d30,heterogeneous,decode,tight-TPOT,-1,primary,0.021897149999999938,0.0,0.0081751772,0.0083541903,False,False,False,True,0.008,0.0081751772,False,False,False,True,0.008,0.0081751772,False,False,False,True
h103-o500-d30-heterogeneous-slow-decode-shift-2,h103-o500-d30-heterogeneous-slow,h103-o500-d30,heterogeneous,decode,tight-TPOT,-2,primary,0.0,-0.02142794137691597,0.0083541903,0.0085371232,False,False,False,True,0.0081751772,0.0083541903,False,False,False,True,0.0083541903,0.0085371232,False,False,False,True
h103-o500-d30-heterogeneous-slow-decode-shift0,h103-o500-d30-heterogeneous-slow,h103-o500-d30,heterogeneous,decode,tight-TPOT,0,primary,0.0,-0.021427944147955895,0.0078285765,0.008,False,False,False,True,0.0076608262,0.0078285765,False,False,False,True,0.0078285765,0.008,False,False,False,True
h103-o500-d30-heterogeneous-slow-decode-shift1,h103-o500-d30-heterogeneous-slow,h103-o500-d30,heterogeneous,decode,tight-TPOT,1,primary,0.0,-0.021427936845767347,0.0076608262,0.0078285765,False,False,False,True,0.0074966705,0.0076608262,False,False,False,True,0.0076608262,0.0078285765,False,False,False,True
h103-o500-d30-heterogeneous-slow-decode-shift2,h103-o500-d30-heterogeneous-slow,h103-o500-d30,heterogeneous,decode,tight-TPOT,2,primary,0.0,-0.021427939243161394,0.0074966705,0.0076608262,False,False,False,True,0.0073360323,0.0074966705,False,False,False,True,0.0074966705,0.0076608262,False,False,False,True
h103-o500-d30-heterogeneous-slow-prefill-shift-1,h103-o500-d30-heterogeneous-slow,h103-o500-d30,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),-1,primary,-0.661436113269043,-0.661436113269043,2.7735153601,2.8342474382,False,False,False,True,2.7735153601,2.8342474382,False,False,False,True,8.192,8.3713814418,False,False,False,True
h103-o500-d30-heterogeneous-slow-prefill-shift-2,h103-o500-d30-heterogeneous-slow,h103-o500-d30,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),-2,primary,-0.6227088931009892,-0.6227088931009892,2.7140846452,2.7735153601,False,False,False,True,2.7140846452,2.7735153601,False,False,False,True,7.1936088489,7.3511283713,False,False,False,True
h103-o500-d30-heterogeneous-slow-prefill-shift0,h103-o500-d30-heterogeneous-slow,h103-o500-d30,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),0,primary,-0.7153028413135066,-0.7153028413135066,2.7735153601,2.8342474382,False,False,False,True,2.7735153601,2.8342474382,False,False,False,True,9.7419846861,9.955306373,False,False,False,True
h103-o500-d30-heterogeneous-slow-prefill-shift1,h103-o500-d30-heterogeneous-slow,h103-o500-d30,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),1,primary,-0.7090687853082317,-0.7090687853082317,2.7735153601,2.8342474382,False,False,False,True,2.7735153601,2.8342474382,False,False,False,True,9.5332340431,9.7419846861,False,False,False,True
