group,regime,kind,role,bias,chosen_shift,output_reference_safe,abstention,sla_label,original_shift,original_intensity,target_derating,target_intensity,grid_snapped_output,realized_derating,shift_changed_after_snapping,note
h101-o60-d30-heterogeneous-fast,decode,heterogeneous,primary,1.0,0,True,False,tight-TPOT,-2,0.0099348625,0.2,0.00794789,0.004,0.5973774171509671,True,global candidate tie-break is reapplied after per-candidate snapping
h101-o60-d30-heterogeneous-fast,decode,heterogeneous,primary,0.9,0,True,False,tight-TPOT,0,0.0103747164,0.2,0.00829977312,0.008,0.22889458453052258,False,global candidate tie-break is reapplied after per-candidate snapping
h101-o60-d30-heterogeneous-fast,prefill,heterogeneous,primary,1.0,2,True,False,relaxed-TPOT (fixed TTFT),2,4.096,0.2,3.2768,3.1584477704,0.22889458730468748,False,global candidate tie-break is reapplied after per-candidate snapping
h101-o60-d30-heterogeneous-fast,prefill,heterogeneous,primary,0.9,2,True,False,relaxed-TPOT (fixed TTFT),2,4.8709923431,0.2,3.89679387448,3.8382953147,0.2120095774453159,False,global candidate tie-break is reapplied after per-candidate snapping
h101-o60-d30-a100-fast,decode,a100,primary,1.0,0,True,False,tight-TPOT,0,0.0190273138,0.2,0.015221851040000001,0.004,0.7897758957441486,False,global candidate tie-break is reapplied after per-candidate snapping
h101-o60-d30-a100-fast,decode,a100,primary,0.9,0,True,False,tight-TPOT,0,0.0207494329,0.2,0.016599546320000002,0.016,0.22889458824679487,False,global candidate tie-break is reapplied after per-candidate snapping
h101-o60-d30-a100-fast,relaxed_decode,a100,primary,1.0,0,True,False,relaxed-TPOT (fixed TTFT),0,0.062628612,0.2,0.050102889600000006,0.045254834,0.27740959675108234,False,global candidate tie-break is reapplied after per-candidate snapping
h101-o60-d30-a100-fast,relaxed_decode,a100,primary,0.9,0,True,False,relaxed-TPOT (fixed TTFT),0,0.064,0.2,0.0512,0.045254834,0.29289321874999996,False,global candidate tie-break is reapplied after per-candidate snapping
h101-o60-d30-anchor-slow,decode,heterogeneous,link_anchor,1.0,0,True,False,tight-TPOT,0,0.0095136569,0.2,0.007610925520000001,0.004,0.5795517914882973,False,global candidate tie-break is reapplied after per-candidate snapping
h101-o60-d30-anchor-slow,decode,heterogeneous,link_anchor,0.9,0,True,False,tight-TPOT,0,0.0103747164,0.2,0.00829977312,0.008,0.22889458453052258,False,global candidate tie-break is reapplied after per-candidate snapping
h101-o60-d30-anchor-slow,prefill,heterogeneous,link_anchor,1.0,0,True,False,relaxed-TPOT (fixed TTFT),0,1.1916542554,0.2,0.9533234043200001,0.256,0.7851725877368104,False,global candidate tie-break is reapplied after per-candidate snapping
h101-o60-d30-anchor-slow,prefill,heterogeneous,link_anchor,0.9,0,True,False,relaxed-TPOT (fixed TTFT),0,4.096,0.2,3.2768,2.048,0.5,False,global candidate tie-break is reapplied after per-candidate snapping
h102-o300-d120-heterogeneous-slow,decode,heterogeneous,primary,1.0,0,True,False,tight-TPOT,-2,0.0083541903,0.2,0.00668335224,0.0056568542,0.3228722357449769,True,global candidate tie-break is reapplied after per-candidate snapping
h102-o300-d120-heterogeneous-slow,decode,heterogeneous,primary,0.9,0,True,False,tight-TPOT,0,0.0087240619,0.2,0.00697924952,0.0067271713,0.22889459323987604,False,global candidate tie-break is reapplied after per-candidate snapping
h102-o300-d120-heterogeneous-slow,prefill,heterogeneous,primary,1.0,0,True,False,relaxed-TPOT (fixed TTFT),1,2.4888265932,0.2,1.9910612745600003,1.7221558585,0.3080450589826975,True,global candidate tie-break is reapplied after per-candidate snapping
h102-o300-d120-heterogeneous-slow,prefill,heterogeneous,primary,0.9,0,True,False,relaxed-TPOT (fixed TTFT),0,2.8963093757,0.2,2.31704750056,2.2333598365,0.22889458728481782,False,global candidate tie-break is reapplied after per-candidate snapping
h102-o300-d120-a100-slow,decode,a100,primary,1.0,0,True,False,tight-TPOT,0,0.016,0.2,0.0128,0.004,0.75,False,global candidate tie-break is reapplied after per-candidate snapping
h102-o300-d120-a100-slow,decode,a100,primary,0.9,0,True,False,tight-TPOT,0,0.0174481237,0.2,0.01395849896,0.004,0.7707489889013108,False,global candidate tie-break is reapplied after per-candidate snapping
h102-o300-d120-a100-slow,relaxed_decode,a100,primary,1.0,0,True,False,relaxed-TPOT (fixed TTFT),0,0.0212037863,0.2,0.01696302904,0.0167083805,0.2120095786854821,False,global candidate tie-break is reapplied after per-candidate snapping
h102-o300-d120-a100-slow,relaxed_decode,a100,primary,0.9,0,True,False,relaxed-TPOT (fixed TTFT),0,0.022627417,0.2,0.0181019336,0.0174481237,0.22889458836596333,False,global candidate tie-break is reapplied after per-candidate snapping
h102-o300-d120-anchor-fast,decode,heterogeneous,link_anchor,1.0,0,True,False,tight-TPOT,0,0.008,0.2,0.0064,0.004,0.5,False,global candidate tie-break is reapplied after per-candidate snapping
h102-o300-d120-anchor-fast,decode,heterogeneous,link_anchor,0.9,0,True,False,tight-TPOT,0,0.0087240619,0.2,0.00697924952,0.004,0.5414979804304232,False,global candidate tie-break is reapplied after per-candidate snapping
h102-o300-d120-anchor-fast,prefill,heterogeneous,link_anchor,1.0,0,True,False,relaxed-TPOT (fixed TTFT),0,2.4354961715,0.2,1.9483969372,1.024,0.579551792368728,False,global candidate tie-break is reapplied after per-candidate snapping
h102-o300-d120-anchor-fast,prefill,heterogeneous,link_anchor,0.9,0,True,False,relaxed-TPOT (fixed TTFT),0,2.8963093757,0.2,2.31704750056,2.048,0.2928932188036627,False,global candidate tie-break is reapplied after per-candidate snapping
h103-o500-d30-heterogeneous-slow,decode,heterogeneous,primary,1.0,0,True,False,tight-TPOT,-2,0.0083541903,0.2,0.00668335224,0.0056568542,0.3228722357449769,True,global candidate tie-break is reapplied after per-candidate snapping
h103-o500-d30-heterogeneous-slow,decode,heterogeneous,primary,0.9,0,True,False,tight-TPOT,0,0.0087240619,0.2,0.00697924952,0.0067271713,0.22889459323987604,False,global candidate tie-break is reapplied after per-candidate snapping
h103-o500-d30-heterogeneous-slow,prefill,heterogeneous,primary,1.0,0,True,False,relaxed-TPOT (fixed TTFT),2,2.8342474382,0.2,2.26739795056,2.048,0.2774095964956882,True,global candidate tie-break is reapplied after per-candidate snapping
h103-o500-d30-heterogeneous-slow,prefill,heterogeneous,primary,0.9,0,True,False,relaxed-TPOT (fixed TTFT),0,2.8963093757,0.2,2.31704750056,2.048,0.2928932188036627,False,global candidate tie-break is reapplied after per-candidate snapping
h103-o500-d30-a100-slow,decode,a100,primary,1.0,0,True,False,tight-TPOT,0,0.016,0.2,0.0128,0.0113137085,0.29289321874999996,False,global candidate tie-break is reapplied after per-candidate snapping
h103-o500-d30-a100-slow,decode,a100,primary,0.9,0,True,False,tight-TPOT,0,0.0174481237,0.2,0.01395849896,0.0134543426,0.22889458882045854,False,global candidate tie-break is reapplied after per-candidate snapping
h103-o500-d30-a100-slow,relaxed_decode,a100,primary,1.0,0,False,False,relaxed-TPOT (fixed TTFT),0,0.0442851162,0.2,0.035428092960000004,0.032,0.2774095961387587,False,global candidate tie-break is reapplied after per-candidate snapping
h103-o500-d30-a100-slow,relaxed_decode,a100,primary,0.9,0,False,False,relaxed-TPOT (fixed TTFT),0,0.045254834,0.2,0.0362038672,0.032,0.2928932188769049,False,global candidate tie-break is reapplied after per-candidate snapping
h104-o700-d120-heterogeneous-fast,decode,heterogeneous,primary,1.0,0,True,False,tight-TPOT,-2,0.0035125043,0.2,0.00281000344,0.002,0.4306056792585279,True,global candidate tie-break is reapplied after per-candidate snapping
h104-o700-d120-heterogeneous-fast,decode,heterogeneous,primary,0.9,0,True,False,tight-TPOT,0,0.0036680161,0.2,0.0029344128800000003,0.0028284271,0.22889457873426455,False,global candidate tie-break is reapplied after per-candidate snapping
h104-o700-d120-heterogeneous-fast,prefill,heterogeneous,primary,1.0,0,True,False,relaxed-TPOT (fixed TTFT),2,1.2177480858,0.2,0.97419846864,0.256,0.7897758961929957,True,global candidate tie-break is reapplied after per-candidate snapping
h104-o700-d120-heterogeneous-fast,prefill,heterogeneous,primary,0.9,0,True,False,relaxed-TPOT (fixed TTFT),0,1.4481546879,0.2,1.15852375032,1.1166799183,0.22889458727691492,False,global candidate tie-break is reapplied after per-candidate snapping
h104-o700-d120-a100-fast,decode,a100,primary,1.0,0,True,False,tight-TPOT,0,0.0065830219,0.2,0.00526641752,0.004,0.3923763188453011,False,global candidate tie-break is reapplied after per-candidate snapping
h104-o700-d120-a100-fast,decode,a100,primary,0.9,0,True,False,tight-TPOT,0,0.0067271713,0.2,0.005381737040000001,0.004,0.4053964405514693,False,global candidate tie-break is reapplied after per-candidate snapping
h104-o700-d120-a100-fast,relaxed_decode,a100,primary,1.0,0,True,False,relaxed-TPOT (fixed TTFT),0,0.0380546277,0.2,0.030443702160000002,0.016,0.5795517925931516,False,global candidate tie-break is reapplied after per-candidate snapping
h104-o700-d120-a100-fast,relaxed_decode,a100,primary,0.9,0,True,False,relaxed-TPOT (fixed TTFT),0,0.0414988658,0.2,0.033199092640000004,0.032,0.22889458824679487,False,global candidate tie-break is reapplied after per-candidate snapping
h105-o900-d30-heterogeneous-fast,decode,heterogeneous,primary,1.0,0,True,False,tight-TPOT,-2,0.0091103091,0.2,0.00728824728,0.004,0.5609369609643651,True,global candidate tie-break is reapplied after per-candidate snapping
h105-o900-d30-heterogeneous-fast,decode,heterogeneous,primary,0.9,0,True,False,tight-TPOT,0,0.0095136569,0.2,0.007610925520000001,0.004,0.5795517914882973,False,global candidate tie-break is reapplied after per-candidate snapping
h105-o900-d30-heterogeneous-fast,prefill,heterogeneous,primary,1.0,0,True,False,relaxed-TPOT (fixed TTFT),0,5.0866495983,0.2,4.06931967864,1.024,0.7986887085082037,False,global candidate tie-break is reapplied after per-candidate snapping
h105-o900-d30-heterogeneous-fast,prefill,heterogeneous,primary,0.9,0,True,False,relaxed-TPOT (fixed TTFT),0,5.7926187515,0.2,4.6340950012,4.466719673,0.22889458729812973,False,global candidate tie-break is reapplied after per-candidate snapping
h105-o900-d30-a100-fast,decode,a100,primary,1.0,0,True,False,tight-TPOT,0,0.0170742464,0.2,0.01365939712,0.004,0.7657290455876284,False,global candidate tie-break is reapplied after per-candidate snapping
h105-o900-d30-a100-fast,decode,a100,primary,0.9,0,True,False,tight-TPOT,0,0.0190273138,0.2,0.015221851040000001,0.004,0.7897758957441486,False,global candidate tie-break is reapplied after per-candidate snapping
h105-o900-d30-a100-fast,relaxed_decode,a100,primary,1.0,0,True,False,relaxed-TPOT (fixed TTFT),0,1.6138043855,0.2,1.2910435084,1.024,0.3654745214471967,False,global candidate tie-break is reapplied after per-candidate snapping
h105-o900-d30-a100-fast,relaxed_decode,a100,primary,0.9,0,True,False,relaxed-TPOT (fixed TTFT),0,1.7221558585,0.2,1.3777246868000002,1.024,0.40539644251949103,False,global candidate tie-break is reapplied after per-candidate snapping
h106-o1100-d120-heterogeneous-slow,decode,heterogeneous,primary,1.0,1,True,False,tight-TPOT,1,0.0083541903,0.2,0.00668335224,0.004,0.5211983619765042,False,global candidate tie-break is reapplied after per-candidate snapping
h106-o1100-d120-heterogeneous-slow,decode,heterogeneous,primary,0.9,0,False,False,tight-TPOT,0,0.0095136569,0.2,0.007610925520000001,0.004,0.5795517914882973,False,global candidate tie-break is reapplied after per-candidate snapping
h106-o1100-d120-heterogeneous-slow,prefill,heterogeneous,primary,1.0,1,False,False,relaxed-TPOT (fixed TTFT),1,0.2297227616,0.2,0.18377820928,0.181019336,0.21200957737398185,False,global candidate tie-break is reapplied after per-candidate snapping
h106-o1100-d120-heterogeneous-slow,prefill,heterogeneous,primary,0.9,0,False,False,relaxed-TPOT (fixed TTFT),0,2.048,0.2,1.6384,1.5792238853,0.22889458725585943,False,global candidate tie-break is reapplied after per-candidate snapping
h106-o1100-d120-a100-slow,decode,a100,primary,1.0,,,True,tight-TPOT,,,0.2,,,,False,global candidate tie-break is reapplied after per-candidate snapping
h106-o1100-d120-a100-slow,decode,a100,primary,0.9,0,False,False,tight-TPOT,0,0.016,0.2,0.0128,0.004,0.75,False,global candidate tie-break is reapplied after per-candidate snapping
h106-o1100-d120-a100-slow,relaxed_decode,a100,primary,1.0,,,True,relaxed-TPOT (fixed TTFT),,,0.2,,,,False,global candidate tie-break is reapplied after per-candidate snapping
h106-o1100-d120-a100-slow,relaxed_decode,a100,primary,0.9,0,False,False,relaxed-TPOT (fixed TTFT),0,0.064,0.2,0.0512,0.016,0.75,False,global candidate tie-break is reapplied after per-candidate snapping
