case_id,group,workload,duration_s,seed,kind,shift,regime,link,role,attempted,paired,failed,both_safe,optimistic,conservative,both_unsafe
h101-o60-d30-a100-fast-decode-shift0,h101-o60-d30-a100-fast,h101-o60-d30,30,101,a100,0,decode,fast,primary,20,20,0,4,0,0,16
h101-o60-d30-a100-fast-relaxed_decode-shift0,h101-o60-d30-a100-fast,h101-o60-d30,30,101,a100,0,relaxed_decode,fast,primary,20,20,0,14,0,0,6
h101-o60-d30-anchor-slow-decode-shift0,h101-o60-d30-anchor-slow,h101-o60-d30,30,101,heterogeneous,0,decode,slow,link_anchor,27,27,0,4,0,0,23
h101-o60-d30-anchor-slow-prefill-shift0,h101-o60-d30-anchor-slow,h101-o60-d30,30,101,heterogeneous,0,prefill,slow,link_anchor,27,27,0,15,0,8,4
h101-o60-d30-heterogeneous-fast-decode-shift-1,h101-o60-d30-heterogeneous-fast,h101-o60-d30,30,101,heterogeneous,-1,decode,fast,primary,51,51,0,9,0,0,42
h101-o60-d30-heterogeneous-fast-decode-shift-2,h101-o60-d30-heterogeneous-fast,h101-o60-d30,30,101,heterogeneous,-2,decode,fast,primary,51,51,0,10,0,0,41
h101-o60-d30-heterogeneous-fast-decode-shift0,h101-o60-d30-heterogeneous-fast,h101-o60-d30,30,101,heterogeneous,0,decode,fast,primary,51,51,0,8,0,0,43
h101-o60-d30-heterogeneous-fast-decode-shift1,h101-o60-d30-heterogeneous-fast,h101-o60-d30,30,101,heterogeneous,1,decode,fast,primary,51,51,0,7,0,0,44
h101-o60-d30-heterogeneous-fast-decode-shift2,h101-o60-d30-heterogeneous-fast,h101-o60-d30,30,101,heterogeneous,2,decode,fast,primary,51,51,0,5,0,0,46
h101-o60-d30-heterogeneous-fast-prefill-shift-1,h101-o60-d30-heterogeneous-fast,h101-o60-d30,30,101,heterogeneous,-1,prefill,fast,primary,51,51,0,25,0,16,10
h101-o60-d30-heterogeneous-fast-prefill-shift-2,h101-o60-d30-heterogeneous-fast,h101-o60-d30,30,101,heterogeneous,-2,prefill,fast,primary,51,51,0,21,0,15,15
h101-o60-d30-heterogeneous-fast-prefill-shift0,h101-o60-d30-heterogeneous-fast,h101-o60-d30,30,101,heterogeneous,0,prefill,fast,primary,51,51,0,25,0,22,4
h101-o60-d30-heterogeneous-fast-prefill-shift1,h101-o60-d30-heterogeneous-fast,h101-o60-d30,30,101,heterogeneous,1,prefill,fast,primary,51,51,0,25,0,19,7
h101-o60-d30-heterogeneous-fast-prefill-shift2,h101-o60-d30-heterogeneous-fast,h101-o60-d30,30,101,heterogeneous,2,prefill,fast,primary,51,51,0,27,0,12,12
h102-o300-d120-a100-slow-decode-shift0,h102-o300-d120-a100-slow,h102-o300-d120,120,102,a100,0,decode,slow,primary,22,22,0,3,0,2,17
h102-o300-d120-a100-slow-relaxed_decode-shift0,h102-o300-d120-a100-slow,h102-o300-d120,120,102,a100,0,relaxed_decode,slow,primary,22,22,0,12,1,0,9
h102-o300-d120-anchor-fast-decode-shift0,h102-o300-d120-anchor-fast,h102-o300-d120,120,102,heterogeneous,0,decode,fast,link_anchor,27,27,0,3,0,0,24
h102-o300-d120-anchor-fast-prefill-shift0,h102-o300-d120-anchor-fast,h102-o300-d120,120,102,heterogeneous,0,prefill,fast,link_anchor,27,27,0,14,0,8,5
h102-o300-d120-heterogeneous-slow-decode-shift-1,h102-o300-d120-heterogeneous-slow,h102-o300-d120,120,102,heterogeneous,-1,decode,slow,primary,53,53,0,10,0,0,43
h102-o300-d120-heterogeneous-slow-decode-shift-2,h102-o300-d120-heterogeneous-slow,h102-o300-d120,120,102,heterogeneous,-2,decode,slow,primary,53,53,0,11,0,0,42
h102-o300-d120-heterogeneous-slow-decode-shift0,h102-o300-d120-heterogeneous-slow,h102-o300-d120,120,102,heterogeneous,0,decode,slow,primary,53,53,0,9,0,0,44
h102-o300-d120-heterogeneous-slow-decode-shift1,h102-o300-d120-heterogeneous-slow,h102-o300-d120,120,102,heterogeneous,1,decode,slow,primary,53,53,0,7,0,0,46
h102-o300-d120-heterogeneous-slow-decode-shift2,h102-o300-d120-heterogeneous-slow,h102-o300-d120,120,102,heterogeneous,2,decode,slow,primary,53,53,0,6,0,0,47
h102-o300-d120-heterogeneous-slow-prefill-shift-1,h102-o300-d120-heterogeneous-slow,h102-o300-d120,120,102,heterogeneous,-1,prefill,slow,primary,53,53,0,27,0,15,11
h102-o300-d120-heterogeneous-slow-prefill-shift-2,h102-o300-d120-heterogeneous-slow,h102-o300-d120,120,102,heterogeneous,-2,prefill,slow,primary,53,53,0,21,0,17,15
h102-o300-d120-heterogeneous-slow-prefill-shift0,h102-o300-d120-heterogeneous-slow,h102-o300-d120,120,102,heterogeneous,0,prefill,slow,primary,53,53,0,29,0,18,6
h102-o300-d120-heterogeneous-slow-prefill-shift1,h102-o300-d120-heterogeneous-slow,h102-o300-d120,120,102,heterogeneous,1,prefill,slow,primary,53,53,0,30,0,14,9
h102-o300-d120-heterogeneous-slow-prefill-shift2,h102-o300-d120-heterogeneous-slow,h102-o300-d120,120,102,heterogeneous,2,prefill,slow,primary,53,53,0,30,0,11,12
h103-o500-d30-a100-slow-decode-shift0,h103-o500-d30-a100-slow,h103-o500-d30,30,103,a100,0,decode,slow,primary,26,26,0,8,1,0,17
h103-o500-d30-a100-slow-relaxed_decode-shift0,h103-o500-d30-a100-slow,h103-o500-d30,30,103,a100,0,relaxed_decode,slow,primary,26,26,0,8,11,0,7
h103-o500-d30-heterogeneous-slow-decode-shift-1,h103-o500-d30-heterogeneous-slow,h103-o500-d30,30,103,heterogeneous,-1,decode,slow,primary,46,46,0,9,1,0,36
h103-o500-d30-heterogeneous-slow-decode-shift-2,h103-o500-d30-heterogeneous-slow,h103-o500-d30,30,103,heterogeneous,-2,decode,slow,primary,46,46,0,11,0,0,35
h103-o500-d30-heterogeneous-slow-decode-shift0,h103-o500-d30-heterogeneous-slow,h103-o500-d30,30,103,heterogeneous,0,decode,slow,primary,46,46,0,8,0,0,38
h103-o500-d30-heterogeneous-slow-decode-shift1,h103-o500-d30-heterogeneous-slow,h103-o500-d30,30,103,heterogeneous,1,decode,slow,primary,46,46,0,7,0,0,39
h103-o500-d30-heterogeneous-slow-decode-shift2,h103-o500-d30-heterogeneous-slow,h103-o500-d30,30,103,heterogeneous,2,decode,slow,primary,46,46,0,6,0,0,40
h103-o500-d30-heterogeneous-slow-prefill-shift-1,h103-o500-d30-heterogeneous-slow,h103-o500-d30,30,103,heterogeneous,-1,prefill,slow,primary,46,46,0,24,0,9,13
h103-o500-d30-heterogeneous-slow-prefill-shift-2,h103-o500-d30-heterogeneous-slow,h103-o500-d30,30,103,heterogeneous,-2,prefill,slow,primary,46,46,0,23,0,7,16
h103-o500-d30-heterogeneous-slow-prefill-shift0,h103-o500-d30-heterogeneous-slow,h103-o500-d30,30,103,heterogeneous,0,prefill,slow,primary,46,46,0,24,0,16,6
h103-o500-d30-heterogeneous-slow-prefill-shift1,h103-o500-d30-heterogeneous-slow,h103-o500-d30,30,103,heterogeneous,1,prefill,slow,primary,46,46,0,24,0,15,7
h103-o500-d30-heterogeneous-slow-prefill-shift2,h103-o500-d30-heterogeneous-slow,h103-o500-d30,30,103,heterogeneous,2,prefill,slow,primary,46,46,0,25,0,10,11
h104-o700-d120-a100-fast-decode-shift0,h104-o700-d120-a100-fast,h104-o700-d120,120,104,a100,0,decode,fast,primary,24,24,0,6,0,0,18
h104-o700-d120-a100-fast-relaxed_decode-shift0,h104-o700-d120-a100-fast,h104-o700-d120,120,104,a100,0,relaxed_decode,fast,primary,24,24,0,13,1,0,10
h104-o700-d120-heterogeneous-fast-decode-shift-1,h104-o700-d120-heterogeneous-fast,h104-o700-d120,120,104,heterogeneous,-1,decode,fast,primary,41,41,0,8,0,0,33
h104-o700-d120-heterogeneous-fast-decode-shift-2,h104-o700-d120-heterogeneous-fast,h104-o700-d120,120,104,heterogeneous,-2,decode,fast,primary,41,41,0,10,0,0,31
h104-o700-d120-heterogeneous-fast-decode-shift0,h104-o700-d120-heterogeneous-fast,h104-o700-d120,120,104,heterogeneous,0,decode,fast,primary,41,41,0,7,0,0,34
h104-o700-d120-heterogeneous-fast-decode-shift1,h104-o700-d120-heterogeneous-fast,h104-o700-d120,120,104,heterogeneous,1,decode,fast,primary,41,41,0,6,0,0,35
h104-o700-d120-heterogeneous-fast-decode-shift2,h104-o700-d120-heterogeneous-fast,h104-o700-d120,120,104,heterogeneous,2,decode,fast,primary,41,41,0,5,0,0,36
h104-o700-d120-heterogeneous-fast-prefill-shift-1,h104-o700-d120-heterogeneous-fast,h104-o700-d120,120,104,heterogeneous,-1,prefill,fast,primary,41,41,0,20,0,13,8
h104-o700-d120-heterogeneous-fast-prefill-shift-2,h104-o700-d120-heterogeneous-fast,h104-o700-d120,120,104,heterogeneous,-2,prefill,fast,primary,41,41,0,19,0,11,11
h104-o700-d120-heterogeneous-fast-prefill-shift0,h104-o700-d120-heterogeneous-fast,h104-o700-d120,120,104,heterogeneous,0,prefill,fast,primary,41,41,0,20,0,17,4
h104-o700-d120-heterogeneous-fast-prefill-shift1,h104-o700-d120-heterogeneous-fast,h104-o700-d120,120,104,heterogeneous,1,prefill,fast,primary,41,41,0,20,0,17,4
h104-o700-d120-heterogeneous-fast-prefill-shift2,h104-o700-d120-heterogeneous-fast,h104-o700-d120,120,104,heterogeneous,2,prefill,fast,primary,41,41,0,21,0,12,8
h105-o900-d30-a100-fast-decode-shift0,h105-o900-d30-a100-fast,h105-o900-d30,30,105,a100,0,decode,fast,primary,27,27,0,5,0,0,22
h105-o900-d30-a100-fast-relaxed_decode-shift0,h105-o900-d30-a100-fast,h105-o900-d30,30,105,a100,0,relaxed_decode,fast,primary,27,27,0,15,0,7,5
h105-o900-d30-heterogeneous-fast-decode-shift-1,h105-o900-d30-heterogeneous-fast,h105-o900-d30,30,105,heterogeneous,-1,decode,fast,primary,49,49,0,7,0,0,42
h105-o900-d30-heterogeneous-fast-decode-shift-2,h105-o900-d30-heterogeneous-fast,h105-o900-d30,30,105,heterogeneous,-2,decode,fast,primary,49,49,0,9,0,0,40
h105-o900-d30-heterogeneous-fast-decode-shift0,h105-o900-d30-heterogeneous-fast,h105-o900-d30,30,105,heterogeneous,0,decode,fast,primary,49,49,0,6,0,0,43
h105-o900-d30-heterogeneous-fast-decode-shift1,h105-o900-d30-heterogeneous-fast,h105-o900-d30,30,105,heterogeneous,1,decode,fast,primary,49,49,0,5,0,0,44
h105-o900-d30-heterogeneous-fast-decode-shift2,h105-o900-d30-heterogeneous-fast,h105-o900-d30,30,105,heterogeneous,2,decode,fast,primary,49,49,0,3,0,0,46
h105-o900-d30-heterogeneous-fast-prefill-shift-1,h105-o900-d30-heterogeneous-fast,h105-o900-d30,30,105,heterogeneous,-1,prefill,fast,primary,49,49,0,22,0,12,15
h105-o900-d30-heterogeneous-fast-prefill-shift-2,h105-o900-d30-heterogeneous-fast,h105-o900-d30,30,105,heterogeneous,-2,prefill,fast,primary,49,49,0,18,0,12,19
h105-o900-d30-heterogeneous-fast-prefill-shift0,h105-o900-d30-heterogeneous-fast,h105-o900-d30,30,105,heterogeneous,0,prefill,fast,primary,49,49,0,23,0,19,7
h105-o900-d30-heterogeneous-fast-prefill-shift1,h105-o900-d30-heterogeneous-fast,h105-o900-d30,30,105,heterogeneous,1,prefill,fast,primary,49,49,0,23,0,23,3
h105-o900-d30-heterogeneous-fast-prefill-shift2,h105-o900-d30-heterogeneous-fast,h105-o900-d30,30,105,heterogeneous,2,prefill,fast,primary,49,49,0,23,0,16,10
h106-o1100-d120-a100-slow-decode-shift0,h106-o1100-d120-a100-slow,h106-o1100-d120,120,106,a100,0,decode,slow,primary,11,11,0,0,0,0,11
h106-o1100-d120-a100-slow-relaxed_decode-shift0,h106-o1100-d120-a100-slow,h106-o1100-d120,120,106,a100,0,relaxed_decode,slow,primary,11,11,0,0,0,0,11
h106-o1100-d120-heterogeneous-slow-decode-shift-1,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,120,106,heterogeneous,-1,decode,slow,primary,50,50,0,0,0,0,50
h106-o1100-d120-heterogeneous-slow-decode-shift-2,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,120,106,heterogeneous,-2,decode,slow,primary,50,50,0,0,0,0,50
h106-o1100-d120-heterogeneous-slow-decode-shift0,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,120,106,heterogeneous,0,decode,slow,primary,50,50,0,0,0,0,50
h106-o1100-d120-heterogeneous-slow-decode-shift1,h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,120,106,heterogeneous,1,decode,slow,primary,50,50,0,7,0,0,43
