case_id,group,workload,duration_s,seed,kind,shift,regime,link,role,status,absolute_gap,relative_gap,precise_sampled_gap,largest_relative_bracket,evaluator_largest_safe,evaluator_nearest_unsafe_above,evaluator_all_unsafe,evaluator_right_censored,evaluator_nonmonotone,evaluator_single_boundary_supported,reference_largest_safe,reference_nearest_unsafe_above,reference_all_unsafe,reference_right_censored,reference_nonmonotone,reference_single_boundary_supported
h101-o60-d30-a100-fast-decode-shift0,h101-o60-d30-a100-fast,h101-o60-d30,30,101,a100,0,decode,fast,primary,ok,0.0,0.0,True,0.02189714766779116,0.0190273138,0.0194439577,False,False,False,True,0.0190273138,0.0194439577,False,False,False,True
h101-o60-d30-a100-fast-relaxed_decode-shift0,h101-o60-d30-a100-fast,h101-o60-d30,30,101,a100,0,relaxed_decode,fast,primary,ok,0.0,0.0,True,0.021897148223562812,0.062628612,0.064,False,False,False,True,0.062628612,0.064,False,False,False,True
h101-o60-d30-anchor-slow-decode-shift0,h101-o60-d30-anchor-slow,h101-o60-d30,30,101,heterogeneous,0,decode,slow,link_anchor,ok,0.0,0.0,True,0.02189715292339378,0.0095136569,0.0097219789,False,False,False,True,0.0095136569,0.0097219789,False,False,False,True
h101-o60-d30-anchor-slow-prefill-shift0,h101-o60-d30-anchor-slow,h101-o60-d30,30,101,heterogeneous,0,prefill,slow,link_anchor,ok,-8.3415797877,-0.8749999999986888,True,0.021897148675259936,1.1916542554,1.2177480858,False,False,False,True,9.5332340431,9.7419846861,False,False,False,True
h101-o60-d30-heterogeneous-fast-decode-shift-1,h101-o60-d30-heterogeneous-fast,h101-o60-d30,30,101,heterogeneous,-1,decode,fast,primary,ok,0.0,0.0,True,0.021897146886422414,0.0097219789,0.0099348625,False,False,False,True,0.0097219789,0.0099348625,False,False,False,True
h101-o60-d30-heterogeneous-fast-decode-shift-2,h101-o60-d30-heterogeneous-fast,h101-o60-d30,30,101,heterogeneous,-2,decode,fast,primary,ok,0.0,0.0,True,0.02189714251203778,0.0099348625,0.0101524076,False,False,False,True,0.0099348625,0.0101524076,False,False,False,True
h101-o60-d30-heterogeneous-fast-decode-shift0,h101-o60-d30-heterogeneous-fast,h101-o60-d30,30,101,heterogeneous,0,decode,fast,primary,ok,0.0,0.0,True,0.02189715292339378,0.0095136569,0.0097219789,False,False,False,True,0.0095136569,0.0097219789,False,False,False,True
h101-o60-d30-heterogeneous-fast-decode-shift1,h101-o60-d30-heterogeneous-fast,h101-o60-d30,30,101,heterogeneous,1,decode,fast,primary,ok,0.0,0.0,True,0.021897143234748118,0.0093097989,0.0095136569,False,False,False,True,0.0093097989,0.0095136569,False,False,False,True
h101-o60-d30-heterogeneous-fast-decode-shift2,h101-o60-d30-heterogeneous-fast,h101-o60-d30,30,101,heterogeneous,2,decode,fast,primary,ok,0.0,0.0,True,0.021897144326240348,0.008915094,0.0091103091,False,False,False,True,0.008915094,0.0091103091,False,False,False,True
h101-o60-d30-heterogeneous-fast-prefill-shift-1,h101-o60-d30-heterogeneous-fast,h101-o60-d30,30,101,heterogeneous,-1,prefill,fast,primary,ok,-7.255766125800001,-0.6540225295050276,True,0.021897148659476784,3.8382953147,3.9223430378,False,False,False,True,11.0940614405,11.3369897531,False,False,False,True
h101-o60-d30-heterogeneous-fast-prefill-shift-2,h101-o60-d30-heterogeneous-fast,h101-o60-d30,30,101,heterogeneous,-2,prefill,fast,primary,ok,-6.4424652954,-0.6757901113382349,True,0.021897148654510312,3.0907687477,3.1584477704,False,False,False,True,9.5332340431,9.7419846861,False,False,False,True
h101-o60-d30-heterogeneous-fast-prefill-shift0,h101-o60-d30-heterogeneous-fast,h101-o60-d30,30,101,heterogeneous,0,prefill,fast,primary,ok,-9.3548414847,-0.7090687853039954,True,0.02189714865818493,3.8382953147,3.9223430378,False,False,False,True,13.1931367994,13.4820288771,False,False,False,True
h101-o60-d30-heterogeneous-fast-prefill-shift1,h101-o60-d30-heterogeneous-fast,h101-o60-d30,30,101,heterogeneous,1,prefill,fast,primary,ok,-8.000625856100001,-0.675790111334897,True,0.02189714865818493,3.8382953147,3.9223430378,False,False,False,True,11.8389211708,12.0981597876,False,False,False,True
h101-o60-d30-heterogeneous-fast-prefill-shift2,h101-o60-d30-heterogeneous-fast,h101-o60-d30,30,101,heterogeneous,2,prefill,fast,primary,ok,-6.300065441299999,-0.6060047887224721,True,0.021897148657226584,4.096,4.1856907209,False,False,False,True,10.3960654413,10.6237096317,False,False,False,True
h102-o300-d120-a100-slow-decode-shift0,h102-o300-d120-a100-slow,h102-o300-d120,120,102,a100,0,decode,slow,primary,ok,-0.0034439577,-0.17712225839701348,False,0.021897152142025034,0.016,0.0163503544,False,False,False,True,0.0194439577,0.019869725,False,False,True,False
h102-o300-d120-a100-slow-relaxed_decode-shift0,h102-o300-d120-a100-slow,h102-o300-d120,120,102,a100,0,relaxed_decode,slow,primary,ok,0.0004543533999999995,0.021897147849279267,True,0.021897150510331143,0.0212037863,0.0216680888,False,False,False,True,0.0207494329,0.0212037863,False,False,False,True
h102-o300-d120-anchor-fast-decode-shift0,h102-o300-d120-anchor-fast,h102-o300-d120,120,102,heterogeneous,0,decode,fast,link_anchor,ok,0.0,0.0,True,0.021897150000000032,0.008,0.0081751772,False,False,False,True,0.008,0.0081751772,False,False,False,True
h102-o300-d120-anchor-fast-prefill-shift0,h102-o300-d120-anchor-fast,h102-o300-d120,120,102,heterogeneous,0,prefill,fast,link_anchor,ok,-8.1882134602,-0.7707489892012162,True,0.021897148657551657,2.4354961715,2.4888265932,False,False,False,True,10.6237096317,10.8563385808,False,False,False,True
h102-o300-d120-heterogeneous-slow-decode-shift-1,h102-o300-d120-heterogeneous-slow,h102-o300-d120,120,102,heterogeneous,-1,decode,slow,primary,ok,0.0,0.0,True,0.02189715227212452,0.0081751772,0.0083541903,False,False,False,True,0.0081751772,0.0083541903,False,False,False,True
h102-o300-d120-heterogeneous-slow-decode-shift-2,h102-o300-d120-heterogeneous-slow,h102-o300-d120,120,102,heterogeneous,-2,decode,slow,primary,ok,0.0,0.0,True,0.02189714304209711,0.0083541903,0.0085371232,False,False,False,True,0.0083541903,0.0085371232,False,False,False,True
h102-o300-d120-heterogeneous-slow-decode-shift0,h102-o300-d120-heterogeneous-slow,h102-o300-d120,120,102,heterogeneous,0,decode,slow,primary,ok,0.0,0.0,True,0.021897150000000032,0.008,0.0081751772,False,False,False,True,0.008,0.0081751772,False,False,False,True
h102-o300-d120-heterogeneous-slow-decode-shift1,h102-o300-d120-heterogeneous-slow,h102-o300-d120,120,102,heterogeneous,1,decode,slow,primary,ok,0.0,0.0,True,0.02189715516584889,0.0076608262,0.0078285765,False,False,False,True,0.0076608262,0.0078285765,False,False,False,True
h102-o300-d120-heterogeneous-slow-decode-shift2,h102-o300-d120-heterogeneous-slow,h102-o300-d120,120,102,heterogeneous,2,decode,slow,primary,ok,0.0,0.0,True,0.021897147540364648,0.0074966705,0.0076608262,False,False,False,True,0.0074966705,0.0076608262,False,False,False,True
h102-o300-d120-heterogeneous-slow-prefill-shift-1,h102-o300-d120-heterogeneous-slow,h102-o300-d120,120,102,heterogeneous,-1,prefill,slow,primary,ok,-6.2224517016,-0.727373066830101,True,0.02189714865618564,2.332239124,2.3833085108,False,False,False,True,8.5546908256,8.7420141623,False,False,False,True
h102-o300-d120-heterogeneous-slow-prefill-shift-2,h102-o300-d120-heterogeneous-slow,h102-o300-d120,120,102,heterogeneous,-2,prefill,slow,primary,ok,-6.164320655899999,-0.8030023943561259,True,0.021897148645158238,1.5122699735,1.5453843739,False,False,False,True,7.6765906294,7.8446860755,False,False,False,True
h102-o300-d120-heterogeneous-slow-prefill-shift0,h102-o300-d120-heterogeneous-slow,h102-o300-d120,120,102,heterogeneous,0,prefill,slow,primary,ok,-7.3064885146,-0.7500000000025662,True,0.021897148658462928,2.4354961715,2.4888265932,False,False,False,True,9.7419846861,9.955306373,False,False,False,True
h102-o300-d120-heterogeneous-slow-prefill-shift1,h102-o300-d120-heterogeneous-slow,h102-o300-d120,120,102,heterogeneous,1,prefill,slow,primary,ok,-6.4446127527999995,-0.721403314355698,True,0.021897148659894672,2.4888265932,2.5433247991,False,False,False,True,8.933439346,9.1290561953,False,False,False,True
h102-o300-d120-heterogeneous-slow-prefill-shift2,h102-o300-d120-heterogeneous-slow,h102-o300-d120,120,102,heterogeneous,2,prefill,slow,primary,ok,-5.8825548486,-0.7026982212550027,True,0.021897148659894672,2.4888265932,2.5433247991,False,False,False,True,8.3713814418,8.5546908256,False,False,False,True
h103-o500-d30-a100-slow-decode-shift0,h103-o500-d30-a100-slow,h103-o500-d30,30,103,a100,0,decode,slow,primary,ok,0.0003428470000000003,0.021897148223562757,True,0.021897150000000032,0.016,0.0163503544,False,False,False,True,0.015657153,0.016,False,False,False,True
h103-o500-d30-a100-slow-relaxed_decode-shift0,h103-o500-d30-a100-slow,h103-o500-d30,30,103,a100,0,relaxed_decode,slow,primary,ok,0.028627963200000002,1.8284271220955688,True,0.021897149272919858,0.0442851162,0.045254834,False,False,False,True,0.015657153,0.016,False,False,False,True
h103-o500-d30-heterogeneous-slow-decode-shift-1,h103-o500-d30-heterogeneous-slow,h103-o500-d30,30,103,heterogeneous,-1,decode,slow,primary,ok,0.00017517719999999952,0.021897149999999938,True,0.02189715227212452,0.0081751772,0.0083541903,False,False,False,True,0.008,0.0081751772,False,False,False,True
h103-o500-d30-heterogeneous-slow-decode-shift-2,h103-o500-d30-heterogeneous-slow,h103-o500-d30,30,103,heterogeneous,-2,decode,slow,primary,ok,0.0,0.0,True,0.02189714304209711,0.0083541903,0.0085371232,False,False,False,True,0.0083541903,0.0085371232,False,False,False,True
h103-o500-d30-heterogeneous-slow-decode-shift0,h103-o500-d30-heterogeneous-slow,h103-o500-d30,30,103,heterogeneous,0,decode,slow,primary,ok,0.0,0.0,True,0.021897148223562812,0.0078285765,0.008,False,False,False,True,0.0078285765,0.008,False,False,False,True
h103-o500-d30-heterogeneous-slow-decode-shift1,h103-o500-d30-heterogeneous-slow,h103-o500-d30,30,103,heterogeneous,1,decode,slow,primary,ok,0.0,0.0,True,0.02189715516584889,0.0076608262,0.0078285765,False,False,False,True,0.0076608262,0.0078285765,False,False,False,True
h103-o500-d30-heterogeneous-slow-decode-shift2,h103-o500-d30-heterogeneous-slow,h103-o500-d30,30,103,heterogeneous,2,decode,slow,primary,ok,0.0,0.0,True,0.021897147540364648,0.0074966705,0.0076608262,False,False,False,True,0.0074966705,0.0076608262,False,False,False,True
h103-o500-d30-heterogeneous-slow-prefill-shift-1,h103-o500-d30-heterogeneous-slow,h103-o500-d30,30,103,heterogeneous,-1,prefill,slow,primary,ok,-5.4184846399,-0.661436113269043,True,0.021897148657226584,2.7735153601,2.8342474382,False,False,False,True,8.192,8.3713814418,False,False,False,True
