group,workload,regime,link,status,grid_points,grid_fingerprint,any_reference_censoring,any_reference_nonmonotonicity,selected_shift,evaluator_best_set,reference_best_set,selected_reference_rank,reference_regret,normalized_reference_quality,winner_agrees,abstention,spearman,reference_top_gap,evaluator_scores,reference_scores
h101-o60-d30-heterogeneous-fast,h101-o60-d30,decode,fast,ok,51,dcbb9b938fe4f9b7afc4dfd4e09b06dc9d94cf41efcab0489cbcea192e2c4f60,False,False,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00021288359999999985,"{""-1"":0.0097219789,""-2"":0.0099348625,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}","{""-1"":0.0097219789,""-2"":0.0099348625,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}"
h101-o60-d30-heterogeneous-fast,h101-o60-d30,prefill,fast,ok,51,dcbb9b938fe4f9b7afc4dfd4e09b06dc9d94cf41efcab0489cbcea192e2c4f60,False,False,2,[2],[0],4,2.7970713581,0.7879904225485477,False,False,0.22360679774997896,1.3542156285999987,"{""-1"":3.8382953147,""-2"":3.0907687477,""0"":3.8382953147,""1"":3.8382953147,""2"":4.096}","{""-1"":11.0940614405,""-2"":9.5332340431,""0"":13.1931367994,""1"":11.8389211708,""2"":10.3960654413}"
h102-o300-d120-heterogeneous-slow,h102-o300-d120,decode,slow,ok,53,dc956db9f645041c5866e2b0a306caa68d43348c9730609fba8188735fad8e13,False,False,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00017901310000000004,"{""-1"":0.0081751772,""-2"":0.0083541903,""0"":0.008,""1"":0.0076608262,""2"":0.0074966705}","{""-1"":0.0081751772,""-2"":0.0083541903,""0"":0.008,""1"":0.0076608262,""2"":0.0074966705}"
h102-o300-d120-heterogeneous-slow,h102-o300-d120,prefill,slow,ok,53,dc956db9f645041c5866e2b0a306caa68d43348c9730609fba8188735fad8e13,False,False,1,"[1,2]",[0],2,0.8085453401000002,0.9170040432055242,False,False,0.41039134083406165,0.8085453401000002,"{""-1"":2.332239124,""-2"":1.5122699735,""0"":2.4354961715,""1"":2.4888265932,""2"":2.4888265932}","{""-1"":8.5546908256,""-2"":7.6765906294,""0"":9.7419846861,""1"":8.933439346,""2"":8.3713814418}"
h103-o500-d30-heterogeneous-slow,h103-o500-d30,decode,slow,ok,46,3bdf291c743e13d6538f325bb130533ca86b489b6c8992dde8bba9524b8bd193,False,False,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00035419029999999956,"{""-1"":0.0081751772,""-2"":0.0083541903,""0"":0.0078285765,""1"":0.0076608262,""2"":0.0074966705}","{""-1"":0.008,""-2"":0.0083541903,""0"":0.0078285765,""1"":0.0076608262,""2"":0.0074966705}"
h103-o500-d30-heterogeneous-slow,h103-o500-d30,prefill,slow,ok,46,3bdf291c743e13d6538f325bb130533ca86b489b6c8992dde8bba9524b8bd193,False,False,2,[2],[0],3,1.1872938605000005,0.8781260801821986,False,False,0.4472135954999579,0.20875064300000012,"{""-1"":2.7735153601,""-2"":2.7140846452,""0"":2.7735153601,""1"":2.7735153601,""2"":2.8342474382}","{""-1"":8.192,""-2"":7.1936088489,""0"":9.7419846861,""1"":9.5332340431,""2"":8.5546908256}"
h104-o700-d120-heterogeneous-fast,h104-o700-d120,decode,fast,ok,41,3453cdb479241b11dd7f993e3f5d69814802f19fabb2f09596b6792fa59d3946,False,False,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.0001489187000000003,"{""-1"":0.0033635856,""-2"":0.0035125043,""0"":0.0032915109,""1"":0.0032209806,""2"":0.0031519616}","{""-1"":0.0033635856,""-2"":0.0035125043,""0"":0.0032915109,""1"":0.0032209806,""2"":0.0031519616}"
h104-o700-d120-heterogeneous-fast,h104-o700-d120,prefill,fast,ok,41,3453cdb479241b11dd7f993e3f5d69814802f19fabb2f09596b6792fa59d3946,False,False,2,[2],"[0,1]",3,0.6919345447999996,0.8973545374954421,False,False,0.3535533905932738,0.0,"{""-1"":1.1916542554,""-2"":1.166119562,""0"":1.1916542554,""1"":1.1916542554,""2"":1.2177480858}","{""-1"":6.0490798938,""-2"":5.4281692904,""0"":6.7410144386,""1"":6.7410144386,""2"":6.0490798938}"
h105-o900-d30-heterogeneous-fast,h105-o900-d30,decode,fast,ok,49,f428b9290405c5b3cf9750b8e589f9472046af79bddb6556993bd8909ce5d105,False,False,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.0003862472000000002,"{""-1"":0.0087240619,""-2"":0.0091103091,""0"":0.0085371232,""1"":0.0083541903,""2"":0.008}","{""-1"":0.0087240619,""-2"":0.0091103091,""0"":0.0085371232,""1"":0.0083541903,""2"":0.008}"
h105-o900-d30-heterogeneous-fast,h105-o900-d30,prefill,fast,ok,49,f428b9290405c5b3cf9750b8e589f9472046af79bddb6556993bd8909ce5d105,False,False,0,"[0,1,2]",[1],2,4.268435781499996,0.8973545375026458,False,False,0.8944271909999159,4.268435781499996,"{""-1"":4.9776531865,""-2"":4.2773454128,""0"":5.0866495983,""1"":5.0866495983,""2"":5.0866495983}","{""-1"":27.554493735,""-2"":19.9106127459,""0"":37.3158259837,""1"":41.5842617652,""2"":32.0658493305}"
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,decode,slow,ok,50,ab6bb3c0f05b10c9b9410355410663a385ee49028f47a0d8e9ecf694af3197b0,False,False,1,[1],[1],1,0.0,1.0,True,False,1.0,0.00017901310000000004,"{""-1"":0.0,""-2"":0.0,""0"":0.0,""1"":0.0083541903,""2"":0.0081751772}","{""-1"":0.0,""-2"":0.0,""0"":0.0,""1"":0.0083541903,""2"":0.0081751772}"
h106-o1100-d120-heterogeneous-slow,h106-o1100-d120,prefill,slow,ok,50,ab6bb3c0f05b10c9b9410355410663a385ee49028f47a0d8e9ecf694af3197b0,False,True,1,"[1,2]",[2],2,1.4510307203000004,0.7384130729635613,False,False,0.9682458365518541,1.4510307203000004,"{""-1"":0.0,""-2"":0.0,""0"":0.0,""1"":0.2297227616,""2"":0.2297227616}","{""-1"":0.0,""-2"":0.0,""0"":0.0,""1"":4.096,""2"":5.5470307203}"
