group,regime,variant,selected_shift,evaluator_best_set,reference_best_set,selected_reference_rank,reference_regret,normalized_reference_quality,winner_agrees,abstention,spearman,reference_top_gap,evaluator_scores,reference_scores,evaluator_right_censored,evaluator_nonmonotone,selected_changed_from_nominal,new_decision_error
h101-o60-d30-heterogeneous-fast,decode,both_minus10,0,"[-2,-1,0]",[-2],3,0.0004212056000000002,0.9576032783543809,False,False,0.8944271909999159,0.00021288359999999985,"{""-2"":0.0103747164,""-1"":0.0103747164,""0"":0.0103747164,""1"":0.0101524076,""2"":0.0099348625}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",False,False,True,True
h101-o60-d30-heterogeneous-fast,decode,both_minus20,0,"[-2,-1,0,1,2]",[-2],3,0.0004212056000000002,0.9576032783543809,False,False,,0.00021288359999999985,"{""-2"":0.0113137085,""-1"":0.0113137085,""0"":0.0113137085,""1"":0.0113137085,""2"":0.0113137085}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",False,False,True,True
h101-o60-d30-heterogeneous-fast,decode,both_minus5,-1,"[-2,-1]",[-2],2,0.00021288359999999985,0.9785720637804499,False,False,0.9746794344808964,0.00021288359999999985,"{""-2"":0.0103747164,""-1"":0.0103747164,""0"":0.0099348625,""1"":0.0097219789,""2"":0.0095136569}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",False,False,True,True
h101-o60-d30-heterogeneous-fast,decode,decode_minus10,0,"[-2,-1,0]",[-2],3,0.0004212056000000002,0.9576032783543809,False,False,0.8944271909999159,0.00021288359999999985,"{""-2"":0.0103747164,""-1"":0.0103747164,""0"":0.0103747164,""1"":0.0101524076,""2"":0.0099348625}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",False,False,True,True
h101-o60-d30-heterogeneous-fast,decode,decode_minus20,0,"[-2,-1,0,1]",[-2],3,0.0004212056000000002,0.9576032783543809,False,False,0.7071067811865475,0.00021288359999999985,"{""-2"":0.0113137085,""-1"":0.0113137085,""0"":0.0113137085,""1"":0.0113137085,""2"":0.0103747164}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",False,False,True,True
h101-o60-d30-heterogeneous-fast,decode,decode_minus5,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00021288359999999985,"{""-2"":0.0103747164,""-1"":0.0101524076,""0"":0.0099348625,""1"":0.0097219789,""2"":0.0095136569}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",False,False,False,False
h101-o60-d30-heterogeneous-fast,decode,l4x2_minus10,-1,"[-2,-1]",[-2],2,0.00021288359999999985,0.9785720637804499,False,False,0.9746794344808964,0.00021288359999999985,"{""-2"":0.0103747164,""-1"":0.0103747164,""0"":0.0101524076,""1"":0.0099348625,""2"":0.0097219789}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",False,False,True,True
h101-o60-d30-heterogeneous-fast,decode,nominal,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00021288359999999985,"{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",False,False,False,False
h101-o60-d30-heterogeneous-fast,decode,prefill_minus10,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00021288359999999985,"{""-2"":0.0101524076,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",False,False,False,False
h101-o60-d30-heterogeneous-fast,decode,prefill_minus20,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00021288359999999985,"{""-2"":0.0101524076,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.0091103091}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",False,False,False,False
