kind,variant,attempted,paired,failed,both_safe,optimistic,conservative,both_unsafe
a100,both_minus10,260,260,0,90,44,7,119
a100,both_minus20,260,260,0,92,55,5,108
a100,both_minus5,260,260,0,90,38,7,125
a100,decode_minus10,260,260,0,88,33,9,130
a100,decode_minus20,260,260,0,90,40,7,123
a100,decode_minus5,260,260,0,88,27,9,136
a100,nominal,260,260,0,88,14,9,149
a100,prefill_minus10,260,260,0,90,25,7,138
a100,prefill_minus20,260,260,0,90,26,7,137
a100,prefill_minus5,260,260,0,90,25,7,138
heterogeneous,both_minus10,3008,3008,0,997,280,272,1459
heterogeneous,both_minus20,3008,3008,0,1021,340,248,1399
heterogeneous,both_minus5,3008,3008,0,979,226,290,1513
heterogeneous,decode_minus10,3008,3008,0,875,117,394,1622
heterogeneous,decode_minus20,3008,3008,0,877,156,392,1583
heterogeneous,decode_minus5,3008,3008,0,871,74,398,1665
heterogeneous,l4x2_minus10,3008,3008,0,974,235,295,1504
heterogeneous,nominal,3008,3008,0,865,9,404,1730
heterogeneous,prefill_minus10,3008,3008,0,997,170,272,1569
heterogeneous,prefill_minus20,3008,3008,0,1018,193,251,1546
heterogeneous,prefill_minus5,3008,3008,0,976,158,293,1581
