group,workload,sla,ttft_s,tpot_s,variant,selected_shift,evaluator_best_set,reference_best_set,selected_reference_rank,reference_regret,normalized_reference_quality,winner_agrees,abstention,spearman,reference_top_gap,evaluator_scores,reference_scores,best_set_overlap,incomplete_reference,mismatch_type,reference_best_capacity,selected_partition_reference_capacity,evaluator_recommended_intensity,partition_selection_loss,operating_point_loss,allocation_component,exact_reference_safe,safe_usable_load,safe_operating_point_loss,recommendation_violations,reference_nonmonotone,evaluator_nonmonotone,reference_no_safe_candidates,evaluator_no_safe_candidates,unresolved
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00021288359999999985,"{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",[-2],False,agreement,0.0099348625,0.0099348625,0.0099348625,0.0,0.0,0.0,True,0.0099348625,0.0,"{""safe"":true,""max_ttft_s"":4.592386054369745,""max_native_ttft_s"":4.803736798372374,""max_tpot_s"":0.2163507440037381,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":13.09224050003104,""violation_type"":null}",False,False,[],[],False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Remaining,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00021288359999999985,"{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",[-2],False,agreement,0.0099348625,0.0099348625,0.0099348625,0.0,0.0,0.0,True,0.0099348625,0.0,"{""safe"":true,""max_ttft_s"":4.592386054369745,""max_native_ttft_s"":4.803736798372374,""max_tpot_s"":0.2163507440037381,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":13.09224050003104,""violation_type"":null}",False,False,[],[],False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT0.3,5.2,0.3,Legacy-Full,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00021288359999999985,"{""-2"":0.0097219789,""-1"":0.0095136569,""0"":0.0093097989,""1"":0.0091103091,""2"":0.0087240619}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",[-2],False,agreement,0.0099348625,0.0099348625,0.0097219789,0.0,0.02142793621955008,0.021427936219550078,True,0.0097219789,0.02142793621955008,"{""safe"":true,""max_ttft_s"":4.592386054369745,""max_native_ttft_s"":4.803736798372374,""max_tpot_s"":0.2163507440037381,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":15.341628999973182,""violation_type"":null}",False,False,[],[],False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT0.3,5.2,0.3,Legacy-Remaining,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00021288359999999985,"{""-2"":0.0097219789,""-1"":0.0095136569,""0"":0.0093097989,""1"":0.0091103091,""2"":0.0087240619}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",[-2],False,agreement,0.0099348625,0.0099348625,0.0097219789,0.0,0.02142793621955008,0.021427936219550078,True,0.0097219789,0.02142793621955008,"{""safe"":true,""max_ttft_s"":4.592386054369745,""max_native_ttft_s"":4.803736798372374,""max_tpot_s"":0.2163507440037381,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":15.341628999973182,""violation_type"":null}",False,False,[],[],False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT0.6,5.2,0.6,Raw-Full,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00021288359999999985,"{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",[-2],False,agreement,0.0099348625,0.0099348625,0.0099348625,0.0,0.0,0.0,True,0.0099348625,0.0,"{""safe"":true,""max_ttft_s"":4.592386054369745,""max_native_ttft_s"":4.803736798372374,""max_tpot_s"":0.2163507440037381,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":13.09224050003104,""violation_type"":null}",False,False,[],[],False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT0.6,5.2,0.6,Raw-Remaining,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00021288359999999985,"{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",[-2],False,agreement,0.0099348625,0.0099348625,0.0099348625,0.0,0.0,0.0,True,0.0099348625,0.0,"{""safe"":true,""max_ttft_s"":4.592386054369745,""max_native_ttft_s"":4.803736798372374,""max_tpot_s"":0.2163507440037381,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":13.09224050003104,""violation_type"":null}",False,False,[],[],False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT0.6,5.2,0.6,Legacy-Full,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00021288359999999985,"{""-2"":0.0097219789,""-1"":0.0095136569,""0"":0.0093097989,""1"":0.0091103091,""2"":0.0087240619}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",[-2],False,agreement,0.0099348625,0.0099348625,0.0097219789,0.0,0.02142793621955008,0.021427936219550078,True,0.0097219789,0.02142793621955008,"{""safe"":true,""max_ttft_s"":4.592386054369745,""max_native_ttft_s"":4.803736798372374,""max_tpot_s"":0.2163507440037381,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":15.341628999973182,""violation_type"":null}",False,False,[],[],False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT0.6,5.2,0.6,Legacy-Remaining,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00021288359999999985,"{""-2"":0.0097219789,""-1"":0.0095136569,""0"":0.0093097989,""1"":0.0091103091,""2"":0.0087240619}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",[-2],False,agreement,0.0099348625,0.0099348625,0.0097219789,0.0,0.02142793621955008,0.021427936219550078,True,0.0097219789,0.02142793621955008,"{""safe"":true,""max_ttft_s"":4.592386054369745,""max_native_ttft_s"":4.803736798372374,""max_tpot_s"":0.2163507440037381,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":15.341628999973182,""violation_type"":null}",False,False,[],[],False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT1.2,5.2,1.2,Raw-Full,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00021288359999999985,"{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",[-2],False,agreement,0.0099348625,0.0099348625,0.0099348625,0.0,0.0,0.0,True,0.0099348625,0.0,"{""safe"":true,""max_ttft_s"":4.592386054369745,""max_native_ttft_s"":4.803736798372374,""max_tpot_s"":0.2163507440037381,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":13.09224050003104,""violation_type"":null}",False,False,[],[],False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT1.2,5.2,1.2,Raw-Remaining,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00021288359999999985,"{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}","{""-2"":0.0099348625,""-1"":0.0097219789,""0"":0.0095136569,""1"":0.0093097989,""2"":0.008915094}",[-2],False,agreement,0.0099348625,0.0099348625,0.0099348625,0.0,0.0,0.0,True,0.0099348625,0.0,"{""safe"":true,""max_ttft_s"":4.592386054369745,""max_native_ttft_s"":4.803736798372374,""max_tpot_s"":0.2163507440037381,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":13.09224050003104,""violation_type"":null}",False,False,[],[],False
