group,workload,sla,ttft_s,tpot_s,variant,both_safe,both_unsafe,optimistic,conservative,paired_denominator,missing
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,39,336,0,0,375,0
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Remaining,39,336,0,0,375,0
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT0.3,5.2,0.3,Legacy-Full,34,336,0,5,375,0
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT0.3,5.2,0.3,Legacy-Remaining,34,336,0,5,375,0
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT0.6,5.2,0.6,Raw-Full,39,336,0,0,375,0
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT0.6,5.2,0.6,Raw-Remaining,39,336,0,0,375,0
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT0.6,5.2,0.6,Legacy-Full,34,336,0,5,375,0
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT0.6,5.2,0.6,Legacy-Remaining,34,336,0,5,375,0
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT1.2,5.2,1.2,Raw-Full,39,336,0,0,375,0
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT1.2,5.2,1.2,Raw-Remaining,39,336,0,0,375,0
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT1.2,5.2,1.2,Legacy-Full,34,336,0,5,375,0
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT1.2,5.2,1.2,Legacy-Remaining,34,336,0,5,375,0
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT2.4,5.2,2.4,Raw-Full,39,258,0,78,375,0
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT2.4,5.2,2.4,Raw-Remaining,39,258,0,78,375,0
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT2.4,5.2,2.4,Legacy-Full,34,258,0,83,375,0
