group,workload,sla,ttft_s,tpot_s,variant,both_safe,both_unsafe,optimistic,conservative,paired_denominator,missing
w201-heterogeneous-fast,w201,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,21,104,0,0,125,0
w201-heterogeneous-fast,w201,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Remaining,21,104,0,0,125,0
w201-heterogeneous-fast,w201,TTFT5.2_TPOT0.3,5.2,0.3,Legacy-Full,21,104,0,0,125,0
w201-heterogeneous-fast,w201,TTFT5.2_TPOT0.3,5.2,0.3,Legacy-Remaining,21,104,0,0,125,0
w201-heterogeneous-fast,w201,TTFT5.2_TPOT1.2,5.2,1.2,Raw-Full,35,90,0,0,125,0
w201-heterogeneous-fast,w201,TTFT5.2_TPOT1.2,5.2,1.2,Raw-Remaining,35,90,0,0,125,0
w201-heterogeneous-fast,w201,TTFT5.2_TPOT1.2,5.2,1.2,Legacy-Full,35,90,0,0,125,0
w201-heterogeneous-fast,w201,TTFT5.2_TPOT1.2,5.2,1.2,Legacy-Remaining,35,90,0,0,125,0
w201-heterogeneous-fast,w201,TTFT5.2_TPOT5,5.2,5.0,Raw-Full,69,14,0,42,125,0
w201-heterogeneous-fast,w201,TTFT5.2_TPOT5,5.2,5.0,Raw-Remaining,90,14,0,21,125,0
w201-heterogeneous-fast,w201,TTFT5.2_TPOT5,5.2,5.0,Legacy-Full,69,14,0,42,125,0
w201-heterogeneous-fast,w201,TTFT5.2_TPOT5,5.2,5.0,Legacy-Remaining,90,14,0,21,125,0
w201-heterogeneous-fast,w201,TTFT5.2_TPOT10,5.2,10.0,Raw-Full,90,14,0,21,125,0
w201-heterogeneous-fast,w201,TTFT5.2_TPOT10,5.2,10.0,Raw-Remaining,100,14,0,11,125,0
w201-heterogeneous-fast,w201,TTFT5.2_TPOT10,5.2,10.0,Legacy-Full,90,14,0,21,125,0
w201-heterogeneous-fast,w201,TTFT5.2_TPOT10,5.2,10.0,Legacy-Remaining,100,14,0,11,125,0
w202-heterogeneous-slow,w202,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,23,102,0,0,125,0
w202-heterogeneous-slow,w202,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Remaining,23,102,0,0,125,0
w202-heterogeneous-slow,w202,TTFT5.2_TPOT0.3,5.2,0.3,Legacy-Full,23,102,0,0,125,0
w202-heterogeneous-slow,w202,TTFT5.2_TPOT0.3,5.2,0.3,Legacy-Remaining,23,102,0,0,125,0
w202-heterogeneous-slow,w202,TTFT5.2_TPOT1.2,5.2,1.2,Raw-Full,23,102,0,0,125,0
w202-heterogeneous-slow,w202,TTFT5.2_TPOT1.2,5.2,1.2,Raw-Remaining,23,102,0,0,125,0
w202-heterogeneous-slow,w202,TTFT5.2_TPOT1.2,5.2,1.2,Legacy-Full,23,102,0,0,125,0
w202-heterogeneous-slow,w202,TTFT5.2_TPOT1.2,5.2,1.2,Legacy-Remaining,23,102,0,0,125,0
w202-heterogeneous-slow,w202,TTFT5.2_TPOT5,5.2,5.0,Raw-Full,53,60,7,5,125,0
w202-heterogeneous-slow,w202,TTFT5.2_TPOT5,5.2,5.0,Raw-Remaining,53,50,17,5,125,0
w202-heterogeneous-slow,w202,TTFT5.2_TPOT5,5.2,5.0,Legacy-Full,53,60,7,5,125,0
w202-heterogeneous-slow,w202,TTFT5.2_TPOT5,5.2,5.0,Legacy-Remaining,53,50,17,5,125,0
w202-heterogeneous-slow,w202,TTFT5.2_TPOT10,5.2,10.0,Raw-Full,84,22,0,19,125,0
w202-heterogeneous-slow,w202,TTFT5.2_TPOT10,5.2,10.0,Raw-Remaining,86,22,0,17,125,0
w202-heterogeneous-slow,w202,TTFT5.2_TPOT10,5.2,10.0,Legacy-Full,84,22,0,19,125,0
w202-heterogeneous-slow,w202,TTFT5.2_TPOT10,5.2,10.0,Legacy-Remaining,86,22,0,17,125,0
w203-heterogeneous-slow,w203,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,33,92,0,0,125,0
w203-heterogeneous-slow,w203,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Remaining,33,92,0,0,125,0
w203-heterogeneous-slow,w203,TTFT5.2_TPOT0.3,5.2,0.3,Legacy-Full,32,92,0,1,125,0
w203-heterogeneous-slow,w203,TTFT5.2_TPOT0.3,5.2,0.3,Legacy-Remaining,32,92,0,1,125,0
w203-heterogeneous-slow,w203,TTFT5.2_TPOT1.2,5.2,1.2,Raw-Full,33,82,0,10,125,0
w203-heterogeneous-slow,w203,TTFT5.2_TPOT1.2,5.2,1.2,Raw-Remaining,33,82,0,10,125,0
w203-heterogeneous-slow,w203,TTFT5.2_TPOT1.2,5.2,1.2,Legacy-Full,32,82,0,11,125,0
w203-heterogeneous-slow,w203,TTFT5.2_TPOT1.2,5.2,1.2,Legacy-Remaining,32,82,0,11,125,0
w203-heterogeneous-slow,w203,TTFT5.2_TPOT5,5.2,5.0,Raw-Full,75,0,0,50,125,0
w203-heterogeneous-slow,w203,TTFT5.2_TPOT5,5.2,5.0,Raw-Remaining,85,0,0,40,125,0
w203-heterogeneous-slow,w203,TTFT5.2_TPOT5,5.2,5.0,Legacy-Full,75,0,0,50,125,0
w203-heterogeneous-slow,w203,TTFT5.2_TPOT5,5.2,5.0,Legacy-Remaining,85,0,0,40,125,0
