group,workload,sla,ttft_s,tpot_s,variant,shift,intensity,status,evaluator_safe,reference_safe,events,runtime_s,first_violation,reference_violating_requests,reference_violating_fraction
w201-heterogeneous-fast,w201,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,1,23.1704750059,ok,False,False,11,0.0015412999782711267,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00003"",""required"":16.90432367250351,""limit"":0.3,""time_s"":2.446505355876748,""side"":""post"",""num_prefill"":9,""num_decode"":1}",13,1.0
w201-heterogeneous-fast,w201,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,-1,0.032,ok,False,False,51,0.002839899971149862,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00003"",""required"":1.1711046555853306,""limit"":0.3,""time_s"":306.1875,""side"":""post"",""num_prefill"":1,""num_decode"":1}",4,0.3076923076923077
w201-heterogeneous-fast,w201,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,-1,0.016,ok,False,False,58,0.002520799986086786,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00003"",""required"":1.1711046555853306,""limit"":0.3,""time_s"":610.875,""side"":""post"",""num_prefill"":1,""num_decode"":1}",2,0.15384615384615385
w201-heterogeneous-fast,w201,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,0,16.384,ok,False,False,10,0.0018492999952286482,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00003"",""required"":14.480563619194628,""limit"":0.3,""time_s"":2.60739640625,""side"":""post"",""num_prefill"":8,""num_decode"":1}",13,1.0
w201-heterogeneous-fast,w201,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,-1,16.384,ok,False,False,10,0.0013874999713152647,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00003"",""required"":14.561347619194626,""limit"":0.3,""time_s"":2.60739640625,""side"":""post"",""num_prefill"":8,""num_decode"":1}",13,1.0
w201-heterogeneous-fast,w201,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,-2,2.8963093757,ok,False,False,5,0.0006629000417888165,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00001"",""required"":5.472259483826511,""limit"":0.3,""time_s"":4.764536949018073,""side"":""post"",""num_prefill"":3,""num_decode"":1}",13,1.0
w201-heterogeneous-fast,w201,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,-1,1.4481546879,ok,False,False,3,0.00025809998624026775,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00000"",""required"":2.496795314764455,""limit"":0.3,""time_s"":5.0803199999999995,""side"":""post"",""num_prefill"":1,""num_decode"":1}",13,1.0
w201-heterogeneous-fast,w201,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,2,0.7240773439,ok,False,False,3,0.00040309998439624906,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00000"",""required"":2.465691314764455,""limit"":0.3,""time_s"":5.64320379621534,""side"":""post"",""num_prefill"":1,""num_decode"":1}",13,1.0
w201-heterogeneous-fast,w201,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,0,0.032,ok,False,False,51,0.00327139999717474,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00003"",""required"":1.1749446555853305,""limit"":0.3,""time_s"":306.1875,""side"":""post"",""num_prefill"":1,""num_decode"":1}",4,0.3076923076923077
w201-heterogeneous-fast,w201,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,-1,0.0113137085,ok,False,False,214,0.007294400013051927,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00011"",""required"":1.1380678658279257,""limit"":0.3,""time_s"":2432.179560110639,""side"":""post"",""num_prefill"":1,""num_decode"":1}",1,0.07692307692307693
w201-heterogeneous-fast,w201,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,0,0.256,ok,False,False,5,0.0005605000187642872,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00000"",""required"":2.486427314764455,""limit"":0.3,""time_s"":13.21875,""side"":""post"",""num_prefill"":1,""num_decode"":1}",12,0.9230769230769231
w201-heterogeneous-fast,w201,TTFT5.2_TPOT0.3,5.2,0.3,Raw-Full,1,2.048,ok,False,False,3,0.00035069999285042286,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00000"",""required"":2.4760593147644547,""limit"":0.3,""time_s"":5.02688,""side"":""post"",""num_prefill"":1,""num_decode"":1}",13,1.0
