group,workload,sla,ttft_s,tpot_s,variant,both_safe,both_unsafe,optimistic,conservative,paired_denominator,missing
h101-o60-d30-a100-fast,h101-o60-d30,decode,2.0,0.15,Raw-Full,4,16,0,0,20,0
h101-o60-d30-a100-fast,h101-o60-d30,decode,2.0,0.15,Raw-Remaining,4,16,0,0,20,0
h101-o60-d30-a100-fast,h101-o60-d30,decode,2.0,0.15,Legacy-Full,3,16,0,1,20,0
h101-o60-d30-a100-fast,h101-o60-d30,decode,2.0,0.15,Legacy-Remaining,3,16,0,1,20,0
h101-o60-d30-a100-fast,h101-o60-d30,relaxed_decode,2.0,1.0,Raw-Full,14,6,0,0,20,0
h101-o60-d30-a100-fast,h101-o60-d30,relaxed_decode,2.0,1.0,Raw-Remaining,14,6,0,0,20,0
h101-o60-d30-a100-fast,h101-o60-d30,relaxed_decode,2.0,1.0,Legacy-Full,12,6,0,2,20,0
h101-o60-d30-a100-fast,h101-o60-d30,relaxed_decode,2.0,1.0,Legacy-Remaining,12,6,0,2,20,0
h102-o300-d120-a100-slow,h102-o300-d120,decode,2.0,0.15,Raw-Full,3,17,0,2,22,0
h102-o300-d120-a100-slow,h102-o300-d120,decode,2.0,0.15,Raw-Remaining,3,17,0,2,22,0
h102-o300-d120-a100-slow,h102-o300-d120,decode,2.0,0.15,Legacy-Full,2,17,0,3,22,0
h102-o300-d120-a100-slow,h102-o300-d120,decode,2.0,0.15,Legacy-Remaining,2,17,0,3,22,0
h102-o300-d120-a100-slow,h102-o300-d120,relaxed_decode,2.0,1.0,Raw-Full,12,9,1,0,22,0
h102-o300-d120-a100-slow,h102-o300-d120,relaxed_decode,2.0,1.0,Raw-Remaining,12,9,1,0,22,0
h102-o300-d120-a100-slow,h102-o300-d120,relaxed_decode,2.0,1.0,Legacy-Full,11,10,0,1,22,0
h102-o300-d120-a100-slow,h102-o300-d120,relaxed_decode,2.0,1.0,Legacy-Remaining,11,10,0,1,22,0
h103-o500-d30-a100-slow,h103-o500-d30,decode,2.0,0.15,Raw-Full,8,17,1,0,26,0
h103-o500-d30-a100-slow,h103-o500-d30,decode,2.0,0.15,Raw-Remaining,8,17,1,0,26,0
h103-o500-d30-a100-slow,h103-o500-d30,decode,2.0,0.15,Legacy-Full,7,18,0,1,26,0
h103-o500-d30-a100-slow,h103-o500-d30,decode,2.0,0.15,Legacy-Remaining,7,18,0,1,26,0
h103-o500-d30-a100-slow,h103-o500-d30,relaxed_decode,2.0,1.0,Raw-Full,8,7,11,0,26,0
h103-o500-d30-a100-slow,h103-o500-d30,relaxed_decode,2.0,1.0,Raw-Remaining,8,7,11,0,26,0
h103-o500-d30-a100-slow,h103-o500-d30,relaxed_decode,2.0,1.0,Legacy-Full,8,9,9,0,26,0
h103-o500-d30-a100-slow,h103-o500-d30,relaxed_decode,2.0,1.0,Legacy-Remaining,8,9,9,0,26,0
h104-o700-d120-a100-fast,h104-o700-d120,decode,2.0,0.15,Raw-Full,6,18,0,0,24,0
h104-o700-d120-a100-fast,h104-o700-d120,decode,2.0,0.15,Raw-Remaining,6,18,0,0,24,0
h104-o700-d120-a100-fast,h104-o700-d120,decode,2.0,0.15,Legacy-Full,4,18,0,2,24,0
h104-o700-d120-a100-fast,h104-o700-d120,decode,2.0,0.15,Legacy-Remaining,4,18,0,2,24,0
h104-o700-d120-a100-fast,h104-o700-d120,relaxed_decode,2.0,1.0,Raw-Full,13,10,1,0,24,0
h104-o700-d120-a100-fast,h104-o700-d120,relaxed_decode,2.0,1.0,Raw-Remaining,13,10,1,0,24,0
h104-o700-d120-a100-fast,h104-o700-d120,relaxed_decode,2.0,1.0,Legacy-Full,12,11,0,1,24,0
h104-o700-d120-a100-fast,h104-o700-d120,relaxed_decode,2.0,1.0,Legacy-Remaining,12,11,0,1,24,0
h105-o900-d30-a100-fast,h105-o900-d30,decode,2.0,0.15,Raw-Full,5,22,0,0,27,0
h105-o900-d30-a100-fast,h105-o900-d30,decode,2.0,0.15,Raw-Remaining,5,22,0,0,27,0
h105-o900-d30-a100-fast,h105-o900-d30,decode,2.0,0.15,Legacy-Full,3,22,0,2,27,0
h105-o900-d30-a100-fast,h105-o900-d30,decode,2.0,0.15,Legacy-Remaining,3,22,0,2,27,0
h105-o900-d30-a100-fast,h105-o900-d30,relaxed_decode,2.0,1.0,Raw-Full,15,5,0,7,27,0
h105-o900-d30-a100-fast,h105-o900-d30,relaxed_decode,2.0,1.0,Raw-Remaining,17,5,0,5,27,0
h105-o900-d30-a100-fast,h105-o900-d30,relaxed_decode,2.0,1.0,Legacy-Full,15,5,0,7,27,0
h105-o900-d30-a100-fast,h105-o900-d30,relaxed_decode,2.0,1.0,Legacy-Remaining,17,5,0,5,27,0
h106-o1100-d120-a100-slow,h106-o1100-d120,decode,2.0,0.15,Raw-Full,0,11,0,0,11,0
h106-o1100-d120-a100-slow,h106-o1100-d120,decode,2.0,0.15,Raw-Remaining,0,11,0,0,11,0
h106-o1100-d120-a100-slow,h106-o1100-d120,decode,2.0,0.15,Legacy-Full,0,11,0,0,11,0
h106-o1100-d120-a100-slow,h106-o1100-d120,decode,2.0,0.15,Legacy-Remaining,0,11,0,0,11,0
h106-o1100-d120-a100-slow,h106-o1100-d120,relaxed_decode,2.0,1.0,Raw-Full,0,11,0,0,11,0
h106-o1100-d120-a100-slow,h106-o1100-d120,relaxed_decode,2.0,1.0,Raw-Remaining,0,11,0,0,11,0
h106-o1100-d120-a100-slow,h106-o1100-d120,relaxed_decode,2.0,1.0,Legacy-Full,0,11,0,0,11,0
h106-o1100-d120-a100-slow,h106-o1100-d120,relaxed_decode,2.0,1.0,Legacy-Remaining,0,11,0,0,11,0
