group,workload,sla,ttft_s,tpot_s,variant,selected_shift,evaluator_best_set,reference_best_set,selected_reference_rank,reference_regret,normalized_reference_quality,winner_agrees,abstention,spearman,reference_top_gap,evaluator_scores,reference_scores,best_set_overlap,incomplete_reference,mismatch_type,reference_best_capacity,selected_partition_reference_capacity,evaluator_recommended_intensity,partition_selection_loss,operating_point_loss,allocation_component,exact_reference_safe,safe_usable_load,safe_operating_point_loss,recommendation_violations,reference_nonmonotone,evaluator_nonmonotone,reference_no_safe_candidates,evaluator_no_safe_candidates,unresolved
h101-o60-d30-a100-fast,h101-o60-d30,decode,2.0,0.15,Raw-Full,0,[0],[0],1,0.0,1.0,True,False,,,"{""0"":0.0190273138}","{""0"":0.0190273138}",[0],False,agreement,0.0190273138,0.0190273138,0.0190273138,0.0,0.0,0.0,True,0.0190273138,0.0,"{""safe"":true,""max_ttft_s"":1.4201620543782427,""max_native_ttft_s"":1.532312798388948,""max_tpot_s"":0.11715074401070524,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":13.722560000023805}",False,False,[],[],False
h101-o60-d30-a100-fast,h101-o60-d30,decode,2.0,0.15,Raw-Remaining,0,[0],[0],1,0.0,1.0,True,False,,,"{""0"":0.0190273138}","{""0"":0.0190273138}",[0],False,agreement,0.0190273138,0.0190273138,0.0190273138,0.0,0.0,0.0,True,0.0190273138,0.0,"{""safe"":true,""max_ttft_s"":1.4201620543782427,""max_native_ttft_s"":1.532312798388948,""max_tpot_s"":0.11715074401070524,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":13.722560000023805}",False,False,[],[],False
h101-o60-d30-a100-fast,h101-o60-d30,decode,2.0,0.15,Legacy-Full,0,[0],[0],1,0.0,1.0,True,False,,,"{""0"":0.016}","{""0"":0.0190273138}",[0],False,agreement,0.0190273138,0.0190273138,0.016,0.0,0.15910358297659444,0.15910358297659444,True,0.016,0.15910358297659444,"{""safe"":true,""max_ttft_s"":1.4201620543782427,""max_native_ttft_s"":1.532312798388948,""max_tpot_s"":0.11715074401070524,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":10.931237300042994}",False,False,[],[],True
h101-o60-d30-a100-fast,h101-o60-d30,decode,2.0,0.15,Legacy-Remaining,0,[0],[0],1,0.0,1.0,True,False,,,"{""0"":0.016}","{""0"":0.0190273138}",[0],False,agreement,0.0190273138,0.0190273138,0.016,0.0,0.15910358297659444,0.15910358297659444,True,0.016,0.15910358297659444,"{""safe"":true,""max_ttft_s"":1.4201620543782427,""max_native_ttft_s"":1.532312798388948,""max_tpot_s"":0.11715074401070524,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":10.931237300042994}",False,False,[],[],True
h101-o60-d30-a100-fast,h101-o60-d30,relaxed_decode,2.0,1.0,Raw-Full,0,[0],[0],1,0.0,1.0,True,False,,,"{""0"":0.062628612}","{""0"":0.062628612}",[0],False,agreement,0.062628612,0.062628612,0.062628612,0.0,0.0,0.0,True,0.062628612,0.0,"{""safe"":true,""max_ttft_s"":1.4201620543744342,""max_native_ttft_s"":1.5323127983764993,""max_tpot_s"":0.7491836798390114,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":12.848056999966502}",False,False,[],[],False
h101-o60-d30-a100-fast,h101-o60-d30,relaxed_decode,2.0,1.0,Raw-Remaining,0,[0],[0],1,0.0,1.0,True,False,,,"{""0"":0.062628612}","{""0"":0.062628612}",[0],False,agreement,0.062628612,0.062628612,0.062628612,0.0,0.0,0.0,True,0.062628612,0.0,"{""safe"":true,""max_ttft_s"":1.4201620543744342,""max_native_ttft_s"":1.5323127983764993,""max_tpot_s"":0.7491836798390114,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":12.848056999966502}",False,False,[],[],False
h101-o60-d30-a100-fast,h101-o60-d30,relaxed_decode,2.0,1.0,Legacy-Full,0,[0],[0],1,0.0,1.0,True,False,,,"{""0"":0.0586882588}","{""0"":0.062628612}",[0],False,agreement,0.062628612,0.062628612,0.0586882588,0.0,0.06291618278239985,0.0629161827823999,True,0.0586882588,0.06291618278239985,"{""safe"":true,""max_ttft_s"":1.4201620543744342,""max_native_ttft_s"":1.5323127983764993,""max_tpot_s"":0.8118673555851262,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":12.341428499959875}",False,False,[],[],True
h101-o60-d30-a100-fast,h101-o60-d30,relaxed_decode,2.0,1.0,Legacy-Remaining,0,[0],[0],1,0.0,1.0,True,False,,,"{""0"":0.0586882588}","{""0"":0.062628612}",[0],False,agreement,0.062628612,0.062628612,0.0586882588,0.0,0.06291618278239985,0.0629161827823999,True,0.0586882588,0.06291618278239985,"{""safe"":true,""max_ttft_s"":1.4201620543744342,""max_native_ttft_s"":1.5323127983764993,""max_tpot_s"":0.8118673555851262,""violating_requests"":0,""request_count"":16,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":12.341428499959875}",False,False,[],[],True
h102-o300-d120-a100-slow,h102-o300-d120,decode,2.0,0.15,Raw-Full,0,[0],[0],1,0.0,1.0,True,False,,,"{""0"":0.016}","{""0"":0.0194439577}",[0],False,agreement,0.0194439577,0.0194439577,0.016,0.0,0.17712225839701345,0.17712225839701348,True,0.016,0.17712225839701345,"{""safe"":true,""max_ttft_s"":1.8832470732494402,""max_native_ttft_s"":1.995673102058281,""max_tpot_s"":0.11742602881111452,""violating_requests"":0,""request_count"":54,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":125.07947920798324}",True,False,[],[],False
h102-o300-d120-a100-slow,h102-o300-d120,decode,2.0,0.15,Raw-Remaining,0,[0],[0],1,0.0,1.0,True,False,,,"{""0"":0.016}","{""0"":0.0194439577}",[0],False,agreement,0.0194439577,0.0194439577,0.016,0.0,0.17712225839701345,0.17712225839701348,True,0.016,0.17712225839701345,"{""safe"":true,""max_ttft_s"":1.8832470732494402,""max_native_ttft_s"":1.995673102058281,""max_tpot_s"":0.11742602881111452,""violating_requests"":0,""request_count"":54,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":125.07947920798324}",True,False,[],[],False
