group,workload,sla,ttft_s,tpot_s,variant,shift,intensity,status,evaluator_safe,reference_safe,events,runtime_s,first_violation,reference_violating_requests,reference_violating_fraction
h101-o60-d30-a100-fast,h101-o60-d30,decode,2.0,0.15,Raw-Full,0,16.384,ok,False,False,4,0.0003081000177189708,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00002"",""required"":1.3953985649887126,""limit"":0.15,""time_s"":1.321783046875,""side"":""post"",""num_prefill"":2,""num_decode"":1}",16,1.0
h101-o60-d30-a100-fast,h101-o60-d30,decode,2.0,0.15,Raw-Full,0,0.019869725,ok,False,False,99,0.003049299994017929,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00005"",""required"":0.8455892538180513,""limit"":0.15,""time_s"":504.2782285612911,""side"":""post"",""num_prefill"":1,""num_decode"":1}",1,0.0625
h101-o60-d30-a100-fast,h101-o60-d30,decode,2.0,0.15,Raw-Full,0,0.032,ok,False,False,89,0.0029803000506944954,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00005"",""required"":0.8455892538180513,""limit"":0.15,""time_s"":313.5,""side"":""post"",""num_prefill"":1,""num_decode"":1}",1,0.0625
h101-o60-d30-a100-fast,h101-o60-d30,decode,2.0,0.15,Raw-Full,0,0.256,ok,False,False,4,0.0003315000212751329,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00000"",""required"":0.8254822617545818,""limit"":0.15,""time_s"":4.90625,""side"":""post"",""num_prefill"":1,""num_decode"":1}",13,0.8125
h101-o60-d30-a100-fast,h101-o60-d30,decode,2.0,0.15,Raw-Full,0,0.022627417,ok,False,False,96,0.004062300024088472,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00005"",""required"":0.8455892538180513,""limit"":0.15,""time_s"":442.9417382019344,""side"":""post"",""num_prefill"":1,""num_decode"":1}",2,0.125
h101-o60-d30-a100-fast,h101-o60-d30,decode,2.0,0.15,Raw-Full,0,1.024,ok,False,False,3,0.0002345999819226563,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00000"",""required"":0.8254822617545818,""limit"":0.15,""time_s"":1.9765625,""side"":""post"",""num_prefill"":1,""num_decode"":1}",16,1.0
h101-o60-d30-a100-fast,h101-o60-d30,decode,2.0,0.15,Raw-Full,0,0.064,ok,False,False,32,0.0011137000401504338,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00001"",""required"":0.2351947482778558,""limit"":0.15,""time_s"":55.6875,""side"":""post"",""num_prefill"":1,""num_decode"":1}",3,0.1875
h101-o60-d30-a100-fast,h101-o60-d30,decode,2.0,0.15,Raw-Full,0,0.0190273138,ok,True,True,261,0.009409299993421882,,0,0.0
h101-o60-d30-a100-fast,h101-o60-d30,decode,2.0,0.15,Raw-Full,0,0.045254834,ok,False,False,83,0.002660800004377961,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00005"",""required"":0.8455892538180513,""limit"":0.15,""time_s"":221.9708691009672,""side"":""post"",""num_prefill"":1,""num_decode"":1}",3,0.1875
h101-o60-d30-a100-fast,h101-o60-d30,decode,2.0,0.15,Raw-Full,0,0.0538173706,ok,False,False,82,0.002503999974578619,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00005"",""required"":0.8455892538180513,""limit"":0.15,""time_s"":186.8136116371319,""side"":""post"",""num_prefill"":1,""num_decode"":1}",2,0.125
h101-o60-d30-a100-fast,h101-o60-d30,decode,2.0,0.15,Raw-Full,0,0.062628612,ok,False,False,32,0.0011248000082559884,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00001"",""required"":0.2351947482778558,""limit"":0.15,""time_s"":56.88500029347609,""side"":""post"",""num_prefill"":1,""num_decode"":1}",2,0.125
h101-o60-d30-a100-fast,h101-o60-d30,decode,2.0,0.15,Raw-Full,0,0.06128661,ok,False,False,33,0.0011038000229746103,"{""kind"":""sla_time"",""object"":""decode"",""request_id"":""azure-00001"",""required"":0.2351947482778558,""limit"":0.15,""time_s"":58.10872244361371,""side"":""post"",""num_prefill"":1,""num_decode"":1}",2,0.125
