group,shift,intensity,sla,variant,runtime_s,events
w201-heterogeneous-fast,-2,0.001,TTFT5.2_TPOT0.3,Legacy-Full,0.006668799964245409,222
w201-heterogeneous-fast,-2,0.001,TTFT5.2_TPOT0.3,Legacy-Remaining,0.006662000028882176,222
w201-heterogeneous-fast,-2,0.001,TTFT5.2_TPOT0.3,Raw-Full,0.006729700020514429,222
w201-heterogeneous-fast,-2,0.001,TTFT5.2_TPOT0.3,Raw-Remaining,0.006481099990196526,222
w201-heterogeneous-fast,-2,0.001,TTFT5.2_TPOT1.2,Legacy-Full,0.0063838999485597014,222
w201-heterogeneous-fast,-2,0.001,TTFT5.2_TPOT1.2,Legacy-Remaining,0.006605700007639825,222
w201-heterogeneous-fast,-2,0.001,TTFT5.2_TPOT1.2,Raw-Full,0.006320699991192669,222
w201-heterogeneous-fast,-2,0.001,TTFT5.2_TPOT1.2,Raw-Remaining,0.006456999981310219,222
w201-heterogeneous-fast,-2,0.001,TTFT5.2_TPOT5,Legacy-Full,0.006702100043185055,222
w201-heterogeneous-fast,-2,0.001,TTFT5.2_TPOT5,Legacy-Remaining,0.00648939999518916,222
w201-heterogeneous-fast,-2,0.001,TTFT5.2_TPOT5,Raw-Full,0.0064362999983131886,222
w201-heterogeneous-fast,-2,0.001,TTFT5.2_TPOT5,Raw-Remaining,0.006327299983240664,222
w201-heterogeneous-fast,-2,0.001,TTFT5.2_TPOT10,Legacy-Full,0.006379399972502142,222
w201-heterogeneous-fast,-2,0.001,TTFT5.2_TPOT10,Legacy-Remaining,0.006396399985533208,222
w201-heterogeneous-fast,-2,0.001,TTFT5.2_TPOT10,Raw-Full,0.006303099973592907,222
w201-heterogeneous-fast,-2,0.001,TTFT5.2_TPOT10,Raw-Remaining,0.006484400015324354,222
w201-heterogeneous-fast,-1,0.001,TTFT5.2_TPOT0.3,Legacy-Remaining,0.0068042000057175756,222
w201-heterogeneous-fast,-1,0.001,TTFT5.2_TPOT0.3,Raw-Full,0.006996599957346916,222
w201-heterogeneous-fast,-1,0.001,TTFT5.2_TPOT0.3,Raw-Remaining,0.006391800008714199,222
w201-heterogeneous-fast,-1,0.001,TTFT5.2_TPOT0.3,Legacy-Full,0.006556899985298514,222
w201-heterogeneous-fast,-1,0.001,TTFT5.2_TPOT1.2,Legacy-Remaining,0.006460700009483844,222
w201-heterogeneous-fast,-1,0.001,TTFT5.2_TPOT1.2,Raw-Full,0.006572099984623492,222
w201-heterogeneous-fast,-1,0.001,TTFT5.2_TPOT1.2,Raw-Remaining,0.006256600026972592,222
w201-heterogeneous-fast,-1,0.001,TTFT5.2_TPOT1.2,Legacy-Full,0.006515600020065904,222
w201-heterogeneous-fast,-1,0.001,TTFT5.2_TPOT5,Legacy-Remaining,0.006408999965060502,222
w201-heterogeneous-fast,-1,0.001,TTFT5.2_TPOT5,Raw-Full,0.006373199983499944,222
w201-heterogeneous-fast,-1,0.001,TTFT5.2_TPOT5,Raw-Remaining,0.006571200035978109,222
w201-heterogeneous-fast,-1,0.001,TTFT5.2_TPOT5,Legacy-Full,0.006321699998807162,222
w201-heterogeneous-fast,-1,0.001,TTFT5.2_TPOT10,Legacy-Remaining,0.006543800001963973,222
w201-heterogeneous-fast,-1,0.001,TTFT5.2_TPOT10,Raw-Full,0.006253400002606213,222
w201-heterogeneous-fast,-1,0.001,TTFT5.2_TPOT10,Raw-Remaining,0.006521500006783754,222
w201-heterogeneous-fast,-1,0.001,TTFT5.2_TPOT10,Legacy-Full,0.006536100001540035,222
w201-heterogeneous-fast,0,0.001,TTFT5.2_TPOT0.3,Raw-Full,0.006423300015740097,222
w201-heterogeneous-fast,0,0.001,TTFT5.2_TPOT0.3,Raw-Remaining,0.006407999957446009,222
w201-heterogeneous-fast,0,0.001,TTFT5.2_TPOT0.3,Legacy-Full,0.006338500010315329,222
w201-heterogeneous-fast,0,0.001,TTFT5.2_TPOT0.3,Legacy-Remaining,0.008344799978658557,222
w201-heterogeneous-fast,0,0.001,TTFT5.2_TPOT1.2,Raw-Full,0.006773300003260374,222
w201-heterogeneous-fast,0,0.001,TTFT5.2_TPOT1.2,Raw-Remaining,0.006789800012484193,222
w201-heterogeneous-fast,0,0.001,TTFT5.2_TPOT1.2,Legacy-Full,0.0062269000336527824,222
