group,workload,sla,semantics,initial_selected,final_selected,initial_type,final_type,initial_evaluator_best_set,final_evaluator_best_set,initial_reference_best_set,final_reference_best_set,type_changed,selection_changed
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT0.3,raw,-2,-2,agreement,agreement,[-2],[-2],[-2],[-2],False,False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT0.3,legacy,-2,-2,agreement,agreement,[-2],[-2],[-2],[-2],False,False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT0.6,raw,-2,-2,agreement,agreement,[-2],[-2],[-2],[-2],False,False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT0.6,legacy,-2,-2,agreement,agreement,[-2],[-2],[-2],[-2],False,False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT1.2,raw,-2,-2,agreement,agreement,[-2],[-2],[-2],[-2],False,False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT1.2,legacy,-2,-2,agreement,agreement,[-2],[-2],[-2],[-2],False,False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT2.4,raw,-2,-2,agreement,strict best-set mismatch,[-2],[-2],"[-2,-1,0,2]","[0,1,2]",True,False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT2.4,legacy,-2,-2,agreement,strict best-set mismatch,[-2],[-2],"[-2,-1,0,2]","[0,1,2]",True,False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT5,raw,0,0,agreement,agreement,"[-2,-1,0,1,2]","[-2,-1,0,1,2]",[0],[0],False,False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT5,legacy,0,0,agreement,agreement,"[-2,-1,0,1,2]","[-2,-1,0,1,2]",[0],[0],False,False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT10,raw,2,2,strict best-set mismatch,strict best-set mismatch,[2],[2],[0],[0],False,False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT5.2_TPOT10,legacy,2,2,strict best-set mismatch,strict best-set mismatch,[2],[2],[0],[0],False,False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT4.68_TPOT1.2,raw,-2,-2,agreement,agreement,[-2],[-2],[-2],[-2],False,False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT4.68_TPOT1.2,legacy,-2,-2,agreement,agreement,[-2],[-2],[-2],[-2],False,False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT4.68_TPOT10,raw,2,2,strict best-set mismatch,strict best-set mismatch,[2],[2],[0],[0],False,False
h101-o60-d30-heterogeneous-fast,h101-o60-d30,TTFT4.68_TPOT10,legacy,2,2,strict best-set mismatch,strict best-set mismatch,[2],[2],[0],[0],False,False
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT5.2_TPOT0.3,raw,-2,-2,agreement,agreement,[-2],[-2],[-2],[-2],False,False
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT5.2_TPOT0.3,legacy,-2,-2,agreement,agreement,[-2],[-2],[-2],[-2],False,False
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT5.2_TPOT0.6,raw,-2,-2,agreement,agreement,[-2],[-2],"[-2,-1,0,1,2]",[-2],False,False
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT5.2_TPOT0.6,legacy,-2,-2,agreement,agreement,[-2],[-2],"[-2,-1,0,1,2]",[-2],False,False
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT5.2_TPOT1.2,raw,0,-1,agreement,tie-break mismatch,"[-2,-1,0,1,2]","[-2,-1]","[-2,-1,0,1,2]",[-2],True,True
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT5.2_TPOT1.2,legacy,0,-2,agreement,agreement,"[-2,-1,0,1,2]",[-2],"[-2,-1,0,1,2]",[-2],False,True
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT5.2_TPOT2.4,raw,0,-1,agreement,tie-break mismatch,"[-2,-1,0,1,2]","[-2,-1]","[-2,-1,0,1,2]",[-2],True,True
h102-o300-d120-heterogeneous-slow,h102-o300-d120,TTFT5.2_TPOT2.4,legacy,0,-2,agreement,agreement,"[-2,-1,0,1,2]",[-2],"[-2,-1,0,1,2]",[-2],False,True
