workload,group,sla,ttft_s,tpot_s,semantics,both_safe,both_unsafe,optimistic_disagreement,conservative_disagreement,paired_denominator,failed_or_missing
h101-o60-d30,h101-o60-d30-heterogeneous-fast,TTFT5.2_TPOT0.3,5.2,0.3,raw,39,336,0,0,375,0
h101-o60-d30,h101-o60-d30-heterogeneous-fast,TTFT5.2_TPOT0.3,5.2,0.3,legacy,34,336,0,5,375,0
h101-o60-d30,h101-o60-d30-heterogeneous-fast,TTFT5.2_TPOT0.6,5.2,0.6,raw,39,336,0,0,375,0
h101-o60-d30,h101-o60-d30-heterogeneous-fast,TTFT5.2_TPOT0.6,5.2,0.6,legacy,34,336,0,5,375,0
h101-o60-d30,h101-o60-d30-heterogeneous-fast,TTFT5.2_TPOT1.2,5.2,1.2,raw,39,336,0,0,375,0
h101-o60-d30,h101-o60-d30-heterogeneous-fast,TTFT5.2_TPOT1.2,5.2,1.2,legacy,34,336,0,5,375,0
h101-o60-d30,h101-o60-d30-heterogeneous-fast,TTFT5.2_TPOT2.4,5.2,2.4,raw,39,258,0,78,375,0
h101-o60-d30,h101-o60-d30-heterogeneous-fast,TTFT5.2_TPOT2.4,5.2,2.4,legacy,34,258,0,83,375,0
h101-o60-d30,h101-o60-d30-heterogeneous-fast,TTFT5.2_TPOT5,5.2,5.0,raw,165,48,0,162,375,0
h101-o60-d30,h101-o60-d30-heterogeneous-fast,TTFT5.2_TPOT5,5.2,5.0,legacy,165,48,0,162,375,0
h101-o60-d30,h101-o60-d30-heterogeneous-fast,TTFT5.2_TPOT10,5.2,10.0,raw,213,48,0,114,375,0
h101-o60-d30,h101-o60-d30-heterogeneous-fast,TTFT5.2_TPOT10,5.2,10.0,legacy,210,48,0,117,375,0
h101-o60-d30,h101-o60-d30-heterogeneous-fast,TTFT4.68_TPOT1.2,4.68,1.2,raw,39,336,0,0,375,0
h101-o60-d30,h101-o60-d30-heterogeneous-fast,TTFT4.68_TPOT1.2,4.68,1.2,legacy,34,336,0,5,375,0
h101-o60-d30,h101-o60-d30-heterogeneous-fast,TTFT4.68_TPOT10,4.68,10.0,raw,213,99,0,63,375,0
h101-o60-d30,h101-o60-d30-heterogeneous-fast,TTFT4.68_TPOT10,4.68,10.0,legacy,210,99,0,66,375,0
h102-o300-d120,h102-o300-d120-heterogeneous-slow,TTFT5.2_TPOT0.3,5.2,0.3,raw,43,342,0,0,385,0
h102-o300-d120,h102-o300-d120-heterogeneous-slow,TTFT5.2_TPOT0.3,5.2,0.3,legacy,38,342,0,5,385,0
h102-o300-d120,h102-o300-d120-heterogeneous-slow,TTFT5.2_TPOT0.6,5.2,0.6,raw,43,292,0,50,385,0
h102-o300-d120,h102-o300-d120-heterogeneous-slow,TTFT5.2_TPOT0.6,5.2,0.6,legacy,38,292,0,55,385,0
h102-o300-d120,h102-o300-d120-heterogeneous-slow,TTFT5.2_TPOT1.2,5.2,1.2,raw,101,283,1,0,385,0
h102-o300-d120,h102-o300-d120-heterogeneous-slow,TTFT5.2_TPOT1.2,5.2,1.2,legacy,98,284,0,3,385,0
h102-o300-d120,h102-o300-d120-heterogeneous-slow,TTFT5.2_TPOT2.4,5.2,2.4,raw,101,283,1,0,385,0
h102-o300-d120,h102-o300-d120-heterogeneous-slow,TTFT5.2_TPOT2.4,5.2,2.4,legacy,98,284,0,3,385,0
h102-o300-d120,h102-o300-d120-heterogeneous-slow,TTFT5.2_TPOT5,5.2,5.0,raw,135,101,0,149,385,0
h102-o300-d120,h102-o300-d120-heterogeneous-slow,TTFT5.2_TPOT5,5.2,5.0,legacy,135,101,0,149,385,0
h102-o300-d120,h102-o300-d120-heterogeneous-slow,TTFT5.2_TPOT10,5.2,10.0,raw,196,54,0,135,385,0
h102-o300-d120,h102-o300-d120-heterogeneous-slow,TTFT5.2_TPOT10,5.2,10.0,legacy,194,54,0,137,385,0
h102-o300-d120,h102-o300-d120-heterogeneous-slow,TTFT4.68_TPOT1.2,4.68,1.2,raw,0,385,0,0,385,0
h102-o300-d120,h102-o300-d120-heterogeneous-slow,TTFT4.68_TPOT1.2,4.68,1.2,legacy,0,385,0,0,385,0
h102-o300-d120,h102-o300-d120-heterogeneous-slow,TTFT4.68_TPOT10,4.68,10.0,raw,0,385,0,0,385,0
h102-o300-d120,h102-o300-d120-heterogeneous-slow,TTFT4.68_TPOT10,4.68,10.0,legacy,0,385,0,0,385,0
h103-o500-d30,h103-o500-d30-heterogeneous-slow,TTFT5.2_TPOT0.3,5.2,0.3,raw,41,308,1,0,350,0
h103-o500-d30,h103-o500-d30-heterogeneous-slow,TTFT5.2_TPOT0.3,5.2,0.3,legacy,37,309,0,4,350,0
h103-o500-d30,h103-o500-d30-heterogeneous-slow,TTFT5.2_TPOT0.6,5.2,0.6,raw,41,308,1,0,350,0
h103-o500-d30,h103-o500-d30-heterogeneous-slow,TTFT5.2_TPOT0.6,5.2,0.6,legacy,37,309,0,4,350,0
h103-o500-d30,h103-o500-d30-heterogeneous-slow,TTFT5.2_TPOT1.2,5.2,1.2,raw,41,308,1,0,350,0
h103-o500-d30,h103-o500-d30-heterogeneous-slow,TTFT5.2_TPOT1.2,5.2,1.2,legacy,37,309,0,4,350,0
h103-o500-d30,h103-o500-d30-heterogeneous-slow,TTFT5.2_TPOT2.4,5.2,2.4,raw,41,308,1,0,350,0
h103-o500-d30,h103-o500-d30-heterogeneous-slow,TTFT5.2_TPOT2.4,5.2,2.4,legacy,37,309,0,4,350,0
h103-o500-d30,h103-o500-d30-heterogeneous-slow,TTFT5.2_TPOT5,5.2,5.0,raw,117,53,0,180,350,0
h103-o500-d30,h103-o500-d30-heterogeneous-slow,TTFT5.2_TPOT5,5.2,5.0,legacy,116,53,0,181,350,0
h103-o500-d30,h103-o500-d30-heterogeneous-slow,TTFT5.2_TPOT10,5.2,10.0,raw,195,53,0,102,350,0
h103-o500-d30,h103-o500-d30-heterogeneous-slow,TTFT5.2_TPOT10,5.2,10.0,legacy,195,53,0,102,350,0
h103-o500-d30,h103-o500-d30-heterogeneous-slow,TTFT4.68_TPOT1.2,4.68,1.2,raw,41,308,1,0,350,0
h103-o500-d30,h103-o500-d30-heterogeneous-slow,TTFT4.68_TPOT1.2,4.68,1.2,legacy,37,309,0,4,350,0
h103-o500-d30,h103-o500-d30-heterogeneous-slow,TTFT4.68_TPOT10,4.68,10.0,raw,136,98,0,116,350,0
h103-o500-d30,h103-o500-d30-heterogeneous-slow,TTFT4.68_TPOT10,4.68,10.0,legacy,135,98,0,117,350,0
h104-o700-d120,h104-o700-d120-heterogeneous-fast,TTFT5.2_TPOT0.3,5.2,0.3,raw,36,224,0,0,260,0
h104-o700-d120,h104-o700-d120-heterogeneous-fast,TTFT5.2_TPOT0.3,5.2,0.3,legacy,31,224,0,5,260,0
h104-o700-d120,h104-o700-d120-heterogeneous-fast,TTFT5.2_TPOT0.6,5.2,0.6,raw,36,224,0,0,260,0
h104-o700-d120,h104-o700-d120-heterogeneous-fast,TTFT5.2_TPOT0.6,5.2,0.6,legacy,31,224,0,5,260,0
h104-o700-d120,h104-o700-d120-heterogeneous-fast,TTFT5.2_TPOT1.2,5.2,1.2,raw,36,224,0,0,260,0
h104-o700-d120,h104-o700-d120-heterogeneous-fast,TTFT5.2_TPOT1.2,5.2,1.2,legacy,31,224,0,5,260,0
h104-o700-d120,h104-o700-d120-heterogeneous-fast,TTFT5.2_TPOT2.4,5.2,2.4,raw,36,224,0,0,260,0
h104-o700-d120,h104-o700-d120-heterogeneous-fast,TTFT5.2_TPOT2.4,5.2,2.4,legacy,31,224,0,5,260,0
h104-o700-d120,h104-o700-d120-heterogeneous-fast,TTFT5.2_TPOT5,5.2,5.0,raw,92,40,0,128,260,0
h104-o700-d120,h104-o700-d120-heterogeneous-fast,TTFT5.2_TPOT5,5.2,5.0,legacy,92,40,0,128,260,0
h104-o700-d120,h104-o700-d120-heterogeneous-fast,TTFT5.2_TPOT10,5.2,10.0,raw,130,40,0,90,260,0
h104-o700-d120,h104-o700-d120-heterogeneous-fast,TTFT5.2_TPOT10,5.2,10.0,legacy,128,40,0,92,260,0
h104-o700-d120,h104-o700-d120-heterogeneous-fast,TTFT4.68_TPOT1.2,4.68,1.2,raw,36,224,0,0,260,0
h104-o700-d120,h104-o700-d120-heterogeneous-fast,TTFT4.68_TPOT1.2,4.68,1.2,legacy,31,224,0,5,260,0
h104-o700-d120,h104-o700-d120-heterogeneous-fast,TTFT4.68_TPOT10,4.68,10.0,raw,130,55,0,75,260,0
h104-o700-d120,h104-o700-d120-heterogeneous-fast,TTFT4.68_TPOT10,4.68,10.0,legacy,128,55,0,77,260,0
h105-o900-d30,h105-o900-d30-heterogeneous-fast,TTFT5.2_TPOT0.3,5.2,0.3,raw,45,320,0,0,365,0
h105-o900-d30,h105-o900-d30-heterogeneous-fast,TTFT5.2_TPOT0.3,5.2,0.3,legacy,40,320,0,5,365,0
h105-o900-d30,h105-o900-d30-heterogeneous-fast,TTFT5.2_TPOT0.6,5.2,0.6,raw,45,320,0,0,365,0
h105-o900-d30,h105-o900-d30-heterogeneous-fast,TTFT5.2_TPOT0.6,5.2,0.6,legacy,40,320,0,5,365,0
h105-o900-d30,h105-o900-d30-heterogeneous-fast,TTFT5.2_TPOT1.2,5.2,1.2,raw,45,320,0,0,365,0
h105-o900-d30,h105-o900-d30-heterogeneous-fast,TTFT5.2_TPOT1.2,5.2,1.2,legacy,40,320,0,5,365,0
h105-o900-d30,h105-o900-d30-heterogeneous-fast,TTFT5.2_TPOT2.4,5.2,2.4,raw,45,259,0,61,365,0
h105-o900-d30,h105-o900-d30-heterogeneous-fast,TTFT5.2_TPOT2.4,5.2,2.4,legacy,40,259,0,66,365,0
h105-o900-d30,h105-o900-d30-heterogeneous-fast,TTFT5.2_TPOT5,5.2,5.0,raw,130,58,0,177,365,0
h105-o900-d30,h105-o900-d30-heterogeneous-fast,TTFT5.2_TPOT5,5.2,5.0,legacy,130,58,0,177,365,0
h105-o900-d30,h105-o900-d30-heterogeneous-fast,TTFT5.2_TPOT10,5.2,10.0,raw,184,58,0,123,365,0
h105-o900-d30,h105-o900-d30-heterogeneous-fast,TTFT5.2_TPOT10,5.2,10.0,legacy,183,58,0,124,365,0
h105-o900-d30,h105-o900-d30-heterogeneous-fast,TTFT4.68_TPOT1.2,4.68,1.2,raw,45,320,0,0,365,0
h105-o900-d30,h105-o900-d30-heterogeneous-fast,TTFT4.68_TPOT1.2,4.68,1.2,legacy,40,320,0,5,365,0
h105-o900-d30,h105-o900-d30-heterogeneous-fast,TTFT4.68_TPOT10,4.68,10.0,raw,184,116,0,65,365,0
h105-o900-d30,h105-o900-d30-heterogeneous-fast,TTFT4.68_TPOT10,4.68,10.0,legacy,183,116,0,66,365,0
h106-o1100-d120,h106-o1100-d120-heterogeneous-slow,TTFT5.2_TPOT0.3,5.2,0.3,raw,13,302,0,0,315,0
h106-o1100-d120,h106-o1100-d120-heterogeneous-slow,TTFT5.2_TPOT0.3,5.2,0.3,legacy,11,302,0,2,315,0
h106-o1100-d120,h106-o1100-d120-heterogeneous-slow,TTFT5.2_TPOT0.6,5.2,0.6,raw,13,302,0,0,315,0
h106-o1100-d120,h106-o1100-d120-heterogeneous-slow,TTFT5.2_TPOT0.6,5.2,0.6,legacy,11,302,0,2,315,0
h106-o1100-d120,h106-o1100-d120-heterogeneous-slow,TTFT5.2_TPOT1.2,5.2,1.2,raw,13,302,0,0,315,0
h106-o1100-d120,h106-o1100-d120-heterogeneous-slow,TTFT5.2_TPOT1.2,5.2,1.2,legacy,11,302,0,2,315,0
h106-o1100-d120,h106-o1100-d120-heterogeneous-slow,TTFT5.2_TPOT2.4,5.2,2.4,raw,13,302,0,0,315,0
h106-o1100-d120,h106-o1100-d120-heterogeneous-slow,TTFT5.2_TPOT2.4,5.2,2.4,legacy,11,302,0,2,315,0
h106-o1100-d120,h106-o1100-d120-heterogeneous-slow,TTFT5.2_TPOT5,5.2,5.0,raw,33,252,23,7,315,0
h106-o1100-d120,h106-o1100-d120-heterogeneous-slow,TTFT5.2_TPOT5,5.2,5.0,legacy,33,252,23,7,315,0
h106-o1100-d120,h106-o1100-d120-heterogeneous-slow,TTFT5.2_TPOT10,5.2,10.0,raw,48,223,8,36,315,0
