group,shift,intensity,origin,status,sla,semantics,point_record,evaluator_safe,reference_safe,evaluator_first_violation_count,reference_violation_type,reference_violating_requests,reference_request_count,reference_violating_request_fraction,reference_max_ttft_excess_s,reference_max_tpot_excess_s
h101-o60-d30-heterogeneous-fast,2,10.3960654413,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,0056ea855a1b2db3ebf9073fcdb5e415daf878cee01b1c4b6e37caff84d88f41,False,False,1,TPOT only,16,16,1.0,0.0,4.492795428763209
h101-o60-d30-heterogeneous-fast,-2,9.7419846861,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,00beaa12c4e4638c7c97bd407128af1fd4ce3229665a6ae6b5f686ed6bab1985,False,False,1,both,16,16,1.0,0.05689830369524351,4.463106674571203
h101-o60-d30-heterogeneous-fast,-2,0.0153216525,stage4_new,ok,TTFT5.2_TPOT0.3,raw,0499e83c1680f20108bb917c8b157c2f55f0f35488abd9ddc9cb58355d764f01,False,False,1,TPOT only,2,16,0.125,0.0,2.098827574941156
h101-o60-d30-heterogeneous-fast,-2,13.7772468675,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,04e9c95d4d11216e8f68404d880933e2e5b04fb31a967f7ac94b26e81ca5e8cd,False,False,1,both,16,16,1.0,0.7954799963262325,3.4421753677871996
h101-o60-d30-heterogeneous-fast,-1,0.032,stage4_new,ok,TTFT5.2_TPOT0.3,raw,07454fc02c4bc3e9d10c507518f68be259896a0511f570f74fc40fac2aefb8ab,False,False,1,TPOT only,4,16,0.25,0.0,2.10086097071566
h101-o60-d30-heterogeneous-fast,-1,13.7772468675,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,083a76447945aedd6e654704c98e41b91610aec2e5cf84300fe96a4e19281db6,False,False,1,both,16,16,1.0,0.412621641126222,4.37205155996321
h101-o60-d30-heterogeneous-fast,0,10.1732991965,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,08ecd7195c198bfcd9b109e1ac23f281e2142628ad92c612e659ac05b26c430e,False,False,1,TPOT only,16,16,1.0,0.0,4.165428674584589
h101-o60-d30-heterogeneous-fast,0,0.0123376866,stage4_new,ok,TTFT5.2_TPOT0.3,raw,08edd547693003436dd6223329b4f18f1ab007578ac82d26492f1c143cc2ec21,False,False,1,TPOT only,2,16,0.125,0.0,1.9640152896041216
h101-o60-d30-heterogeneous-fast,-1,0.016,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,0b29955600f139990357bb16bae3d67904751e503ef4f89ef5b4cea938cc62e5,False,False,1,TPOT only,2,16,0.125,0.0,1.9947538347789349
h101-o60-d30-heterogeneous-fast,1,7.8446860755,stage4_new,ok,TTFT5.2_TPOT0.3,raw,0c08597c65dcc376e94b213f8f7a13e0625e8322b59e7c561c281642f43e1113,False,False,1,TPOT only,16,16,1.0,0.0,3.1370230365351626
h101-o60-d30-heterogeneous-fast,0,16.384,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,0d00b35ec4674a441d2ced3200987e13a7a3aad3fc61734077b0b90a751b06fe,False,False,1,both,16,16,1.0,0.4021628443072043,4.646838213004816
h101-o60-d30-heterogeneous-fast,-1,16.384,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,0da7b388fc79c24736a590729cdae372ded02169b1a7de45c830a232b6fb9813,False,False,1,both,16,16,1.0,0.7359736443071885,4.373297563163211
h101-o60-d30-heterogeneous-fast,-1,0.0108340444,stage4_new,ok,TTFT5.2_TPOT0.3,raw,0eaaba5066c4f12271de56567f7d78ec602ae283700b6473c1faa4316d2827dd,False,False,1,TPOT only,1,16,0.0625,0.0,1.98604728960443
h101-o60-d30-heterogeneous-fast,-2,10.1732991965,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,0f22c206738fc768d1ceb668d6a1332405e8dc69e47c541f6bba8d5edae42c80,False,False,1,both,16,16,1.0,0.15046542521556105,4.6005786749312
h101-o60-d30-heterogeneous-fast,-2,2.8963093757,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,0fe27478f7d8bd88e87bbfa72d9e7a2e27d41dcf1b7aabb618d2213ac1c65e0d,False,False,1,TPOT only,16,16,1.0,0.0,2.893203095264949
h101-o60-d30-heterogeneous-fast,2,3.756048561,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,10bdc92840c8f87784048a1d95127191438ad08bbacf82a2a6e18a051f1ef5eb,False,False,1,TPOT only,16,16,1.0,0.0,4.226238655398351
h101-o60-d30-heterogeneous-fast,2,0.7240773439,stage4_new,ok,TTFT5.2_TPOT0.3,raw,11875406c3fce50a52c0ae0f899c12f211560a2ba0f7f28f8ec241fd5d5ca687,False,False,1,TPOT only,16,16,1.0,0.0,4.247221032000029
h101-o60-d30-heterogeneous-fast,-1,0.0106018931,stage4_new,ok,TTFT5.2_TPOT0.3,raw,12225c43bdcc52fda635652eff1ed48b123265d15710eb8f885de4e8542d2a87,False,False,1,TPOT only,1,16,0.0625,0.0,2.0259223379801643
h101-o60-d30-heterogeneous-fast,-1,9.3289564959,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,12a6eab9b6abb9c7608e261df4f7693094cc4b23d1b64b6082a7c115a5eceef8,False,False,1,TPOT only,16,16,1.0,0.0,4.427689807032057
h101-o60-d30-heterogeneous-fast,-1,4.466719673,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,12cd92a36c1fcbe942ba80b6a8a3ea5a36c05eca864990febc2310445a1a63fb,False,False,1,TPOT only,16,16,1.0,0.0,4.219723604895888
