workload,SLA,N,required_pass_count,matched_candidate_count,matched_points,runtime_ratio_median,runtime_ratio_P95,runtime_ratio_min,runtime_ratio_max,cost_pass,cost_na_reason,G0_nontrivial_service_pass,G0_paired_relevant_coverage_pass,G0_zero_observed_optimistic_pass,G0_sampled_capacity_pass,G0_request_error_pass,G0_original_recommendation_pass,G0_service_relevant_points,G0_paired_relevant_points,G0_O,G0_approved_decidable,G0_optimistic_approval_fraction,G0_unverified_approvals,G0_E_approval_coverage,G0_all_capacities_identified,G0_max_absolute_relative_capacity_gap,G0_B_R,G0_E_L,G0_R_attainment,G0_recommendation_safe,G0_safe_usable_loss,G0_right_censored_candidates,G0_NA_reasons,G0_capacity_bounds,G0_TTFT_P90_normalized_absolute,G0_TTFT_median_signed_normalized,G0_TTFT_valid_points,G0_TTFT_na_reason,G0_TPOT_P90_normalized_absolute,G0_TPOT_median_signed_normalized,G0_TPOT_valid_points,G0_TPOT_na_reason,G1_nontrivial_service_pass,G1_paired_relevant_coverage_pass,G1_zero_observed_optimistic_pass,G1_sampled_capacity_pass,G1_request_error_pass,G1_original_recommendation_pass,G1_service_relevant_points,G1_paired_relevant_points,G1_O,G1_approved_decidable,G1_optimistic_approval_fraction,G1_unverified_approvals,G1_E_approval_coverage,G1_all_capacities_identified,G1_max_absolute_relative_capacity_gap,G1_B_R,G1_E_L,G1_R_attainment,G1_recommendation_safe,G1_safe_usable_loss,G1_right_censored_candidates,G1_NA_reasons,G1_capacity_bounds,G1_TTFT_P90_normalized_absolute,G1_TTFT_median_signed_normalized,G1_TTFT_valid_points,G1_TTFT_na_reason,G1_TPOT_P90_normalized_absolute,G1_TPOT_median_signed_normalized,G1_TPOT_valid_points,G1_TPOT_na_reason,screen_status,failed_or_unassessed_dimensions
h101,S1,16,15,5,30,527.5735780918778,686.0235399088482,240.32013918282797,691.6719348576554,True,,False,,True,,,,0,0,0,0,,0,0.0,False,,0,0,,,,0,"{""paired_relevant_coverage"":""no applicable or identifiable evidence"",""sampled_capacity"":""no applicable or identifiable evidence"",""request_error"":""no applicable or identifiable evidence"",""original_recommendation"":""no applicable or identifiable evidence""}","{""E"":{""-2"":[0,65.536],""-1"":[0,65.536],""0"":[0,65.536],""1"":[0,65.536],""2"":[0,65.536]},""R"":{""-2"":[0,0],""-1"":[0,0],""0"":[0,0],""1"":[0,0],""2"":[0,0]}}",,,0,empty applicable subset,,,0,empty applicable subset,False,,True,,,,0,0,0,0,,0,0.0,False,,0,0,,,,0,"{""paired_relevant_coverage"":""no applicable or identifiable evidence"",""sampled_capacity"":""no applicable or identifiable evidence"",""request_error"":""no applicable or identifiable evidence"",""original_recommendation"":""no applicable or identifiable evidence""}","{""E"":{""-2"":[0,65.536],""-1"":[0,65.536],""0"":[0,65.536],""1"":[0,65.536],""2"":[0,65.536]},""R"":{""-2"":[0,0],""-1"":[0,0],""0"":[0,0],""1"":[0,0],""2"":[0,0]}}",,,0,empty applicable subset,,,0,empty applicable subset,fail,"[""G0:nontrivial_service failed"",""G0:paired_relevant_coverage not-assessable"",""G0:sampled_capacity not-assessable"",""G0:request_error not-assessable"",""G0:original_recommendation not-assessable"",""G1:nontrivial_service failed"",""G1:paired_relevant_coverage not-assessable"",""G1:sampled_capacity not-assessable"",""G1:request_error not-assessable"",""G1:original_recommendation not-assessable""]"
h101,S2,16,15,5,30,527.5735780918778,686.0235399088482,240.32013918282797,691.6719348576554,True,,False,,True,,,,0,0,0,0,,0,0.0,False,,0,0,,,,0,"{""paired_relevant_coverage"":""no applicable or identifiable evidence"",""sampled_capacity"":""no applicable or identifiable evidence"",""request_error"":""no applicable or identifiable evidence"",""original_recommendation"":""no applicable or identifiable evidence""}","{""E"":{""-2"":[0,65.536],""-1"":[0,65.536],""0"":[0,65.536],""1"":[0,65.536],""2"":[0,65.536]},""R"":{""-2"":[0,0],""-1"":[0,0],""0"":[0,0],""1"":[0,0],""2"":[0,0]}}",,,0,empty applicable subset,,,0,empty applicable subset,False,,True,,,,0,0,0,0,,0,0.0,False,,0,0,,,,0,"{""paired_relevant_coverage"":""no applicable or identifiable evidence"",""sampled_capacity"":""no applicable or identifiable evidence"",""request_error"":""no applicable or identifiable evidence"",""original_recommendation"":""no applicable or identifiable evidence""}","{""E"":{""-2"":[0,65.536],""-1"":[0,65.536],""0"":[0,65.536],""1"":[0,65.536],""2"":[0,65.536]},""R"":{""-2"":[0,0],""-1"":[0,0],""0"":[0,0],""1"":[0,0],""2"":[0,0]}}",,,0,empty applicable subset,,,0,empty applicable subset,fail,"[""G0:nontrivial_service failed"",""G0:paired_relevant_coverage not-assessable"",""G0:sampled_capacity not-assessable"",""G0:request_error not-assessable"",""G0:original_recommendation not-assessable"",""G1:nontrivial_service failed"",""G1:paired_relevant_coverage not-assessable"",""G1:sampled_capacity not-assessable"",""G1:request_error not-assessable"",""G1:original_recommendation not-assessable""]"
h101,S3,16,15,5,30,527.5735780918778,686.0235399088482,240.32013918282797,691.6719348576554,True,,False,,True,,,,0,0,0,0,,0,0.0,False,,0,0,,,,0,"{""paired_relevant_coverage"":""no applicable or identifiable evidence"",""sampled_capacity"":""no applicable or identifiable evidence"",""request_error"":""no applicable or identifiable evidence"",""original_recommendation"":""no applicable or identifiable evidence""}","{""E"":{""-2"":[0,65.536],""-1"":[0,65.536],""0"":[0,65.536],""1"":[0,65.536],""2"":[0,65.536]},""R"":{""-2"":[0,0],""-1"":[0,0],""0"":[0,0],""1"":[0,0],""2"":[0,0]}}",,,0,empty applicable subset,,,0,empty applicable subset,False,,True,,,,0,0,0,0,,0,0.0,False,,0,0,,,,0,"{""paired_relevant_coverage"":""no applicable or identifiable evidence"",""sampled_capacity"":""no applicable or identifiable evidence"",""request_error"":""no applicable or identifiable evidence"",""original_recommendation"":""no applicable or identifiable evidence""}","{""E"":{""-2"":[0,65.536],""-1"":[0,65.536],""0"":[0,65.536],""1"":[0,65.536],""2"":[0,65.536]},""R"":{""-2"":[0,0],""-1"":[0,0],""0"":[0,0],""1"":[0,0],""2"":[0,0]}}",,,0,empty applicable subset,,,0,empty applicable subset,fail,"[""G0:nontrivial_service failed"",""G0:paired_relevant_coverage not-assessable"",""G0:sampled_capacity not-assessable"",""G0:request_error not-assessable"",""G0:original_recommendation not-assessable"",""G1:nontrivial_service failed"",""G1:paired_relevant_coverage not-assessable"",""G1:sampled_capacity not-assessable"",""G1:request_error not-assessable"",""G1:original_recommendation not-assessable""]"
h101,S4,16,15,5,30,527.5735780918778,686.0235399088482,240.32013918282797,691.6719348576554,True,,True,True,True,,True,True,143,143,0,142,0.0,0,0.37866666666666665,False,,0.064,0.064,1.0,True,0.0,0,"{""sampled_capacity"":""no applicable or identifiable evidence""}","{""E"":{""-2"":[0.064,65.536],""-1"":[0.064,65.536],""0"":[0.032,65.536],""1"":[0.032,65.536],""2"":[0.032,65.536]},""R"":{""-2"":[0.064,0.064],""-1"":[0.064,0.064],""0"":[0.064,0.064],""1"":[0.032,0.032],""2"":[0.032,0.032]}}",0.02408114272346514,-0.005692882708027962,143,,0.001272323912479112,-0.00023597440761546906,143,,True,True,True,,True,False,157,157,0,152,0.0,0,0.37530864197530867,False,,0.128,0.090509668,1.0,True,0.29289321874999996,0,"{""sampled_capacity"":""no applicable or identifiable evidence""}","{""E"":{""-2"":[0.090509668,65.536],""-1"":[0.064,65.536],""0"":[0.045254834,65.536],""1"":[0.045254834,65.536],""2"":[0.0380546277,65.536]},""R"":{""-2"":[0.128,0.128],""-1"":[0.128,0.128],""0"":[0.090509668,0.090509668],""1"":[0.045254834,0.045254834],""2"":[0.0380546277,0.0380546277]}}",0.026945336160404548,-0.003962403681612159,157,,0.002430337523290249,-0.00023597440758749144,157,,fail,"[""G0:sampled_capacity not-assessable"",""G1:sampled_capacity not-assessable"",""G1:original_recommendation failed""]"
h101,S5,16,15,5,30,527.5735780918778,686.0235399088482,240.32013918282797,691.6719348576554,True,,True,True,True,,True,False,146,146,0,145,0.0,0,0.38666666666666666,False,,0.256,0.064,1.0,True,0.75,0,"{""sampled_capacity"":""no applicable or identifiable evidence""}","{""E"":{""-2"":[0.064,65.536],""-1"":[0.064,65.536],""0"":[0.064,65.536],""1"":[0.064,65.536],""2"":[0.064,65.536]},""R"":{""-2"":[0.256,0.256],""-1"":[0.064,0.064],""0"":[0.064,0.064],""1"":[0.064,0.064],""2"":[0.064,0.064]}}",0.025698066091517074,-0.005692882707990066,146,,0.0015669102845736194,-0.00019664533966373687,146,,True,True,True,,True,False,170,170,0,169,0.0,0,0.41728395061728396,False,,0.256,0.181019336,0.9375,True,0.29289321874999996,0,"{""sampled_capacity"":""no applicable or identifiable evidence""}","{""E"":{""-2"":[0.181019336,65.536],""-1"":[0.181019336,65.536],""0"":[0.181019336,65.536],""1"":[0.181019336,65.536],""2"":[0.128,65.536]},""R"":{""-2"":[0.256,0.256],""-1"":[0.181019336,0.181019336],""0"":[0.181019336,0.181019336],""1"":[0.181019336,0.181019336],""2"":[0.128,0.128]}}",0.032028142908446945,-0.003962403679300526,170,,0.008363855645764084,-0.00019664533896994002,170,,fail,"[""G0:sampled_capacity not-assessable"",""G0:original_recommendation failed"",""G1:sampled_capacity not-assessable"",""G1:original_recommendation failed""]"
h101,S6,16,15,5,30,527.5735780918778,686.0235399088482,240.32013918282797,691.6719348576554,True,,True,False,True,,True,False,202,173,0,160,0.0,0,0.4266666666666667,False,,3.4443117169,0.6088740429,1.0,True,0.8232233046990277,0,"{""sampled_capacity"":""no applicable or identifiable evidence""}","{""E"":{""-2"":[0.6088740429,65.536],""-1"":[0.6088740429,65.536],""0"":[0.6088740429,65.536],""1"":[0.6088740429,65.536],""2"":[0.6088740429,65.536]},""R"":{""-2"":[3.1584477704,3.1584477704],""-1"":[3.4443117169,3.4443117169],""0"":[3.4443117169,3.4443117169],""1"":[3.4443117169,3.4443117169],""2"":[3.4443117169,3.4443117169]}}",0.03704485001621075,-0.0038837455438169854,173,,0.03311176893118217,-0.0001179872042232355,173,,True,False,True,,True,False,232,203,0,190,0.0,0,0.4691358024691358,False,,3.4443117169,0.6088740429,1.0,True,0.8232233046990277,0,"{""sampled_capacity"":""no applicable or identifiable evidence""}","{""E"":{""-2"":[0.6088740429,65.536],""-1"":[0.6088740429,65.536],""0"":[0.6088740429,65.536],""1"":[0.6088740429,65.536],""2"":[0.6088740429,65.536]},""R"":{""-2"":[3.1584477704,3.1584477704],""-1"":[3.4443117169,3.4443117169],""0"":[3.4443117169,3.4443117169],""1"":[3.4443117169,3.4443117169],""2"":[3.4443117169,3.4443117169]}}",0.03675909804263355,-0.0037362615348683903,203,,0.036013881699820394,-0.00011798720380790106,203,,fail,"[""G0:paired_relevant_coverage failed"",""G0:sampled_capacity not-assessable"",""G0:original_recommendation failed"",""G1:paired_relevant_coverage failed"",""G1:sampled_capacity not-assessable"",""G1:original_recommendation failed""]"
h102,S1,54,49,5,30,540.84137935155,735.5757717859632,324.8869434122703,741.4498223248464,True,,False,,True,,,,0,0,0,0,,0,0.0,False,,0,0,,,,0,"{""paired_relevant_coverage"":""no applicable or identifiable evidence"",""sampled_capacity"":""no applicable or identifiable evidence"",""request_error"":""no applicable or identifiable evidence"",""original_recommendation"":""no applicable or identifiable evidence""}","{""E"":{""-2"":[0,65.536],""-1"":[0,65.536],""0"":[0,65.536],""1"":[0,65.536],""2"":[0,65.536]},""R"":{""-2"":[0,0],""-1"":[0,0],""0"":[0,0],""1"":[0,0],""2"":[0,0]}}",,,0,empty applicable subset,,,0,empty applicable subset,False,,True,,,,0,0,0,0,,0,0.0,False,,0,0,,,,0,"{""paired_relevant_coverage"":""no applicable or identifiable evidence"",""sampled_capacity"":""no applicable or identifiable evidence"",""request_error"":""no applicable or identifiable evidence"",""original_recommendation"":""no applicable or identifiable evidence""}","{""E"":{""-2"":[0,65.536],""-1"":[0,65.536],""0"":[0,65.536],""1"":[0,65.536],""2"":[0,65.536]},""R"":{""-2"":[0,0],""-1"":[0,0],""0"":[0,0],""1"":[0,0],""2"":[0,0]}}",,,0,empty applicable subset,,,0,empty applicable subset,fail,"[""G0:nontrivial_service failed"",""G0:paired_relevant_coverage not-assessable"",""G0:sampled_capacity not-assessable"",""G0:request_error not-assessable"",""G0:original_recommendation not-assessable"",""G1:nontrivial_service failed"",""G1:paired_relevant_coverage not-assessable"",""G1:sampled_capacity not-assessable"",""G1:request_error not-assessable"",""G1:original_recommendation not-assessable""]"
h102,S2,54,49,5,30,540.84137935155,735.5757717859632,324.8869434122703,741.4498223248464,True,,False,,True,,,,0,0,0,0,,0,0.0,False,,0,0,,,,0,"{""paired_relevant_coverage"":""no applicable or identifiable evidence"",""sampled_capacity"":""no applicable or identifiable evidence"",""request_error"":""no applicable or identifiable evidence"",""original_recommendation"":""no applicable or identifiable evidence""}","{""E"":{""-2"":[0,65.536],""-1"":[0,65.536],""0"":[0,65.536],""1"":[0,65.536],""2"":[0,65.536]},""R"":{""-2"":[0,0],""-1"":[0,0],""0"":[0,0],""1"":[0,0],""2"":[0,0]}}",,,0,empty applicable subset,,,0,empty applicable subset,False,,True,,,,0,0,0,0,,0,0.0,False,,0,0,,,,0,"{""paired_relevant_coverage"":""no applicable or identifiable evidence"",""sampled_capacity"":""no applicable or identifiable evidence"",""request_error"":""no applicable or identifiable evidence"",""original_recommendation"":""no applicable or identifiable evidence""}","{""E"":{""-2"":[0,65.536],""-1"":[0,65.536],""0"":[0,65.536],""1"":[0,65.536],""2"":[0,65.536]},""R"":{""-2"":[0,0],""-1"":[0,0],""0"":[0,0],""1"":[0,0],""2"":[0,0]}}",,,0,empty applicable subset,,,0,empty applicable subset,fail,"[""G0:nontrivial_service failed"",""G0:paired_relevant_coverage not-assessable"",""G0:sampled_capacity not-assessable"",""G0:request_error not-assessable"",""G0:original_recommendation not-assessable"",""G1:nontrivial_service failed"",""G1:paired_relevant_coverage not-assessable"",""G1:sampled_capacity not-assessable"",""G1:request_error not-assessable"",""G1:original_recommendation not-assessable""]"
h102,S3,54,49,5,30,540.84137935155,735.5757717859632,324.8869434122703,741.4498223248464,True,,False,,True,,,,0,0,0,0,,0,0.0,False,,0,0,,,,0,"{""paired_relevant_coverage"":""no applicable or identifiable evidence"",""sampled_capacity"":""no applicable or identifiable evidence"",""request_error"":""no applicable or identifiable evidence"",""original_recommendation"":""no applicable or identifiable evidence""}","{""E"":{""-2"":[0,65.536],""-1"":[0,65.536],""0"":[0,65.536],""1"":[0,65.536],""2"":[0,65.536]},""R"":{""-2"":[0,0],""-1"":[0,0],""0"":[0,0],""1"":[0,0],""2"":[0,0]}}",,,0,empty applicable subset,,,0,empty applicable subset,False,,True,,,,0,0,0,0,,0,0.0,False,,0,0,,,,0,"{""paired_relevant_coverage"":""no applicable or identifiable evidence"",""sampled_capacity"":""no applicable or identifiable evidence"",""request_error"":""no applicable or identifiable evidence"",""original_recommendation"":""no applicable or identifiable evidence""}","{""E"":{""-2"":[0,65.536],""-1"":[0,65.536],""0"":[0,65.536],""1"":[0,65.536],""2"":[0,65.536]},""R"":{""-2"":[0,0],""-1"":[0,0],""0"":[0,0],""1"":[0,0],""2"":[0,0]}}",,,0,empty applicable subset,,,0,empty applicable subset,fail,"[""G0:nontrivial_service failed"",""G0:paired_relevant_coverage not-assessable"",""G0:sampled_capacity not-assessable"",""G0:request_error not-assessable"",""G0:original_recommendation not-assessable"",""G1:nontrivial_service failed"",""G1:paired_relevant_coverage not-assessable"",""G1:sampled_capacity not-assessable"",""G1:request_error not-assessable"",""G1:original_recommendation not-assessable""]"
h102,S4,54,49,5,30,540.84137935155,735.5757717859632,324.8869434122703,741.4498223248464,True,,True,True,True,,True,True,124,124,0,123,0.0,0,0.3194805194805195,False,,0.064,0.064,0.9814814814814815,True,0.0,0,"{""sampled_capacity"":""no applicable or identifiable evidence""}","{""E"":{""-2"":[0.064,65.536],""-1"":[0.064,65.536],""0"":[0.064,65.536],""1"":[0.016,65.536],""2"":[0.016,65.536]},""R"":{""-2"":[0.064,0.064],""-1"":[0.064,0.064],""0"":[0.064,0.064],""1"":[0.064,0.064],""2"":[0.016,0.016]}}",0.01279906540154722,-0.009542731314013508,124,,0.00023610891183856175,-0.00023610886180602808,124,,True,True,True,,True,False,144,144,0,139,0.0,0,0.3349397590361446,False,,0.128,0.090509668,1.0,True,0.29289321874999996,0,"{""sampled_capacity"":""no applicable or identifiable evidence""}","{""E"":{""-2"":[0.090509668,65.536],""-1"":[0.090509668,65.536],""0"":[0.064,65.536],""1"":[0.045254834,65.536],""2"":[0.0380546277,65.536]},""R"":{""-2"":[0.128,0.128],""-1"":[0.128,0.128],""0"":[0.090509668,0.090509668],""1"":[0.064,0.064],""2"":[0.045254834,0.045254834]}}",0.02676953742866317,-0.004348337360492375,144,,0.0029305043286474985,-0.00023610885546077043,144,,fail,"[""G0:sampled_capacity not-assessable"",""G1:sampled_capacity not-assessable"",""G1:original_recommendation failed""]"
