grid_version,workload,band,g0_min,g0_max,metric,scheduled_points,pairable_points,E_status_counts,R_status_counts,pairable_coverage,coverage_na_reason,median_signed,median_absolute,p90_absolute,p95_absolute,mean_signed,MAE,min,max,na_reason,valid_workloads,valid_candidates,valid_points,valid_requests,inapplicable_or_small_reference_requests,weighting
G0,h101,low,0.001,65.536,TTFT,140,140,"{""complete"":140}","{""complete"":140}",1.0,,-0.03415729624816777,0.05156040919679272,0.11757425117673392,0.17338839654883031,-0.02339292233748874,0.057897119823979444,-0.11757425126052112,0.2254797481919013,,1,5,140,2240,0,equal workload/candidate/point/request
G0,h101,low,0.001,65.536,TPOT,140,140,"{""complete"":140}","{""complete"":140}",1.0,,-5.899360190395053e-05,5.899360220470995e-05,5.899363395439616e-05,0.0005935850513051899,1.484900534559827e-05,0.00011741009697096979,-0.0008481654734228961,0.003603576126367941,,1,5,140,2240,0,equal workload/candidate/point/request
G0,h101,middle,0.001,65.536,TTFT,35,35,"{""complete"":35}","{""complete"":35}",1.0,,0.2254797481746209,0.22604802913593858,3.01075138299011,5.974122543421892,1.0452058742601897,1.0513348870726011,-0.29688984073384894,8.52408141594642,,1,5,35,560,0,equal workload/candidate/point/request
G0,h101,middle,0.001,65.536,TPOT,35,35,"{""complete"":35}","{""complete"":35}",1.0,,-0.01549830491304005,0.018467783697167672,0.05432617730511219,0.07184801477232411,-0.01981690035332272,0.025416865266611997,-0.11300532596046003,0.05836700574997861,,1,5,35,560,0,equal workload/candidate/point/request
G0,h101,high,0.001,65.536,TTFT,200,0,"{""unsupported_profile_domain"":200}","{""complete"":200}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G0,h101,high,0.001,65.536,TPOT,200,0,"{""unsupported_profile_domain"":200}","{""complete"":200}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G0,h102,low,0.001,65.536,TTFT,120,120,"{""complete"":120}","{""complete"":120}",1.0,,-0.05784665991450311,0.05849595915697137,0.07520065789685759,0.095446988932963,-0.03604185293794068,0.04942801061111756,-0.11291904128302122,0.2351729150632309,,1,5,120,6480,0,equal workload/candidate/point/request
G0,h102,low,0.001,65.536,TPOT,120,120,"{""complete"":120}","{""complete"":120}",1.0,,-5.9027215456808335e-05,5.902721551198642e-05,5.9027220344037845e-05,9.104764799805487e-05,-3.110405185828545e-05,8.014402794150668e-05,-0.0020091791385799807,0.0035397218504530092,,1,5,120,6480,0,equal workload/candidate/point/request
G0,h102,middle,0.001,65.536,TTFT,50,30,"{""complete"":30,""unsupported_profile_domain"":20}","{""complete"":50}",0.6,,0.225315371976194,0.22531899367338593,2.7008697170988683,7.9231959097071325,1.2746481274366424,1.2811473558858588,-0.22729519900894957,18.69895966350211,,1,5,30,1620,0,equal workload/candidate/point/request
G0,h102,middle,0.001,65.536,TPOT,50,30,"{""complete"":30,""unsupported_profile_domain"":20}","{""complete"":50}",0.6,,-0.019960696579188142,0.025138127678419997,0.0647754676372535,0.08729180267881137,0.0034469540095736074,0.051778725773205296,-0.24626525626320206,2.3493683838872585,,1,5,30,1620,0,equal workload/candidate/point/request
G0,h102,high,0.001,65.536,TTFT,215,0,"{""unsupported_profile_domain"":215}","{""complete"":215}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G0,h102,high,0.001,65.536,TPOT,215,0,"{""unsupported_profile_domain"":215}","{""complete"":215}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G0,h103,low,0.001,65.536,TTFT,80,80,"{""complete"":80}","{""complete"":80}",1.0,,-0.059676503243508705,0.0635722987058216,0.1048323143018024,0.1608075412668768,-0.03722149928074715,0.06246511851615178,-0.10483231434773188,0.22974241226620506,,1,5,80,1200,0,equal workload/candidate/point/request
G0,h103,low,0.001,65.536,TPOT,80,80,"{""complete"":80}","{""complete"":80}",1.0,,-5.90272025254579e-05,5.902720277739526e-05,5.902722798911686e-05,0.0003437671923583463,-8.206983274314217e-06,9.620948007029841e-05,-5.902723119910469e-05,0.0017902728602764706,,1,5,80,1200,0,equal workload/candidate/point/request
G0,h103,middle,0.001,65.536,TTFT,65,60,"{""complete"":60,""unsupported_profile_domain"":5}","{""complete"":65}",0.9230769230769231,,5.274113022439799,5.274113022439799,15.69537026594606,17.170525485201814,7.071707769041285,7.076040365814899,-0.07461038585596746,22.63690421704335,,1,5,60,900,0,equal workload/candidate/point/request
G0,h103,middle,0.001,65.536,TPOT,65,60,"{""complete"":60,""unsupported_profile_domain"":5}","{""complete"":65}",0.9230769230769231,,-0.034753835638800634,0.03483010943997461,0.11818207951478643,0.13906742382985615,-0.04986329664961492,0.05217370935334201,-0.21288967937973996,0.046180762720730684,,1,5,60,900,0,equal workload/candidate/point/request
G0,h103,high,0.001,65.536,TTFT,205,0,"{""unsupported_profile_domain"":205}","{""complete"":205}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G0,h103,high,0.001,65.536,TPOT,205,0,"{""unsupported_profile_domain"":205}","{""complete"":205}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G0,h104,low,0.001,65.536,TTFT,70,70,"{""complete"":70}","{""complete"":70}",1.0,,-0.026311147077649366,0.04955462669568078,0.07244414464366855,0.07993633237128961,-0.03693100181144387,0.04510731317892746,-0.11220583335671108,0.22966829400297684,,1,5,70,5670,0,equal workload/candidate/point/request
G0,h104,low,0.001,65.536,TPOT,70,70,"{""complete"":70}","{""complete"":70}",1.0,,-5.8993617665897835e-05,5.899361917974244e-05,5.899363565153859e-05,5.89936371611921e-05,-4.431876701810576e-05,6.93472470562168e-05,-5.8993637305160274e-05,0.0015649431810389747,,1,5,70,5670,0,equal workload/candidate/point/request
G0,h104,middle,0.001,65.536,TTFT,85,40,"{""complete"":40,""unsupported_profile_domain"":45}","{""complete"":85}",0.47058823529411764,,0.20975532574061617,0.21046829400319478,0.6798328221203747,1.1230254696897646,0.36282969204178606,0.37118290029085543,-0.7032892927994112,6.892311539450844,,1,5,40,3240,0,equal workload/candidate/point/request
G0,h104,middle,0.001,65.536,TPOT,85,40,"{""complete"":40,""unsupported_profile_domain"":45}","{""complete"":85}",0.47058823529411764,,-0.02952164344631983,0.03326966969140016,0.06740044550628338,0.07982030176496246,-0.0242857027129686,0.036133518870338874,-0.29711753240619293,0.25258277758997094,,1,5,40,3240,0,equal workload/candidate/point/request
G0,h104,high,0.001,65.536,TTFT,105,0,"{""unsupported_profile_domain"":105}","{""complete"":105}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G0,h104,high,0.001,65.536,TPOT,105,0,"{""unsupported_profile_domain"":105}","{""complete"":105}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G0,h105,low,0.001,65.536,TTFT,100,100,"{""complete"":100}","{""complete"":100}",1.0,,-0.05970152643838844,0.060409449688904715,0.1496171982521446,0.17521719825344917,-0.021330390924768933,0.06285634624766488,-0.07751759471284458,0.22624666501820911,,1,5,100,1400,0,equal workload/candidate/point/request
G0,h105,low,0.001,65.536,TPOT,100,100,"{""complete"":100}","{""complete"":100}",1.0,,-5.899360210934179e-05,5.899360283556643e-05,0.0003579043641890045,0.0006610808375272226,3.095012701118937e-05,0.00012805955059773814,-5.89936372467903e-05,0.0015699931935494182,,1,5,100,1400,0,equal workload/candidate/point/request
G0,h105,middle,0.001,65.536,TTFT,35,35,"{""complete"":35}","{""complete"":35}",1.0,,0.19173624731052286,0.19173624731052286,1.1694629371810947,1.5421769903245774,0.43629828922018865,0.44450663040836935,-0.06058643048723411,3.8239243100193967,,1,5,35,490,0,equal workload/candidate/point/request
G0,h105,middle,0.001,65.536,TPOT,35,35,"{""complete"":35}","{""complete"":35}",1.0,,-0.003793301427915785,0.015157160811184844,0.043736081992546694,0.052174168042182834,-0.010793542670510678,0.01976795645003544,-0.17782914779887743,0.09622779119863867,,1,5,35,490,0,equal workload/candidate/point/request
G0,h105,high,0.001,65.536,TTFT,230,0,"{""unsupported_profile_domain"":230}","{""complete"":230}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G0,h105,high,0.001,65.536,TPOT,230,0,"{""unsupported_profile_domain"":230}","{""complete"":230}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G0,h106,low,6.25e-05,65.536,TTFT,20,20,"{""complete"":20}","{""complete"":20}",1.0,,-0.0588501224101492,0.05885012240469223,0.06917988136410713,0.07756174614405609,-0.04565332598571117,0.04565332598571117,-0.120474525494501,-0.0004722150042653084,,1,5,20,980,0,equal workload/candidate/point/request
G0,h106,low,6.25e-05,65.536,TPOT,20,20,"{""complete"":20}","{""complete"":20}",1.0,,-5.9027215453616444e-05,5.9027215448398396e-05,5.9027880451617554e-05,5.902850754418987e-05,-5.90271786046315e-05,5.90271786046315e-05,-5.902913399041809e-05,-5.9026227487879446e-05,,1,5,20,980,0,equal workload/candidate/point/request
G0,h106,middle,6.25e-05,65.536,TTFT,160,160,"{""complete"":160}","{""complete"":160}",1.0,,0.16510133667901528,0.16518583230981676,0.2266536705404576,0.34113784181855067,0.1708807469950868,0.19618841895825193,-0.23309653527005025,3.158134347456155,,1,5,160,7840,0,equal workload/candidate/point/request
G0,h106,middle,6.25e-05,65.536,TPOT,160,160,"{""complete"":160}","{""complete"":160}",1.0,,-5.902720310757559e-05,0.008227971401535944,0.050815809888366814,0.0603607000179317,-0.009514526240928023,0.01722362671681376,-0.1389062709427219,0.07935645860456747,,1,5,160,7840,0,equal workload/candidate/point/request
G0,h106,high,6.25e-05,65.536,TTFT,135,5,"{""complete"":5,""unsupported_profile_domain"":130}","{""complete"":135}",0.037037037037037035,,2.7752936176053,2.7752936176053,8.903166972263975,12.290764174166917,3.9770535277235886,3.9789756987347586,-0.18175119322836508,14.310989361671375,,1,5,5,245,0,equal workload/candidate/point/request
G0,h106,high,6.25e-05,65.536,TPOT,135,5,"{""complete"":5,""unsupported_profile_domain"":130}","{""complete"":135}",0.037037037037037035,,-0.014109549392155363,0.03483273340824988,0.1925614921292239,0.35210068283173646,0.06311269301199549,0.10106137876498063,-0.09329340971605743,1.1747441173711288,,1,5,5,245,0,equal workload/candidate/point/request
G0,w201,low,0.001,65.536,TTFT,40,40,"{""complete"":40}","{""complete"":40}",1.0,,-0.06188428975679017,0.06194328335823229,0.09857831094717984,0.18876390869581883,-0.02755507847682559,0.06093419183282192,-0.09857831094717984,0.21379901475029328,,1,5,40,520,0,equal workload/candidate/point/request
G0,w201,low,0.001,65.536,TPOT,40,40,"{""complete"":40}","{""complete"":40}",1.0,,-5.899360211755744e-05,5.89936030619409e-05,5.899363557462789e-05,0.0007210609483392361,3.5290018568676086e-05,0.0001363943556747933,-5.899363718209205e-05,0.006271744782119809,,1,5,40,520,0,equal workload/candidate/point/request
