grid_version,SLA,workload,metric,weighting,valid_workloads,valid_candidates,median_signed,median_absolute,p90_absolute,p95_absolute,mean_signed,MAE,min,max,na_reason,total_candidates,E_no_safe,R_no_safe,E_unknown,R_unknown,E_right_censored,R_right_censored
G0,S1,h101,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S1,h101,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S1,h102,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S1,h102,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S1,h103,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S1,h103,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S1,h104,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S1,h104,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S1,h105,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S1,h105,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S1,h106,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S1,h106,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S1,w201,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S1,w201,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S1,w202,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S1,w202,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S1,w203,signed_gap,equal valid candidate then equal workload,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5,5,5,0,0,0,0
G0,S1,w203,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,5,5,0,0,0,0
G0,S1,w204,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S1,w204,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S1,ALL,signed_gap,equal valid candidate then equal workload,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50,5,50,45,0,0,0
G0,S1,ALL,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,50,5,50,45,0,0,0
G0,S2,h101,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S2,h101,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S2,h102,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S2,h102,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S2,h103,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S2,h103,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S2,h104,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S2,h104,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S2,h105,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S2,h105,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S2,h106,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S2,h106,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S2,w201,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S2,w201,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S2,w202,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S2,w202,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S2,w203,signed_gap,equal valid candidate then equal workload,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5,5,5,0,0,0,0
G0,S2,w203,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,5,5,0,0,0,0
G0,S2,w204,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S2,w204,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S2,ALL,signed_gap,equal valid candidate then equal workload,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50,5,50,45,0,0,0
G0,S2,ALL,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,50,5,50,45,0,0,0
G0,S3,h101,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S3,h101,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S3,h102,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S3,h102,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S3,h103,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S3,h103,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S3,h104,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S3,h104,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S3,h105,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S3,h105,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S3,h106,signed_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
G0,S3,h106,signed_relative_gap,equal valid candidate then equal workload,0,0,,,,,,,,,empty applicable subset,5,0,5,5,0,0,0
