grid_version,workload,SLA,candidate,L,physical_id,abstention,recommendation_under_incomplete_coverage,A_R,J_R,N,K,safe_R,reference_status,ttft_fail,tpot_fail,both_fail,joint_fail,joint_fail_fraction,ttft_fail_fraction,tpot_fail_over_N,attainment_shortfall,excess_fail_count,B,U,arithmetic_loss,safe_usable_loss,loss_na_reason,actual_na_reason,candidate_loss,load_selection_loss,N_D,tpot_fail_fraction,tpot_fraction_na_reason
G0,h101,S1,,0,,abstain_unknown,True,,,,,,,,,,,,,,,,0,0,,,reference no positive capacity,abstention,,,,,abstention
G0,h101,S2,,0,,abstain_unknown,True,,,,,,,,,,,,,,,,0,0,,,reference no positive capacity,abstention,,,,,abstention
G0,h101,S3,,0,,abstain_unknown,True,,,,,,,,,,,,,,,,0,0,,,reference no positive capacity,abstention,,,,,abstention
G0,h101,S4,-1,0.064,a453016d7b9238c8ae2d874220f4e587b39a5d2e3af2acfdac8d57f04c6466bf,,True,1.0,16,16,15,True,classified,0,0,0,0,0.0,0.0,0.0,0,0,0.064,0.064,0.0,0.0,,,0.0,0.0,16,0.0,
G0,h101,S5,0,0.064,067b8ca18db62a156fea33616e3560a1418e2eff362b083065486af04b1134e9,,True,1.0,16,16,15,True,classified,0,0,0,0,0.0,0.0,0.0,0,0,0.256,0.064,0.75,0.75,,,0.75,0.0,16,0.0,
G0,h101,S6,0,0.6088740429,e75bb5430f9d981bcad02221d7bf06283ee95e5cf0e3168d1dc9a8ce521e2518,,True,1.0,16,16,15,True,classified,0,0,0,0,0.0,0.0,0.0,0,0,3.4443117169,0.6088740429,0.8232233046990277,0.8232233046990277,,,0.0,0.8232233046990277,16,0.0,
G0,h102,S1,,0,,abstain_unknown,True,,,,,,,,,,,,,,,,0,0,,,reference no positive capacity,abstention,,,,,abstention
G0,h102,S2,,0,,abstain_unknown,True,,,,,,,,,,,,,,,,0,0,,,reference no positive capacity,abstention,,,,,abstention
G0,h102,S3,,0,,abstain_unknown,True,,,,,,,,,,,,,,,,0,0,,,reference no positive capacity,abstention,,,,,abstention
G0,h102,S4,0,0.064,acc7d03e63add839982c3ac05843765e155b3d0cdf4a1f52ac07a9eeacf25cb1,,True,0.9814814814814815,53,54,49,True,classified,0,1,0,1,0.018518518518518517,0.0,0.018518518518518517,0,0,0.064,0.064,0.0,0.0,,,0.0,0.0,54,0.018518518518518517,
G0,h102,S5,0,0.064,acc7d03e63add839982c3ac05843765e155b3d0cdf4a1f52ac07a9eeacf25cb1,,True,1.0,54,54,49,True,classified,0,0,0,0,0.0,0.0,0.0,0,0,0.064,0.064,0.0,0.0,,,0.0,0.0,54,0.0,
