grid_version,workload,candidate,SLA,scope,aggregation,BS,BU,O,C,unknown,scheduled,decidable,E_approved,unverified_approval,optimistic_approval_fraction,optimistic_approval_fraction_numerator,optimistic_approval_fraction_denominator,optimistic_approval_fraction_na_reason,reference_safe_missed_fraction,reference_safe_missed_fraction_numerator,reference_safe_missed_fraction_denominator,reference_safe_missed_fraction_na_reason,false_positive_rate,false_positive_rate_numerator,false_positive_rate_denominator,false_positive_rate_na_reason,E_approval_coverage,E_approval_coverage_numerator,E_approval_coverage_denominator,E_approval_coverage_na_reason,both_decision_coverage,both_decision_coverage_numerator,both_decision_coverage_denominator,both_decision_coverage_na_reason,BS_fraction,BS_fraction_numerator,BS_fraction_denominator,BS_fraction_na_reason,BU_fraction,BU_fraction_numerator,BU_fraction_denominator,BU_fraction_na_reason,O_fraction,O_fraction_numerator,O_fraction_denominator,O_fraction_na_reason,C_fraction,C_fraction_numerator,C_fraction_denominator,C_fraction_na_reason,attainment_mean_bias,attainment_MAE,attainment_P90_absolute,attainment_na_reason,subset_status,optimistic_approval_fraction_valid_workloads,optimistic_approval_fraction_valid_candidates,reference_safe_missed_fraction_valid_workloads,reference_safe_missed_fraction_valid_candidates,false_positive_rate_valid_workloads,false_positive_rate_valid_candidates,E_approval_coverage_valid_workloads,E_approval_coverage_valid_candidates,both_decision_coverage_valid_workloads,both_decision_coverage_valid_candidates,BS_fraction_valid_workloads,BS_fraction_valid_candidates,BU_fraction_valid_workloads,BU_fraction_valid_candidates,O_fraction_valid_workloads,O_fraction_valid_candidates,C_fraction_valid_workloads,C_fraction_valid_candidates,attainment_valid_workloads,attainment_valid_candidates
G0,h101,-2,S1,service,candidate_raw_counts,0,35,0,0,40,75,35,0,0,,0,0,zero denominator,,0,0,zero denominator,0.0,0,35,,0.0,0,75,,0.4666666666666667,35,75,,0.0,0,35,,1.0,35,35,,0.0,0,35,,0.0,0,35,,0.0,0.0,0.0,,present,,,,,,,,,,,,,,,,,,,,
G0,h101,-1,S1,service,candidate_raw_counts,0,35,0,0,40,75,35,0,0,,0,0,zero denominator,,0,0,zero denominator,0.0,0,35,,0.0,0,75,,0.4666666666666667,35,75,,0.0,0,35,,1.0,35,35,,0.0,0,35,,0.0,0,35,,0.0,0.0,0.0,,present,,,,,,,,,,,,,,,,,,,,
G0,h101,0,S1,service,candidate_raw_counts,0,35,0,0,40,75,35,0,0,,0,0,zero denominator,,0,0,zero denominator,0.0,0,35,,0.0,0,75,,0.4666666666666667,35,75,,0.0,0,35,,1.0,35,35,,0.0,0,35,,0.0,0,35,,0.0,0.0,0.0,,present,,,,,,,,,,,,,,,,,,,,
G0,h101,1,S1,service,candidate_raw_counts,0,35,0,0,40,75,35,0,0,,0,0,zero denominator,,0,0,zero denominator,0.0,0,35,,0.0,0,75,,0.4666666666666667,35,75,,0.0,0,35,,1.0,35,35,,0.0,0,35,,0.0,0,35,,0.0,0.0,0.0,,present,,,,,,,,,,,,,,,,,,,,
G0,h101,2,S1,service,candidate_raw_counts,0,35,0,0,40,75,35,0,0,,0,0,zero denominator,,0,0,zero denominator,0.0,0,35,,0.0,0,75,,0.4666666666666667,35,75,,0.0,0,35,,1.0,35,35,,0.0,0,35,,0.0,0,35,,0.0,0.0,0.0,,present,,,,,,,,,,,,,,,,,,,,
G0,h101,ALL,S1,service,pooled_counts,0,175,0,0,200,375,175,0,0,,0,0,zero denominator,,0,0,zero denominator,0.0,0,175,,0.0,0,375,,0.4666666666666667,175,375,,0.0,0,175,,1.0,175,175,,0.0,0,175,,0.0,0,175,,0.0,0.0,0.0,,present,,,,,,,,,,,,,,,,,,,,
G0,h101,ALL,S1,service,equal_candidate_equal_workload_macro,,,,,,,,,,,,,all denominators zero,,,,all denominators zero,0.0,,,,0.0,,,,0.4666666666666667,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,0,0,0,0,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5
G0,h101,-2,S1,latency_only,candidate_raw_counts,0,35,0,0,0,35,35,0,0,,0,0,zero denominator,,0,0,zero denominator,0.0,0,35,,0.0,0,35,,1.0,35,35,,0.0,0,35,,1.0,35,35,,0.0,0,35,,0.0,0,35,,0.0,0.0,0.0,,present,,,,,,,,,,,,,,,,,,,,
G0,h101,-1,S1,latency_only,candidate_raw_counts,0,35,0,0,0,35,35,0,0,,0,0,zero denominator,,0,0,zero denominator,0.0,0,35,,0.0,0,35,,1.0,35,35,,0.0,0,35,,1.0,35,35,,0.0,0,35,,0.0,0,35,,0.0,0.0,0.0,,present,,,,,,,,,,,,,,,,,,,,
G0,h101,0,S1,latency_only,candidate_raw_counts,0,35,0,0,0,35,35,0,0,,0,0,zero denominator,,0,0,zero denominator,0.0,0,35,,0.0,0,35,,1.0,35,35,,0.0,0,35,,1.0,35,35,,0.0,0,35,,0.0,0,35,,0.0,0.0,0.0,,present,,,,,,,,,,,,,,,,,,,,
