grid_version,workload,scope,SLA,metric,error_kind,median_signed,median_absolute,p90_absolute,p95_absolute,mean_signed,MAE,min,max,na_reason,valid_workloads,valid_candidates,valid_points,valid_requests,inapplicable_or_small_reference_requests,weighting
G1,h101,full_grid,,TTFT,seconds,-0.022417569209210342,0.06164831534383097,0.22473808905601622,0.6688672725949161,0.1810772216491068,0.24098358262977063,-0.29688984073384894,8.52408141594642,,1,5,205,3280,0,equal workload/candidate/point/request
G1,h101,full_grid,,TTFT,relative,-0.019448574670646562,0.02397951655088134,0.2835597343012381,0.3526413071920712,0.11253866948536773,0.14031362878949724,-0.07021450677020138,10.43963618712527,,1,5,205,3280,0,equal workload/candidate/point/request
G1,h101,full_grid,,TPOT,seconds,-5.899360190445013e-05,5.899360339589599e-05,0.019139336293699183,0.03750142343309193,-0.0032403078551208786,0.005705871171224035,-0.11300532596046003,0.05836700574997861,,1,5,205,3280,0,equal workload/candidate/point/request
G1,h101,full_grid,,TPOT,relative,-0.0002631871776568501,0.00027092262512253706,0.061219801132732045,0.10619767392173107,-0.008317832561207546,0.01735902537466857,-0.2619072692066084,0.14874606380127747,,1,5,205,3280,0,equal workload/candidate/point/request
G1,h101,full_grid,S1,TTFT,SLA_budget_normalized,-0.008967027683684136,0.02465932613753239,0.08989523562240649,0.2675469090379664,0.07243088865964273,0.09639343305190824,-0.11875593629353957,3.409632566378568,,1,5,205,3280,0,equal workload/candidate/point/request
G1,h101,full_grid,S1,TPOT,SLA_budget_normalized,-0.0003932906793630009,0.0003932906893059733,0.1275955752913279,0.2500094895539462,-0.021602052367472525,0.038039141141493565,-0.7533688397364002,0.38911337166652404,,1,5,205,3280,0,equal workload/candidate/point/request
G1,h101,service_relevant,S1,TTFT,SLA_budget_normalized,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h101,service_relevant,S1,TTFT,seconds,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h101,service_relevant,S1,TPOT,SLA_budget_normalized,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h101,service_relevant,S1,TPOT,seconds,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h101,full_grid,S2,TTFT,SLA_budget_normalized,-0.008967027683684136,0.02465932613753239,0.08989523562240649,0.2675469090379664,0.07243088865964273,0.09639343305190824,-0.11875593629353957,3.409632566378568,,1,5,205,3280,0,equal workload/candidate/point/request
G1,h101,full_grid,S2,TPOT,SLA_budget_normalized,-0.00019664533968150044,0.00019664534465298664,0.06379778764566395,0.1250047447769731,-0.010801026183736262,0.019019570570746783,-0.3766844198682001,0.19455668583326202,,1,5,205,3280,0,equal workload/candidate/point/request
G1,h101,service_relevant,S2,TTFT,SLA_budget_normalized,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h101,service_relevant,S2,TTFT,seconds,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h101,service_relevant,S2,TPOT,SLA_budget_normalized,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h101,service_relevant,S2,TPOT,seconds,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h101,full_grid,S3,TTFT,SLA_budget_normalized,-0.0037362615348683903,0.010274719223971829,0.037456348176002706,0.11147787876581934,0.0301795369415178,0.0401639304382951,-0.04948164012230816,1.42068023599107,,1,5,205,3280,0,equal workload/candidate/point/request
G1,h101,full_grid,S3,TPOT,SLA_budget_normalized,-0.00029496800952225066,0.00029496801697947994,0.09569668146849591,0.18750711716545965,-0.016201539275604394,0.028529355856120174,-0.5650266298023001,0.29183502874989303,,1,5,205,3280,0,equal workload/candidate/point/request
G1,h101,service_relevant,S3,TTFT,SLA_budget_normalized,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h101,service_relevant,S3,TTFT,seconds,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h101,service_relevant,S3,TPOT,SLA_budget_normalized,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h101,service_relevant,S3,TPOT,seconds,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h101,full_grid,S4,TTFT,SLA_budget_normalized,-0.0037362615348683903,0.010274719223971829,0.037456348176002706,0.11147787876581934,0.0301795369415178,0.0401639304382951,-0.04948164012230816,1.42068023599107,,1,5,205,3280,0,equal workload/candidate/point/request
G1,h101,full_grid,S4,TPOT,SLA_budget_normalized,-0.00023597440761780053,0.00023597441358358395,0.07655734517479673,0.15000569373236772,-0.012961231420483514,0.02282348468489614,-0.45202130384184014,0.23346802299991443,,1,5,205,3280,0,equal workload/candidate/point/request
