grid_version,physical_id,workload,candidate,intensity,SLA,N,K,allowed_failures,attainment_resolution,J_E,A_E,safe_E,E_status,E_reason,J_R,A_R,safe_R,R_status,R_reason,taxonomy,near_boundary,na_reason
G0,4041fcad9434fa76e17e3ca2aed9319571622e33d579a547488d4e0ccbe19368,h101,0,0.001,S1,16,15,1,0.0625,0,0.0,False,complete,latency,0,0.0,False,complete,latency,BU,False,
G0,4041fcad9434fa76e17e3ca2aed9319571622e33d579a547488d4e0ccbe19368,h101,0,0.001,S2,16,15,1,0.0625,11,0.6875,False,complete,latency,9,0.5625,False,complete,latency,BU,False,
G0,4041fcad9434fa76e17e3ca2aed9319571622e33d579a547488d4e0ccbe19368,h101,0,0.001,S3,16,15,1,0.0625,0,0.0,False,complete,latency,0,0.0,False,complete,latency,BU,False,
G0,4041fcad9434fa76e17e3ca2aed9319571622e33d579a547488d4e0ccbe19368,h101,0,0.001,S4,16,15,1,0.0625,16,1.0,True,complete,,16,1.0,True,complete,,BS,True,
G0,4041fcad9434fa76e17e3ca2aed9319571622e33d579a547488d4e0ccbe19368,h101,0,0.001,S5,16,15,1,0.0625,16,1.0,True,complete,,16,1.0,True,complete,,BS,True,
G0,4041fcad9434fa76e17e3ca2aed9319571622e33d579a547488d4e0ccbe19368,h101,0,0.001,S6,16,15,1,0.0625,16,1.0,True,complete,,16,1.0,True,complete,,BS,True,
G0,377c81293f143e67e566f814cdd7bd8a4b21d844b277b1358590b8a5f1ecbcfa,h101,-1,0.001,S1,16,15,1,0.0625,0,0.0,False,complete,latency,0,0.0,False,complete,latency,BU,False,
G0,377c81293f143e67e566f814cdd7bd8a4b21d844b277b1358590b8a5f1ecbcfa,h101,-1,0.001,S2,16,15,1,0.0625,10,0.625,False,complete,latency,9,0.5625,False,complete,latency,BU,False,
G0,377c81293f143e67e566f814cdd7bd8a4b21d844b277b1358590b8a5f1ecbcfa,h101,-1,0.001,S3,16,15,1,0.0625,0,0.0,False,complete,latency,0,0.0,False,complete,latency,BU,False,
G0,377c81293f143e67e566f814cdd7bd8a4b21d844b277b1358590b8a5f1ecbcfa,h101,-1,0.001,S4,16,15,1,0.0625,16,1.0,True,complete,,16,1.0,True,complete,,BS,True,
G0,377c81293f143e67e566f814cdd7bd8a4b21d844b277b1358590b8a5f1ecbcfa,h101,-1,0.001,S5,16,15,1,0.0625,16,1.0,True,complete,,16,1.0,True,complete,,BS,True,
G0,377c81293f143e67e566f814cdd7bd8a4b21d844b277b1358590b8a5f1ecbcfa,h101,-1,0.001,S6,16,15,1,0.0625,16,1.0,True,complete,,16,1.0,True,complete,,BS,True,
G0,096990c9500876ed1ff8fe596ca615d066426a2a5de29f9eee6ed6a3ca1a1287,h101,1,0.001,S1,16,15,1,0.0625,0,0.0,False,complete,latency,0,0.0,False,complete,latency,BU,False,
