workload,full_workload,candidate,intensity,physical_id,input_hash,source,source_sha256,inventory_source,membership,reference_status,evaluator_status,pairable,E_status,R_status,grid_membership
h101,h101-o60-d30,0,0.001,4041fcad9434fa76e17e3ca2aed9319571622e33d579a547488d4e0ccbe19368,4041fcad9434fa76e17e3ca2aed9319571622e33d579a547488d4e0ccbe19368,results/raw_reference/3a1eeb2abd8aba4645e64dcc0822af376e46f62f1c72aeed3da9b939a1e12fa5.json.gz,1260a9d3048d0b88c934cb2c8f0b51383bcbc65ada5238d94dad85806a03a493,results/sla_sensitivity/points/h101-o60-d30-heterogeneous-fast/a8ab7d340229ab49c4eaf90797dfe04e68ecf5a969b367abdb591a94acc43bd6.json.gz,G0,complete,complete,True,complete,complete,G0;G1
h101,h101-o60-d30,-1,0.001,377c81293f143e67e566f814cdd7bd8a4b21d844b277b1358590b8a5f1ecbcfa,377c81293f143e67e566f814cdd7bd8a4b21d844b277b1358590b8a5f1ecbcfa,results/raw_reference/bc72586111b0d9d7c3f4d2b3b350882b2ff6611cf613eb02c35979af252cc82c.json.gz,bda559d56398ab908f0787622a7f99bae11387f42cd420bc0146bb410cdc967e,results/sla_sensitivity/points/h101-o60-d30-heterogeneous-fast/3b44f6b1d9faa76d0a49c30aec2362ab7a3c9593795fc0833f56056b88f53cc7.json.gz,G0,complete,complete,True,complete,complete,G0;G1
h101,h101-o60-d30,1,0.001,096990c9500876ed1ff8fe596ca615d066426a2a5de29f9eee6ed6a3ca1a1287,096990c9500876ed1ff8fe596ca615d066426a2a5de29f9eee6ed6a3ca1a1287,results/raw_reference/7e0f7d30b6d3d969eec9b207352fd05b7b8333107dbc2b1223386ffcbba80f02.json.gz,ecdf699971770e267addc6e299e338d4c758855fe971053eb7fe1de94b6eaf1b,results/sla_sensitivity/points/h101-o60-d30-heterogeneous-fast/db30cb47223fff11e1720b8b996ebc2ade28dd0effa6e2134a7eece5db4df1fd.json.gz,G0,complete,complete,True,complete,complete,G0;G1
h101,h101-o60-d30,-2,0.001,126aeee650922720ce5a33dcbac178a0a8fa76eb42860f6e5b84794aa4d7b750,126aeee650922720ce5a33dcbac178a0a8fa76eb42860f6e5b84794aa4d7b750,results/raw_reference/fd44fe016ba0a88b64c3b2c4c5907b4e5b16bc26be5d557a65ad34efaf755635.json.gz,a1bc1a8524fed991e6c92de134583a64866f8fbb115d01eee0a7676d9c8cc08d,results/sla_sensitivity/points/h101-o60-d30-heterogeneous-fast/5bfe831be2ca147b2de7f6af6e36714114fe665a315200d2a97f03f998ad475c.json.gz,G0,complete,complete,True,complete,complete,G0;G1
h101,h101-o60-d30,2,0.001,9ca01735dce2c0fd7de96a8b09c1e7db683df50cdf6512a254c19c2e1375d12b,9ca01735dce2c0fd7de96a8b09c1e7db683df50cdf6512a254c19c2e1375d12b,results/raw_reference/e0b19ee4786941096d9b99326e926f39cafe27ea971758360c67c2ed109e87d9.json.gz,163f9d73bd8381c0c4b96ca252d70bde818e4af29bfec20cf9e4132f51346ac8,results/sla_sensitivity/points/h101-o60-d30-heterogeneous-fast/dafa65598eaf57e6b494b1f282706d13cb7d54e74ea86f090a5b1187c528f4b2.json.gz,G0,complete,complete,True,complete,complete,G0;G1
h101,h101-o60-d30,0,0.004,5b59ca4defcc6a607c41da0ebd24e51e0f0acbc1cdbf881edae8c712eaa542d7,5b59ca4defcc6a607c41da0ebd24e51e0f0acbc1cdbf881edae8c712eaa542d7,results/raw_reference/06e5d4230653d6c08242b2be079ccf877fc4520e3c3737b337d84449c5017524.json.gz,4fb2dec623e5327adf553a4529038221f50a5dc879c5bacfdbfe677a444a9469,results/sla_sensitivity/points/h101-o60-d30-heterogeneous-fast/ba3c53562cbb78a45024ce049f472927cc53f066a12ae91c166ffc2f4c0d8e79.json.gz,G0,complete,complete,True,complete,complete,G0;G1
h101,h101-o60-d30,-1,0.004,e6007cdc959b3ba18af48af8eb92bf4480ea887179c32dd2fd7b5716f8f3fb08,e6007cdc959b3ba18af48af8eb92bf4480ea887179c32dd2fd7b5716f8f3fb08,results/raw_reference/6638b428e3f20b3f68dd85336aa64064bdb16106e02277da8671fc407d79d466.json.gz,d6dab68f5f82906b736225a8eb5ce30ade7c9c9afb406183288e0858a8bf2ad3,results/sla_sensitivity/points/h101-o60-d30-heterogeneous-fast/35859f164d58f8f8df665533feeb8bff98e6248126c10bfb9a5aa5517d680046.json.gz,G0,complete,complete,True,complete,complete,G0;G1
h101,h101-o60-d30,1,0.004,d52000494858f9405a00d4297307165e856991608f056e9a6f3feca95a5ad021,d52000494858f9405a00d4297307165e856991608f056e9a6f3feca95a5ad021,results/raw_reference/108cb5a7f0c845d8c21121ef1c94f95458fce1324c84a0395640cf5089a50013.json.gz,88c989abe357b8bf71d2c60dc02228df067c726f5a0a252d1b67b16ef639eada,results/sla_sensitivity/points/h101-o60-d30-heterogeneous-fast/bbcfa6b42d29512d90355f4374adaf71382cfd95cafaec1c2a0d20559fbf811f.json.gz,G0,complete,complete,True,complete,complete,G0;G1
h101,h101-o60-d30,-2,0.004,932d94d391101e95b6e3fb79d7c108b70409b17959ba6dc21344404ecd269d16,932d94d391101e95b6e3fb79d7c108b70409b17959ba6dc21344404ecd269d16,results/raw_reference/95f0d49f34306e31f8e97ec29bdd5213585fc8a6963aeb728ad42d9530edda00.json.gz,dd5944bb99229534bb77ef2829b15c158e721e9c2b1bff1cd61be0e709af4113,results/sla_sensitivity/points/h101-o60-d30-heterogeneous-fast/71e8ac38f3008c8a46fbba92d2022133b0b802c3cfdc955bcd94e32232e1f0b0.json.gz,G0,complete,complete,True,complete,complete,G0;G1
h101,h101-o60-d30,2,0.004,83cb48a5316a90ecafac11667371af1c2846170dcaf82dc93e34463dbce48501,83cb48a5316a90ecafac11667371af1c2846170dcaf82dc93e34463dbce48501,results/raw_reference/ecdc3f113a4d0c7f2f741b5d5ee739aa0c29ceb55ceba1c0827ac32801d46810.json.gz,8736d594684d883cd6ef79f2389ef95d3cabfb4ffafbb8912c85aab7b19729a5,results/sla_sensitivity/points/h101-o60-d30-heterogeneous-fast/c67c0380e2685a957b17ad520390a4d4a1b12dc0611822749d4dbfb5eb8db6c3.json.gz,G0,complete,complete,True,complete,complete,G0;G1
