workload,full_workload,candidate,intensity,physical_id,input_hash,source,source_sha256,inventory_source,membership,reference_status,evaluator_status,pairable,E_status,R_status,grid_membership
h101,h101-o60-d30,-2,0.128,1898046addcc9c28751c687de622c957736e0f6dd8878445bfda9e79438e2297,1898046addcc9c28751c687de622c957736e0f6dd8878445bfda9e79438e2297,results/stage6b_jb_avg_v1/reference/1898046addcc9c28751c687de622c957736e0f6dd8878445bfda9e79438e2297.json.gz,4c718733486ae427d2fd8c387f9068a6f36c60b9eadd85d424d2d2e1f04599f4,protocol selected midpoint,G1_only,complete,complete,True,complete,complete,G1
h101,h101-o60-d30,-1,0.128,b0f7b421732450f82161a234754b55c618857b33b1d0a24b745a2b3146e5bcb7,b0f7b421732450f82161a234754b55c618857b33b1d0a24b745a2b3146e5bcb7,results/stage6b_jb_avg_v1/reference/b0f7b421732450f82161a234754b55c618857b33b1d0a24b745a2b3146e5bcb7.json.gz,78d54617533860db58430ed160cd648f93a845865d19a48f04008beb85e4fc55,protocol selected midpoint,G1_only,complete,complete,True,complete,complete,G1
h101,h101-o60-d30,0,0.128,6d9fae8c141158e4824f13a336f2506d2930faa95e1aaff9038c65c336a95dae,6d9fae8c141158e4824f13a336f2506d2930faa95e1aaff9038c65c336a95dae,results/stage6b_jb_avg_v1/reference/6d9fae8c141158e4824f13a336f2506d2930faa95e1aaff9038c65c336a95dae.json.gz,758c594161174dc10691ca48fe031eceb0dda484a9ab3eeb8287ffe1e81b42f9,protocol selected midpoint,G1_only,complete,complete,True,complete,complete,G1
h101,h101-o60-d30,1,0.128,1d5b1ca4e7a17af518d5f21fb2aa5d40405ce6dbb5ef1aca88c9f1c974d84c20,1d5b1ca4e7a17af518d5f21fb2aa5d40405ce6dbb5ef1aca88c9f1c974d84c20,results/stage6b_jb_avg_v1/reference/1d5b1ca4e7a17af518d5f21fb2aa5d40405ce6dbb5ef1aca88c9f1c974d84c20.json.gz,7646715e4870076882eaa0d3b0a81d7f634c1486ea34c50f20a739e8e2791bf9,protocol selected midpoint,G1_only,complete,complete,True,complete,complete,G1
h101,h101-o60-d30,2,0.128,263eb4d6a6796b83e987e69626fbe918fd9e9100bab3985313bb015878d28fa6,263eb4d6a6796b83e987e69626fbe918fd9e9100bab3985313bb015878d28fa6,results/stage6b_jb_avg_v1/reference/263eb4d6a6796b83e987e69626fbe918fd9e9100bab3985313bb015878d28fa6.json.gz,30bbfb7f929405dbd774bcc8ab9c67486579bdd26143c75fffa32e7445098f34,protocol selected midpoint,G1_only,complete,complete,True,complete,complete,G1
h102,h102-o300-d120,-2,0.032,cac15bf22ba3143704cbf7000deb1714fd6d0c67cc3916217035751ef482cc32,cac15bf22ba3143704cbf7000deb1714fd6d0c67cc3916217035751ef482cc32,results/stage6b_jb_avg_v1/reference/cac15bf22ba3143704cbf7000deb1714fd6d0c67cc3916217035751ef482cc32.json.gz,f393c47100f53b6eb1c7241fbab669e947eea305e9ec406ab4efcda161fa002d,protocol selected midpoint,G1_only,complete,complete,True,complete,complete,G1
h102,h102-o300-d120,-1,0.032,b367c9c9ab45f4b262d237b4c2402ae0a14b5ae932d6d02845355756ccafb962,b367c9c9ab45f4b262d237b4c2402ae0a14b5ae932d6d02845355756ccafb962,results/stage6b_jb_avg_v1/reference/b367c9c9ab45f4b262d237b4c2402ae0a14b5ae932d6d02845355756ccafb962.json.gz,ec04306b6ada01c7236946615b79c00dcbd4fc8ca4fd1749f4c77d5422b6f7b0,protocol selected midpoint,G1_only,complete,complete,True,complete,complete,G1
h102,h102-o300-d120,0,0.032,cebc1571252c8d12ed7924fd6908d4f9ebe2db769b10a2b6e75d8f00b70f2875,cebc1571252c8d12ed7924fd6908d4f9ebe2db769b10a2b6e75d8f00b70f2875,results/stage6b_jb_avg_v1/reference/cebc1571252c8d12ed7924fd6908d4f9ebe2db769b10a2b6e75d8f00b70f2875.json.gz,202f49b10f424348238f0c972c6d0332b0b850e7d6a4d2a61d3cd5d6a87e06a4,protocol selected midpoint,G1_only,complete,complete,True,complete,complete,G1
h102,h102-o300-d120,1,0.032,7bff84fd1338766ae043b5f283309c330fa475a5becd927a51fef53a9edbd18a,7bff84fd1338766ae043b5f283309c330fa475a5becd927a51fef53a9edbd18a,results/stage6b_jb_avg_v1/reference/7bff84fd1338766ae043b5f283309c330fa475a5becd927a51fef53a9edbd18a.json.gz,ea6bee1ee319eb851c41c76b8e347ffa24edfbd1ee43616e59e65b897bc54871,protocol selected midpoint,G1_only,complete,complete,True,complete,complete,G1
h102,h102-o300-d120,2,0.032,682b279e8576283a88bc053290095b0cb597cb089b62e29beabddd5c419045c9,682b279e8576283a88bc053290095b0cb597cb089b62e29beabddd5c419045c9,results/stage6b_jb_avg_v1/reference/682b279e8576283a88bc053290095b0cb597cb089b62e29beabddd5c419045c9.json.gz,2dfe4a83650c8fe172d40d7cbafc63ff77dd683ae72307a41006d064dde3d845,protocol selected midpoint,G1_only,complete,complete,True,complete,complete,G1
