grid_version,workload,SLA,scheduled,reference_safe_E_unsupported,reference_safe_E_hard_resource,conservative_latency,optimistic_latency,optimistic_reference_hard_resource,unverified_approval,E_profile_domain_unknown,E_service_cost_unknown,E_hard_resource_rejection,E_latency_rejection,R_unknown
G0,h101,S1,375,0,0,0,0,0,0,200,0,0,175,0
G0,h101,S2,375,0,0,0,0,0,0,200,0,0,175,0
G0,h101,S3,375,0,0,0,0,0,0,200,0,0,175,0
G0,h101,S4,375,0,0,1,0,0,0,200,0,0,33,0
G0,h101,S5,375,0,0,1,0,0,0,200,0,0,30,0
G0,h101,S6,375,29,0,13,0,0,0,200,0,0,15,0
G0,h102,S1,385,0,0,0,0,0,0,235,0,0,150,0
G0,h102,S2,385,0,0,0,0,0,0,235,0,0,150,0
G0,h102,S3,385,0,0,0,0,0,0,235,0,0,150,0
G0,h102,S4,385,0,0,1,0,0,0,235,0,0,27,0
G0,h102,S5,385,0,0,0,0,0,0,235,0,0,25,0
G0,h102,S6,385,0,0,0,1,0,0,235,0,0,10,0
G0,h103,S1,350,0,0,0,0,0,0,210,0,0,140,0
G0,h103,S2,350,0,0,0,0,0,0,210,0,0,140,0
G0,h103,S3,350,0,0,0,0,0,0,210,0,0,140,0
G0,h103,S4,350,0,0,1,0,0,0,210,0,0,58,0
G0,h103,S5,350,0,0,0,0,0,0,210,0,0,55,0
G0,h103,S6,350,0,0,5,1,0,0,210,0,0,45,0
G0,h104,S1,260,0,0,0,0,0,0,150,0,0,110,0
G0,h104,S2,260,0,0,0,0,0,0,150,0,0,110,0
G0,h104,S3,260,0,0,0,0,0,0,150,0,0,110,0
G0,h104,S4,260,0,0,2,0,0,0,150,0,0,39,0
G0,h104,S5,260,0,0,0,0,0,0,150,0,0,35,0
G0,h104,S6,260,0,0,0,5,0,0,150,0,0,10,0
G0,h105,S1,365,0,0,0,0,0,0,230,0,0,135,0
G0,h105,S2,365,0,0,0,0,0,0,230,0,0,135,0
G0,h105,S3,365,0,0,0,0,0,0,230,0,0,135,0
G0,h105,S4,365,0,0,1,0,0,0,230,0,0,26,0
G0,h105,S5,365,1,0,0,0,0,0,230,0,0,22,0
G0,h105,S6,365,186,0,8,0,0,0,230,0,0,12,0
G0,h106,S1,315,0,0,0,0,0,0,130,0,0,185,0
G0,h106,S2,315,0,0,0,0,0,0,130,0,0,185,0
G0,h106,S3,315,0,0,0,0,0,0,130,0,0,185,0
G0,h106,S4,315,0,0,10,0,0,0,130,0,0,116,0
G0,h106,S5,315,0,0,0,12,0,0,130,0,0,61,0
G0,h106,S6,315,0,0,3,0,0,0,130,0,0,10,0
G0,w201,S1,125,0,0,0,0,0,0,40,0,0,85,0
G0,w201,S2,125,0,0,0,0,0,0,40,0,0,85,0
G0,w201,S3,125,0,0,0,0,0,0,40,0,0,85,0
G0,w201,S4,125,0,0,1,0,0,0,40,0,0,41,0
G0,w201,S5,125,0,0,2,0,0,0,40,0,0,37,0
G0,w201,S6,125,14,0,25,0,0,0,40,0,0,25,0
G0,w202,S1,125,0,0,0,0,0,0,45,0,0,80,0
G0,w202,S2,125,0,0,0,0,0,0,45,0,0,80,0
G0,w202,S3,125,0,0,0,0,0,0,45,0,0,80,0
G0,w202,S4,125,0,0,2,0,0,0,45,0,0,35,0
